arg1,arg2,relation,connective,type,original_utt,original_utt_prev
i saw it ,not that name.,comparison,but,mid,i saw it but not that name.,Yeah.
"oooh, they renamed it ",the studio thought we couldn't handle the title.,contingency,because,mid,"oooh, they renamed it because the studio thought we couldn't handle the title.",Live. Die. Repeat.
"oh yes that was great, ",how about the panzer fight.,comparison,but,mid,"oh yes that was great, but how about the panzer fight.",I loved the beginning when the nazi was riding along and got knocked right off his horse and knived in the head.
"yes the panzer fight was cool, ",that german machine gun just chopping off soldiers leg was wicked.,comparison,but,mid,"yes the panzer fight was cool, but that german machine gun just chopping off soldiers leg was wicked.","Oh yes that was great, but how about the panzer fight."
"the whole terminator series was awesome, ",t2 brought it to a whole another level.,comparison,but,mid,"the whole terminator series was awesome, but t2 brought it to a whole another level.","It's crazy, isn't it?  Still one of the better action movies I've ever seen."
that was kind of stupid and disturbing ,we got to meet samuel l jackson!,comparison,but,mid,that was kind of stupid and disturbing but we got to meet samuel l jackson!,I think that was Die Hard 2. Timely with the riots.
"no actually a convict, ",won't tell you too much.,comparison,but,mid,"no actually a convict, but won't tell you too much.",Was he a cop?
"he is, for the most part, ",they live is a great action film.,comparison,but,mid,"he is, for the most part, but they live is a great action film.",I thought he was a horror guy
"that's good, ","when they storm the terrorist compound at the old school, that's better.",comparison,but,mid,"that's good, but when they storm the terrorist compound at the old school, that's better.","Me, too! I love the chase scene in Beirut."
"the one where he has that captured guy call the terrorist in the plane, ","he comes out yelling "" what"", and marvin shoots him right between the eyes.",expansion,and,mid,"the one where he has that captured guy call the terrorist in the plane, and he comes out yelling "" what"", and marvin shoots him right between the eyes.",Which one?
"i know i only saw two, ",don't know if they made a third.,comparison,but,mid,"not sure. i know i only saw two, but don't know if they made a third.",How many Taken movies were there?
it's starts as a romance ,it's a pure action movie.,comparison,but,mid,it's starts as a romance but it's a pure action movie. i was surprised when i found out ben kingsley and anthony hopkins were also in this!,Is this an action movie or a romance?
i've always seen ben kingsley as a serious actor ,when i watched ironman 3 that was so surprising in a good way to see that he could really ham it up.,comparison,but,mid,i've always seen ben kingsley as a serious actor but when i watched ironman 3 that was so surprising in a good way to see that he could really ham it up.,Ben Kingsley is hilarious in his role. He plays a slimy criminal that makes Nicholas run errands for him. He's basically playing a character very similar to his role in Iron Man 3 as the Mandarin.
it was nominated for 11 ,won 5 in total!,comparison,but,mid,it was nominated for 11 but won 5 in total!,How many Academy Awards did the film win?
that's a bummer.,"it's beautiful, no matter where it is!",comparison,but,begin,"that's a bummer. but it's beautiful, no matter where it is!",I'm afraid I don't know.
"well, take your pick, ",i mean the nuke scene.,comparison,but,mid,"well, take your pick, but i mean the nuke scene.",Which part are you referring to?
"it was silly, ",the action was amazing!,comparison,but,mid,"it was silly, but the action was amazing!",I thought I was the only person who ever saw that show.
"not yet, ",i loved the first one!,comparison,but,mid,"not yet, but i loved the first one!",Have you seen the second John Wick movie?
"well, i don't want to spoil the plot ","it's a complicated story of two men undercover, one in the police and the other in the mob.",comparison,but,mid,"well, i don't want to spoil the plot but it's a complicated story of two men undercover, one in the police and the other in the mob.",What's it about?
"yeah, it's a complicated story ",it does it just right and keeps you very entertained.,comparison,but,mid,"yeah, it's a complicated story but it does it just right and keeps you very entertained.  i highly recommend it.","Oh, sounds interesting."
"i know, just ",of the way he looked.,contingency,because,mid,"i know, just because of the way he looked.",See racism in a different form.
it was alright ,it could of been better with more believable action scenes.,comparison,but,mid,it was alright but it could of been better with more believable action scenes.,What did you think of  the fighting style of the Power Rangers?
i think the plot is not one of an action movie ,it develops into one.,comparison,but,mid,i think the plot is not one of an action movie but it develops into one.,OK some people would not consider it that so I was just checking.
i cant remember his name ,it was an epic battle at the end.,comparison,but,mid,i cant remember his name but it was an epic battle at the end.,His enemy was right on too.
"the newest one is a sequel to the orginial, ",the story line pretty much picked up where the first one left off.,contingency,so,mid,"i liked them both a lot! the newest one is a sequel to the orginial, so the story line pretty much picked up where the first one left off.","Which Independence Day film did you like more? The orginial one released in 1996 or Independence Day: Resurgence, the one released in 2016?"
you're correct ,i can't help but feel more of an attachment to the first one.,comparison,but,mid,you're correct but i can't help but feel more of an attachment to the first one.,"I liked them both a lot! The newest one is a sequel to the orginial, so the story line pretty much picked up where the first one left off."
you're correct but i can't help ,feel more of an attachment to the first one.,comparison,but,mid,you're correct but i can't help but feel more of an attachment to the first one.,"I liked them both a lot! The newest one is a sequel to the orginial, so the story line pretty much picked up where the first one left off."
well i think the orginal film had much better acting and didn't have as much cgi as the second one ,i'm a sucker for these types of films.,comparison,but,mid,well i think the orginal film had much better acting and didn't have as much cgi as the second one but i'm a sucker for these types of films.,You're correct but I can't help but feel more of an attachment to the first one.
the speech at the air base ,the final assualt on the alien mothership?,temporal,before,mid,which the speech? the speech at the air base before the final assualt on the alien mothership?,Do you remember President Whitmore's motivating speech in the first movie?
"oh, and mission impossible 2 was good, ",i'm told cruise interfered a lot with the final cut of the film.,comparison,although,mid,"yeah, that's awesome.  oh, and mission impossible 2 was good, although i'm told cruise interfered a lot with the final cut of the film.","I've always like the whole ""guy with two guns"" thing he does in each film"
"i liked that movie, ",i did think that ending part was a little bit cheesy.,comparison,although,mid,"i liked that movie, although i did think that ending part was a little bit cheesy.  you know they way ethan hunt kicks the sand and the gun flys straight up into his hand, like it was just levitating or something.","Yeah, that's awesome.  Oh, and Mission Impossible 2 was good, although I'm told Cruise interfered a lot with the final cut of the film."
"yeah, i admit, that part was a little over the top, ","still, that's what you go to action movies for, right?",comparison,but,mid,"yeah, i admit, that part was a little over the top, but still, that's what you go to action movies for, right?","I liked that movie, although I did think that ending part was a little bit cheesy.  You know they way Ethan Hunt kicks the sand and the gun flys STRAIGHT up into his hand, like it was just levitating or something."
"i think it was supposed to be sacred heart, ",someone must have goofed on that.,comparison,but,mid,"yeah, true.  oh, interesting not, do you know the hospital in the killer is called the scared heart? i think it was supposed to be sacred heart, but someone must have goofed on that.","Yeah, I admit, that part was a little over the top, but still, that's what you go to action movies for, right?"
"yeah, that was a bit odd, ",he can make it work.,comparison,but,mid,"yeah, that was a bit odd, but he can make it work.","Woody Harrelson, with a shaved head, as a military commander."
"that would be pretty interesting as a swerve, ",the human population is dying off.,comparison,but,mid,"that would be pretty interesting as a swerve, but the human population is dying off.",Do you think they'll pull a twist and have the humans win?
"true, ture, ","then, after reika's killed and he finds out the south african's killed his wife, he goes all death wish martin riggs again.",comparison,but,mid,"true, ture, but then, after reika's killed and he finds out the south african's killed his wife, he goes all death wish martin riggs again.","Okay, but you have to admit Lethal Weapon 2 also had crazy fun Riggs."
"when he has that crazy happy look on his face, as open's the door of the armored car, ",he can wail on the driver.,contingency,so,mid,"when he has that crazy happy look on his face, as open's the door of the armored car, so he can wail on the driver.",When?
"yeah, that one is good, ",i was wondering about his lesser known stuff.,comparison,but,mid,"yeah, that one is good, but i was wondering about his lesser known stuff.",I have always thought that Terminator 2 is probably his best.
"most of them are pretty weak 80s action plots, ",the sure have a lot of action.,comparison,but,mid,"most of them are pretty weak 80s action plots, but the sure have a lot of action. have you ever seen the 6th day","Yeah, that one is good, but I was wondering about his lesser known stuff."
me too.,isn't crime a different category?,comparison,but,begin,me too. but isn't crime a different category?,"It's definitely an action movie, at least in the Al Pacino version. That's the only one I've seen."
"yeah, kind of.",scarface is an action movie because of all the violent action.,comparison,but,begin,"yeah, kind of. but scarface is an action movie because of all the violent action. you have to have violence in an action movie, i think.",Really? I never saw it. Is it good?
but scarface is an action movie ,of all the violent action.,contingency,because,mid,"yeah, kind of. but scarface is an action movie because of all the violent action. you have to have violence in an action movie, i think.",Really? I never saw it. Is it good?
"or you could call it a romance, ",of michelle pfeiffer.,contingency,because,mid,"or you could call it a romance, because of michelle pfeiffer. what a massively unhappy marriage.","Yeah, kind of. But Scarface is an action movie because of all the violent action. You have to have violence in an action movie, I think."
"You have to have violence in an action movie, I think.","you could call it a romance, because of michelle pfeiffer.",expansion,or,begin,"or you could call it a romance, because of michelle pfeiffer. what a massively unhappy marriage.","Yeah, kind of. But Scarface is an action movie because of all the violent action. You have to have violence in an action movie, I think."
"yeah, she was great as elvira--and there was another woman too, mary elizabeth matroantonio.",it was pacino's film.,comparison,but,begin,"yeah, she was great as elvira--and there was another woman too, mary elizabeth matroantonio. but it was pacino's film.","Or you could call it a romance, because of Michelle Pfeiffer. What a massively unhappy marriage."
yeah and that movie has nothing ,cool action set pieces.,comparison,but,mid,yeah and that movie has nothing but cool action set pieces.,"Exactly, and all we want to see are cool action set pieces."
sounds like a strange concept ,it's worth checking out.,comparison,but,mid,interesting. sounds like a strange concept but it's worth checking out.,This movie shows you how to be honorable.
"i am interested in the action parts, ",also to learn more about the events.,comparison,but,mid,"i am interested in the action parts, but also to learn more about the events.",That does look very good.
"i do not know too much about it, ",the action parts i have seen in the previews look great.,comparison,but,mid,"i do not know too much about it, but the action parts i have seen in the previews look great.","I am interested in the action parts, but also to learn more about the events."
"yeah, under siege is pretty good, ",i've never seen under siege 2. what's it like?,comparison,but,mid,"yeah, under siege is pretty good, but i've never seen under siege 2. what's it like?",I like Under Siege and Under Siege 2.
"okay, i little sci-fi, ",doesn't sound to bad.,comparison,but,mid,"okay, i little sci-fi, but doesn't sound to bad. plenty of action i take it?","Well, Casey Ryback(Steven Seagal) is on a train with his niece, when it is hijacked by terrorists looking to use a top secret particle beam satellite to destory Washington"
"it is scary, ",there is a lot of shooting and fighting in it.,comparison,but,mid,"it is scary, but there is a lot of shooting and fighting in it.",It's not horror?
i like the first one ,it really sets up the characters.,contingency,because,mid,that is hard to say. i like the first one because it really sets up the characters.,Which one is the best?
"well, it's sci-fi, ",it's still action.,comparison,but,mid,"well, it's sci-fi, but it's still action.",Does Terminator count?
i love martial arts movies ,he's my favorite star.,comparison,but,mid,i love martial arts movies but he's my favorite star. have you seen the movies about his master?,"I know, that was very tragic too. He was a great fighter and great person all around."
"i hear that too, ",she is still super hot.,comparison,but,mid,"i hear that too, but she is still super hot.",I hear that Megan Fox is a big diva.
"that franchise will run out of gas eventually, ","yeah, good stuff",comparison,but,mid,"that franchise will run out of gas eventually, but yeah, good stuff","Action seems to be one of the strongest genres going. I mean, John Wick alone"
i didn't think so either.,amy was good.,comparison,but,begin,i didn't think so either.  but amy was good.,"Yes, it was kind of stupid. Goldie Hawn was not funny."
"yea, and when the guy put the money in his pants ","michael jai ripped the money right out, that was really awesome.",expansion,and,mid,"yea, and when the guy put the money in his pants and michael jai ripped the money right out, that was really awesome.","Oh, yea, that was awesome how he kicked all three of those guys at once."
"they were all good, ",that was the cake of the series.,comparison,but,mid,"yep.  they were all good, but that was the cake of the series.",The Dark Knight?
it's an hour and fourty minutes ,it goes so fast.,comparison,but,mid,it's an hour and fourty minutes but it goes so fast.,"True, then I guess I didn't see it."
"yes, he will play luke again, ",from the trailers he seems a bit darker.,comparison,but,mid,"yes, he will play luke again, but from the trailers he seems a bit darker.",I am assuming that Mark Hamill will be reprising his role again.
i hope that this isn't the last star wars film ,the franchise is so great.,contingency,because,mid,i hope that this isn't the last star wars film because the franchise is so great.,"Well, everything must end at some point."
the action sequences were good in it and i didn't mind shia labeouf's constant screaming or megan fox's sex appeal ,the heavy inclusion of his parents was too much.,comparison,but,mid,revenge of the fallen was so bad. the action sequences were good in it and i didn't mind shia labeouf's constant screaming or megan fox's sex appeal but the heavy inclusion of his parents was too much.,"Not really, Michael Bay really lost me after the second one, Revenge of the Fallen."
