arg1,arg2,relation,connective,type,original_utt,original_utt_prev
"they are off to a hot start, that's for sure, ",i think they will come back to earth soon enough.,comparison,but,mid,"they are off to a hot start, that's for sure, but i think they will come back to earth soon enough.",You think the Rockies can keep it up all year?
"well, yes they aren't leading either of their perspective leagues, ",i think they are still frontrunners.,comparison,but,mid,"well, yes they aren't leading either of their perspective leagues, but i think they are still frontrunners.","But both of them are struggling a bit right now, and other teams are surging."
"that is true, ",they can always go and get someone at the deadline.,comparison,but,mid,"that is true, but they can always go and get someone at the deadline.","Yeah, but they don't have great starting pitching and their bullpen is not great."
"he has traditionally gotten off to slow starts, ",i think he will pick up where he left off last year.,comparison,but,mid,"he has traditionally gotten off to slow starts, but i think he will pick up where he left off last year. who do you like?",What about Encarnacion not playing well?
"well, i think that the yankees are a year ahead of schedule ",they are young and powerful lineup that can really do damage.,expansion,and,mid,"well, i think that the yankees are a year ahead of schedule and they are young and powerful lineup that can really do damage.","He has traditionally gotten off to slow starts, but I think he will pick up where he left off last year. Who do you like?"
"you think the cubs pitching staff is bad, ",you are okay with the staff of the yankees.,comparison,but,mid,"you think the cubs pitching staff is bad, but you are okay with the staff of the yankees.","Well, I think that the Yankees are a year ahead of schedule and they are young and powerful lineup that can really do damage."
"of course not, just like cubs, their starting pitching is pretty bad.",they have a lot of ammunition for midseason trades.,comparison,but,begin,"of course not, just like cubs, their starting pitching is pretty bad. but they have a lot of ammunition for midseason trades.","You think the Cubs pitching staff is bad, but you are okay with the staff of the Yankees."
"that is true, they do have a lot of young talent, ","will they be willing to part with it, for rental players?",comparison,but,mid,"that is true, they do have a lot of young talent, but will they be willing to part with it, for rental players?","Of course not, just like Cubs, their starting pitching is pretty bad. But they have a lot of ammunition for midseason trades."
"the yankees did have babe ruth, roger maris, mickey mantle, and lou gehrig, ",what about lately?,comparison,but,mid,"i am not sure. the yankees did have babe ruth, roger maris, mickey mantle, and lou gehrig, but what about lately?","That would be the New York Yankees, of course."
"i think the yankees are great, ",the boston red sox are my favorite.,comparison,but,mid,"i think the yankees are great, but the boston red sox are my favorite.",The Yankees have been in 27 world series.
yeah he did well for the sox before.,he's getting old.,comparison,but,begin,yeah he did well for the sox before. but he's getting old.,I think we should take a look at Jake Peavy.
yeah he is ,i think he'd do fine as a number 5 starter.,comparison,but,mid,yeah he is but i think he'd do fine as a number 5 starter.,Yeah he did well for the Sox before. But he's getting old.
"yeah, i wouldn't expect too much from him ",he could get the job done.,comparison,but,mid,"yeah, i wouldn't expect too much from him but he could get the job done.",Yeah he is but I think he'd do fine as a number 5 starter.
it was more ,i grew up a white sox fan.,contingency,because,mid,it was more because i grew up a white sox fan.,"Not me, after they already won the NBA finals there was no way I would root for that town."
