arg1,arg2,relation,connective,type,original_utt,original_utt_prev
"oh my gosh i'd love to go, ","i have a football game that night, and won't be free until 10pm.",comparison,but,mid,"oh my gosh i'd love to go, but i have a football game that night, and won't be free until 10pm.",It's this Friday night against the Jazz.  I know how much you hate them.
"parking is ok, ",a bit expensive.,comparison,but,mid,"parking is ok, but a bit expensive. they have lots of great concessions, but of course they're way overpriced.",How is the parking and the prices of the concessions?
"they have lots of great concessions, ",of course they're way overpriced.,comparison,but,mid,"parking is ok, but a bit expensive. they have lots of great concessions, but of course they're way overpriced.",How is the parking and the prices of the concessions?
no he will stay ,durant left last year.,contingency,because,mid,no he will stay because durant left last year.,Any chance Westbrook leaves the Thunder?
"i am a celtics fan, ",i've watched every game also.,comparison,but,mid,"i am a celtics fan, but i've watched every game also.  who do you pull for?","Yeah, I haven't missed a game yet!  Who are you pulling for?"
"i know, the first round was pretty good, ",this second round has been mainly blow out games.,comparison,but,mid,"i know, the first round was pretty good, but this second round has been mainly blow out games.","Yes, the Celtics got crushed.  There haven't been many good games in the 2nd round."
"i really hope its curry again, ",it may be westbrook.,comparison,but,mid,"i really hope its curry again, but it may be westbrook.  he was insanely good for the thunder.",Agreed.  Who do you think wins the MVP this year?
"i hope it's curry too, ",westbrook does have a good chance.,comparison,but,mid,"i hope it's curry too, but westbrook does have a good chance.  so many triple doubles","I really hope its Curry again, but it may be Westbrook.  He was insanely good for the Thunder."
"i am biased because how he kills the celtics, ",i don't like him,comparison,but,mid,"i really don't want it to be lebron james though.  i am biased because how he kills the celtics, but i don't like him","I hope it's Curry too, but Westbrook does have a good chance.  So many triple doubles"
i am biased ,"how he kills the celtics, but i don't like him",contingency,because,mid,"i really don't want it to be lebron james though.  i am biased because how he kills the celtics, but i don't like him","I hope it's Curry too, but Westbrook does have a good chance.  So many triple doubles"
"he will definitely be a top choice, ",i think it will be curry or westbrook.,comparison,but,mid,"he will definitely be a top choice, but i think it will be curry or westbrook.","I really don't want it to be LeBron James though.  I am biased because how he kills the Celtics, but i don't like him"
"i guess your right, ","i must say, crafty plays is what he's done best over his 15 year career.",comparison,but,mid,"i guess your right, but i must say, crafty plays is what he's done best over his 15 year career.","Well, he's already 39 and he's been looking old this postseason."
"no, i saw him sitting on the bench ",i didn't know why.,comparison,but,mid,"no, i saw him sitting on the bench but i didn't know why.",Did you see what happened to Kawhi Leonard?
i didn't know ,i missed the first 30 minutes.,contingency,because,mid,oh. i didn't know because i missed the first 30 minutes.,He hurt his ankle early in the game and never returned.
"my heart says san antonio, ",my mind says houston is going to take this series.,comparison,but,mid,"my heart says san antonio, but my mind says houston is going to take this series.","Spurs all the way, I can't stand Houston."
"maybe he can, ",what about the rest of the team?,comparison,but,mid,"maybe he can, but what about the rest of the team? in the last game, the rockets were looking like they had too many weapons to stop.",You don't think Kawhi Leonard can outplay James Harden?
