arg1,arg2,relation,connective,type,original_utt,original_utt_prev
this is true ,the spurs have won in an era that has one and done mega stars.,comparison,but,mid,this is true but the spurs have won in an era that has one and done mega stars.,True but the Celtics just won year after year.
"yeah you're right, ",i still think they will beat them.,comparison,but,mid,"yeah you're right, but i still think they will beat them.",We'll see what Lebron has to say about that.
yeah i could see that ,i think you are only saying that since you are a chicago fan.,comparison,but,mid,yeah i could see that but i think you are only saying that since you are a chicago fan.,"Well, I don't know about that.  The bucks seem fake to me."
i need to get back in shape ,that's good.,contingency,so,mid,i need to get back in shape so that's good.,I agree. Basketball is good exercise.
i'm so glad there will be a team ,i've missed playing.,contingency,because,mid,i'm so glad there will be a team because i've missed playing.,I hope it does. I want to lose thirty pounds.
neither have i ,we'll get back in the swing of things soon.,comparison,but,mid,neither have i but we'll get back in the swing of things soon.,I haven't played in a while.
"i was okay, ",was in a tiny high school.,comparison,but,mid,"i was okay, but was in a tiny high school.",Were you?
"it should be interesting, ",i don't expect the wizards to pull off a win.,comparison,but,mid,"it should be interesting, but i don't expect the wizards to pull off a win.",They have to win or at least put up a better fight than last night.
"maybe technically as a player, ",i think jordan was a lot more likeable.,comparison,but,mid,"maybe technically as a player, but i think jordan was a lot more likeable.",Do you think LeBron is better than Michael Jordan?
"i don't know, i was thinking about it ",it kinda depends if jimmy goes.,comparison,but,mid,"i don't know, i was thinking about it but it kinda depends if jimmy goes.",The Cardinals game!  They're playing the Hawks.
"they're in the playoffs, ",down to the celtics.,comparison,but,mid,"they're in the playoffs, but down to the celtics.",How are they doing?
They put anyone in there and it just works.,even a late first rounder?,comparison,but,begin,but even a late first rounder?,You know Pop's system. They put anyone in there and it just works.
especially beal.,they thrive at home.,comparison,but,begin,the wizards players are just bad on the road. especially beal. but they thrive at home.,I don't even know. I guess Washington since the home team has won every game so far.
he's got it in him ,that was a new situation for him.,comparison,but,mid,too much pressure. he's got it in him but that was a new situation for him. he'll learn.,I can't believe he airballed that wide open shot to win the game in game 2.
there was this one where this guy throws it too high and it bounces off the goal support bar on top ,it still goes in.,comparison,but,mid,there was this one where this guy throws it too high and it bounces off the goal support bar on top but it still goes in.,HAHA. that was messed up.
"i enjoy watching nba games more, ",i like watching march madness college games too.,comparison,but,mid,"i enjoy watching nba games more, but i like watching march madness college games too.","Do you enjoy watching NBA games, college games, or both?"
he played against michael jordan ,it was hard for him to win a ring.,contingency,so,mid,he was on the dream team and won a gold medal.  he played against michael jordan so it was hard for him to win a ring.,Do you think Charles Barkley is still one of the greatest players even though he never won a championship?
"i think kobe and lebron are the best players of their era, ",michael jordan is best player i have ever seen play the game.,comparison,but,mid,"i think kobe and lebron are the best players of their era, but michael jordan is best player i have ever seen play the game.",Do you think Kobe or Lebron are better than Michael Jordan?
"i think it is important to have a good coach, ",ultimately the talent of the team matters more?,comparison,but,mid,"i think it is important to have a good coach, but ultimately the talent of the team matters more?",How important do you think coaching is to the game of basketball?
that is possible ,maybe there is reason if he cannot dominate the celtics.,comparison,but,mid,that is possible but maybe there is reason if he cannot dominate the celtics.,I suppose but I think you just were not paying attention to him before.
"well is it really his fault, he has been going crazy ",no one is helping him out.,comparison,but,mid,"well is it really his fault, he has been going crazy but no one is helping him out.",That is possible but maybe there is reason if he cannot dominate the Celtics.
"true but the the argument is if wall is really a top point guard, ",based on what you said he falls into the rondo category.,expansion,and,mid,"true but the the argument is if wall is really a top point guard, and based on what you said he falls into the rondo category.","Maybe, but the Bulls also had playoff Rondo who was playing out of his mind."
yeah they were clearly the worse team ,they were going insane until he went down.,comparison,but,mid,yeah they were clearly the worse team but they were going insane until he went down.,True.  I wish he hadn't gotten injured cause who knows what would have happened with the Bulls.
that's not fair ,he has played 20 seasons.,contingency,because,mid,that's not fair because he has played 20 seasons.,But Kobe has 5 championships.
no because just ,he had a better career doesn't mean he is more skilled.,contingency,because,mid,no because just because he had a better career doesn't mean he is more skilled.,Doesn't that make him better?
lebron is a more skilled player than kobe ,kobe has been around longer.,comparison,but,mid,lebron is a more skilled player than kobe but kobe has been around longer.,Please elaborate.
so what you're saying is that kobe is good at some things ,lebron is good at everything?,comparison,but,mid,so what you're saying is that kobe is good at some things but lebron is good at everything?,"Lebron can pass, rebound, play defense, run and EVERYTHING else."
"yes, kobe never shot above 47 percent from the field in a season ",lebron has shot 57 percent from the field in a season.,comparison,but,mid,"yes, kobe never shot above 47 percent from the field in a season but lebron has shot 57 percent from the field in a season.",So what you're saying is that Kobe is good at some things but Lebron is good at everything?
"so i see, kobe has had the better career ",lebron is a better player.,comparison,but,mid,"so i see, kobe has had the better career but lebron is a better player.","Yes, Kobe never shot above 47 percent from the field in a season but Lebron has shot 57 percent from the field in a season."
i could see that ,when jordan took over there was nothing like it.,comparison,but,mid,i could see that but when jordan took over there was nothing like it.,Well just watching him he sees more dominant.
"boston is well balanced, ",none of their players are elite.,comparison,but,mid,"yea, i think so too. boston is well balanced, but none of their players are elite.","Yea, I think Washington is good too. They have some superstars."
"isaiah thomas is good, ",i don't think he can carry the whole team by himself.,comparison,but,mid,"yes. isaiah thomas is good, but i don't think he can carry the whole team by himself.","Yea, I think so too. Boston is well balanced, but none of their players are elite."
bob love of the chicago bulls because he was illiterate ,he went back to schoo and learned how to read.,comparison,but,mid,bob love of the chicago bulls because he was illiterate but he went back to schoo and learned how to read.,Who's your favorite basketball player of all time and why?
bob love of the chicago bulls ,he was illiterate but he went back to schoo and learned how to read.,contingency,because,mid,bob love of the chicago bulls because he was illiterate but he went back to schoo and learned how to read.,Who's your favorite basketball player of all time and why?
michael jordan tried his hand at baseball after his run with the chicago bulls and ,he bought the washington wizards.,temporal,before,mid,michael jordan tried his hand at baseball after his run with the chicago bulls and before he bought the washington wizards.,What other major sport besides basketball did Michael Jordan play or tried to play?
"it will be a great finals, ",i don't think so.,comparison,but,mid,"it will be a great finals, but i don't think so.",So the question is if Cleveland can repeat as champs.
"last year was an upset, ",not this year.,comparison,but,mid,"last year was an upset, but not this year.","Yeah, adding him to the Warriors is just too much."
it's crazy that he used to coach the cavaliers ,now can beat them in the finals.,comparison,but,mid,it's crazy that he used to coach the cavaliers but now can beat them in the finals.,Unless Mike Brown screws things up.
he'll try ,i think he's going to wear out this time.,comparison,but,mid,he'll try but i think he's going to wear out this time.,He's going to have to put the team on his back again.
"i get that, ",i think college means more.,comparison,but,mid,"i get that, but i think college means more.","I like the NBA myself, better skill on show."
"lebron and curry are always in the running, ",i think this year westbrook deserves the mvp.,comparison,but,mid,"westbrook and harden had great seasons.  lebron and curry are always in the running, but i think this year westbrook deserves the mvp.",Who do you think should win the NBA MVP this year?
i think they are fun to watch ,they play at such a high level and dominate the competition.,contingency,because,mid,"i think they are fun to watch because they play at such a high level and dominate the competition.  however, the make the season a little predictable.",What do you think of the NBA super teams being assembled?
"i think d-wade was a miami heat franchise player, ",playing for his hometown must also be fun for him.,comparison,but,mid,"i think d-wade was a miami heat franchise player, but playing for his hometown must also be fun for him.",Do you think D-Wade should have stayed with the Miami Heat?
"i think d-wade was the true leader of the miami heat, ",lebron was the main scorer.,comparison,but,mid,"i think d-wade was the true leader of the miami heat, but lebron was the main scorer.",Who do you think was more important to the Heat winning championships: D-Wade or Lebron?
"he isn't flash wade anymore, ",he is still a top player and a champion.,comparison,but,mid,"d-wade has suffered some injuries and is getting older.  he isn't flash wade anymore, but he is still a top player and a champion.",Do you think D-Wade is past his prime now?
"yeah, i care less about that ",it would be fun.,comparison,but,mid,"yeah, i care less about that but it would be fun.",Plus it would be the first back to back to back finals in NBA history.
