arg1,arg2,relation,connective,type,original_utt,original_utt_prev
never made that connection before ,that is very true.,comparison,but,mid,never made that connection before but that is very true.,I never noticed if it is. I will say the lana del rey song young and beautiful song lyrics make me think back to When I'm 64.
paul wrote it for john's son julian who he felt bad before ,his parents were divorcing.,contingency,because,mid,i believe it wasn't a preconceived album. paul wrote it for john's son julian who he felt bad before because his parents were divorcing.,I think it was thrown together on Capital records to fulfill a commitment.
paul wrote it for john's son julian who he felt bad ,because his parents were divorcing.,temporal,before,mid,i believe it wasn't a preconceived album. paul wrote it for john's son julian who he felt bad before because his parents were divorcing.,I think it was thrown together on Capital records to fulfill a commitment.
"correct,and obviously it was a huge hit,",not an album they planned.,comparison,but,mid,"correct,and obviously it was a huge hit,but not an album they planned.",I believe it wasn't a preconceived album. Paul wrote it for John's son Julian who he felt bad before because his parents were divorcing.
"i think capital just took some singles and put them together on an,album and hey jude became the title track ",of its success.,contingency,because,mid,"i think capital just took some singles and put them together on an,album and hey jude became the title track because of its success.","Correct,and obviously it was a huge hit,but not an album they planned."
"they started out that way, ",then became studio musicians,comparison,but,mid,"they started out that way, but then became studio musicians",Weren't they a pop band?
"i haven't seen it either, ",i bought the soundtrack.,comparison,but,mid,"i haven't seen it either, but i bought the soundtrack.","I haven't, no. Did you like it?"
"yeah, it's really good.",it's hard to compare to the originals.,comparison,but,begin,"yeah, it's really good. but it's hard to compare to the originals.",Was it as good as the soundtrack to Across the Universe?
"yeah, the differences between each part are quite overt, ",somehow it all fits together and works.,comparison,but,mid,"yeah, the differences between each part are quite overt, but somehow it all fits together and works.",I like how experimental it is. I also like seeing the clear contrast between John and Paul contained in one song.
pepper's lonely hearts club band ,my favorite has to be the white album.,comparison,but,mid,i like sgt. pepper's lonely hearts club band but my favorite has to be the white album.,What's your favorite Beatles album?
"i think i was expecting something like yesterday, ","ob-la-di, ob-la-da?",comparison,but,mid,"i think i was expecting something like yesterday, but ob-la-di, ob-la-da?","Tough call. I think it's a toss-up between Ob-La-Di, Ob-La-Da and Hello, Goodbye."
"i really like all you need is love, ","baby, you're a rich man is just a weird, fun song.",comparison,but,mid,"i really like all you need is love, but baby, you're a rich man is just a weird, fun song.",Really?  Not All You Need Is Love?
"you are too young to remember the beatles, ",they are one of the greatest musicians/song writers of the modern world.,comparison,but,mid,"you are too young to remember the beatles, but they are one of the greatest musicians/song writers of the modern world.","Yeah, I guess it is.  It suits you."
"yeah, exactly.","people today still love to trash artists like justin bieber, comparing him to the beatles.",contingency,because,begin,"yeah, exactly. because people today still love to trash artists like justin bieber, comparing him to the beatles.","You mean between ""Serious Pop"" and ""Lightweight Pop,"" right?"
"it's true that there is a bit of discreet desperation, ","at least deep, sad, longing in many of the songs of that album.",expansion,or,mid,"it's true that there is a bit of discreet desperation, or at least deep, sad, longing in many of the songs of that album.","Oh yes! It's such a trippy, heavy, slightly desperate song. Beautiful."
"yes, i love the look, ","more the songs, like i am the walrus.",comparison,but,mid,"yes, i love the look, but more the songs, like i am the walrus.","Now that you mention it, I could have seen that from the style of eyeglasses that you're wearing."
jim sturgess and evan rachel wood  are the main two.,big ensemble cast.,comparison,but,begin,"no, it is with actors and they sing the songs too.  jim sturgess and evan rachel wood  are the main two. but big ensemble cast.",Who is in it? any actual beatles?
"honestly, i know it's corny, ",i like i want to hold your hand.,comparison,but,mid,"honestly, i know it's corny, but i like i want to hold your hand.",What is your favorite Beattles song?
it's a little slow for me.,i don't like the white album that much.,comparison,but,begin,it's a little slow for me.  but i don't like the white album that much.,What about In My Life?
however it was probably ,he likes heavy metal and that was too light for him i suppose.,contingency,because,mid,i really don't recall his answer. however it was probably because he likes heavy metal and that was too light for him i suppose.,Did he say why he didn't like them? Or who he did like?
i like their solo stuff ,not so much johns or paul's.,comparison,but,mid,i like their solo stuff but not so much johns or paul's.,Ringo is my favorite Beatle. George is second.
i never heard of it ,if he's in it i'd like it.,comparison,but,mid,ah. i never heard of it but if he's in it i'd like it.,A TV show for kids.
it was but seems credited to lennon-mccartney.,was about john's memories of playing in the fields.,comparison,but,begin,it was but seems credited to lennon-mccartney. but was about john's memories of playing in the fields.,"It was a lennon written one , right?"
i had not that about that one ,that's good.,comparison,but,mid,i had not that about that one but that's good. keep going.,The Beatles and Jackson 5 both had lead singers who ventured out on their own.
"very good, you don't know their songs, ",you know their names--how come?,comparison,but,mid,"very good, you don't know their songs, but you know their names--how come?","Actually I can--John Lennon,  Paul McCartney, George Harrison,  and Ringo Starr."
not too likely ,what would you suggest.,comparison,but,mid,not too likely but what would you suggest.,Very funny young man--maybe you should listen to the Beatles once in awhile instead of that rap stuff.
"before that songwriters rarely recorded...elvis was just a singer, not a writer ",the beatles changed the game for everybody.,contingency,so,mid,"they were some of the first rock musicians to write and record their own songs.  before that songwriters rarely recorded...elvis was just a singer, not a writer so the beatles changed the game for everybody.",What's the big deal?
they were some of the first rock musicians to write and record their own songs.,"that songwriters rarely recorded...elvis was just a singer, not a writer so the beatles changed the game for everybody.",temporal,before,begin,"they were some of the first rock musicians to write and record their own songs.  before that songwriters rarely recorded...elvis was just a singer, not a writer so the beatles changed the game for everybody.",What's the big deal?
"i know you're probably too young, ",do you know anything about the beetles?,comparison,but,mid,"i know you're probably too young, but do you know anything about the beetles?",Really
"i liked those too, ",i got sick of hearing them on the radio a lot.,comparison,but,mid,"i liked those too, but i got sick of hearing them on the radio a lot. so i mostly like the ones that weren't as popular.","""Let it Be"" and ""Hey Jude"" I liked a lot."
adult beatles is harder ,they did solo stuff as well.,contingency,because,mid,adult beatles is harder because they did solo stuff as well.,"Oh yeah, that's a good one.  I liked that too."
