arg1,arg2,relation,connective,type,original_utt,original_utt_prev
he talks that way in real life too.,it becomes believable.,contingency,so,begin,and that will be the charm of billy crystal. he just acts that way. he talks that way in real life too. so it becomes believable.,"And I don't like romatic comedies. it's usually acted badly, even with famous comedians. Look at Billy Crystal movies. He has a weird awkward cadence."
"i don't really like her, ",i like her there.,comparison,but,mid,"i don't really like her, but i like her there.",And so is Julia Roberts.
"similar concept, ","andy samberg plays this silly, vain popstar and he has sidekicks, which are the other two guys in lonely island.",comparison,but,mid,"not exactly the lonely island boys. similar concept, but andy samberg plays this silly, vain popstar and he has sidekicks, which are the other two guys in lonely island.","Oh, the one with the Lonely Island Boys? I think they're hilarious!"
"similar concept, but andy samberg plays this silly, vain popstar ","he has sidekicks, which are the other two guys in lonely island.",expansion,and,mid,"not exactly the lonely island boys. similar concept, but andy samberg plays this silly, vain popstar and he has sidekicks, which are the other two guys in lonely island.","Oh, the one with the Lonely Island Boys? I think they're hilarious!"
"it's so unbelievable that anyone would mistake the wayans for two spoiled white girls, ",that's what makes it so funny.,comparison,but,mid,"i know. it's so unbelievable that anyone would mistake the wayans for two spoiled white girls, but that's what makes it so funny.",The absurdity of it is what cracks me up.
"i think they are able to showcase their talents more in white chicks, ",i find both movies to be funny.,comparison,although,mid,"i agree. i think they are able to showcase their talents more in white chicks, although i find both movies to be funny.",I definitely enjoy the Wayans more in this movie than in the Scary Movies.
"i guess you could say that, ",they still manage to make me laugh.,comparison,but,mid,"i guess you could say that, but they still manage to make me laugh.","I just think parody movies are so overrated, and they don't require much talent."
i think there is 4 ,lets not forget the spin-offs.,comparison,but,mid,i think there is 4 but lets not forget the spin-offs.,How many American Pie sequels did they make?
"i have seen her on saturday night live before, ",i had never seen her in a movie.,comparison,but,mid,"i saw it recently, and i really enjoyed kristen wiig.  i have seen her on saturday night live before, but i had never seen her in a movie.","Yes, it's one of my favorite comedies."
i have seen her on saturday night live ,", but i had never seen her in a movie.",temporal,before,mid,"i saw it recently, and i really enjoyed kristen wiig.  i have seen her on saturday night live before, but i had never seen her in a movie.","Yes, it's one of my favorite comedies."
"we say a comedy movie, ",that genre became a thing after many movies used humor in their content,comparison,but,mid,"well, again. genres came after the movies. we say a comedy movie, but that genre became a thing after many movies used humor in their content",Why not? It's simple. Which movie used humor mostly to entertain people?
"well, not really, ",there could've been many movies from same time frame that did the same thing.,contingency,because,mid,"well, not really, because there could've been many movies from same time frame that did the same thing.",So there has to be at least one movie that set that trend
guy gets sprayed by his own water hose.,it's the start of the genre i'd say.,comparison,but,begin,"yeah, it's was a bit of a slapstick comedy. guy gets sprayed by his own water hose. but it's the start of the genre i'd say.",Even the name's humorous.
