arg1,arg2,relation,connective,type,original_utt,original_utt_prev
i think complexity was always present.,now it's evolving.,comparison,but,begin,i think complexity was always present.  but now it's evolving.,I love how complex Disney movies are getting.
"i never looked at it that way, ",you're right.,comparison,but,mid,"i never looked at it that way, but you're right.",The whole thing was an allegory for puberty and growing up in the world.
yeah that was odd ,oloaf was my favorite.,comparison,but,mid,yeah that was odd but oloaf was my favorite.,I was really surprised that Anna was more a main character than Elsa.
"it was okay, ",my son loved goofy so we bought it.,comparison,but,mid,"it was okay, but my son loved goofy so we bought it.",I never knew that.
"it was okay, but my son loved goofy ",we bought it.,contingency,so,mid,"it was okay, but my son loved goofy so we bought it.",I never knew that.
i told marsha about it ,she didn't seem tto thrilled.,comparison,but,mid,i told marsha about it but she didn't seem tto thrilled.,They were excited. They can hardly wait to see it.
i liked lady ,of her curly haired ears and big eyes.,contingency,because,mid,i liked lady because of her curly haired ears and big eyes. i think she was based off of some kind of spaniel.,"I had a mutt that looked like Tramp when I was a kid. We called him Scoundrel, almost the same meaning."
"well, it's a story of friendship between a fox and hound, ",it has a very sad aspect to it.,comparison,but,mid,"well, it's a story of friendship between a fox and hound, but it has a very sad aspect to it.","No, I'm not familiar with that one. What's it about?"
"the fox and the hound become friends when they are young, ",when the hound grows up they are split apart.,comparison,but,mid,"the fox and the hound become friends when they are young, but when the hound grows up they are split apart.",How so? What is sad about it?
"i can't count how many times i watched lion king, ",i always looked away during the scene where mufasa died.,comparison,but,mid,"i can't count how many times i watched lion king, but i always looked away during the scene where mufasa died.","Yes, that is true. Lion King, Bambi, and all of the other movies at that time had some sad parts in the plots."
i am not sure ,whomever it was i think it was my favorite character just because of the voice.,comparison,but,mid,i am not sure but whomever it was i think it was my favorite character just because of the voice.,Wasn't it Rosie O'donnell?
i am not sure but whomever it was i think it was my favorite character just ,of the voice.,contingency,because,mid,i am not sure but whomever it was i think it was my favorite character just because of the voice.,Wasn't it Rosie O'donnell?
"it was okay, ",cinderella is still the best.,comparison,but,mid,"it was okay, but cinderella is still the best.","Oh, right! That's the one with Wayne ""the Rock"" Johnson."
"yeah, it's weird ",you have to take stories like that with a grain of salt.,comparison,but,mid,"yeah, it's weird but you have to take stories like that with a grain of salt.",The giant living in the clouds was always such a weird part of that story to me.
"anyway, it comes out in 2020, ",we've got a while to wait.,contingency,so,mid,"anyway, it comes out in 2020, so we've got a while to wait.","Yeah, it's weird but you have to take stories like that with a grain of salt."
i don't know ,i'll find out.,comparison,but,mid,i don't know but i'll find out.,Was there an Aladdin 2 film made?
i do and ,", my family and i went to see it several times.",expansion,in fact,mid,"i do and in fact, my family and i went to see it several times. i think it's the movie i've seen the most times at the theater ever.",Did you remember if you went and saw it in the theater?
"that is an extremely tough question, ",i'll have to go with 'beauty and the beast.',comparison,but,mid,"that is an extremely tough question, but i'll have to go with 'beauty and the beast.'",What is the best Disney movie?
"well, i liked it a lot.","it was pretty much, beat-for-beat, the exact same as the original.",comparison,but,begin,"well, i liked it a lot.  but it was pretty much, beat-for-beat, the exact same as the original.",What was your opinion on it?
"i would have to say old, ",i grew up on them.,contingency,because,mid,"i would have to say old, because i grew up on them.",Do you like old or new Disney movies better?
and the animation has improved ,"kept the same style, which i just love.",comparison,but,mid,"and the animation has improved but kept the same style, which i just love.",Even the humor stands the test of time. My kids love old Disney just as much as new Disney.
"i'd say mulan, ",i like so many others!,comparison,but,mid,"i'd say mulan, but i like so many others!",Whats your favorite Disney movie ever?
"instead of people, humans are represented as animals, and there are the poor ","the rich, robin hood steals from the rich to give to the poor.",expansion,and,mid,"instead of people, humans are represented as animals, and there are the poor and the rich, robin hood steals from the rich to give to the poor.",What is it about?
"prince john is a lion which is referring the lions as being kings of the jungle, ","his brother is the rightful king, and his minion is a snake.",contingency,because,mid,"prince john is a lion which is referring the lions as being kings of the jungle, because his brother is the rightful king, and his minion is a snake.",What Kind of animal is his antagonist?
"i guess if the mirror said so, it should be true, ",her step mother should now better since she had to get old eventually.,comparison,but,mid,"i guess if the mirror said so, it should be true, but her step mother should now better since she had to get old eventually.",Do you think Snow White was the most beautiful one in the land?
"i did not know that, ",i can see why.,comparison,but,mid,"wow! i did not know that, but i can see why.",It is actually the third-highest-grossing animated film of all time.
"he has his flaws, ",the movies allow him to grow past them.,comparison,but,mid,"because he's an effective leader, he keeps everyone together. he has his flaws, but the movies allow him to grow past them.",Why?
"i guess i could, ",i'm really not that good at sewing or costuming or whatever.,comparison,but,mid,"i guess i could, but i'm really not that good at sewing or costuming or whatever.","It doesn't matter, you can make your own version! People are always putting their own spin on things, ""steampunk"" this and ""modern"" that."
"she meant well, ",lots of shenanigans happened.,comparison,but,mid,"she meant well, but lots of shenanigans happened.","Poor thing, just trying to get her parents back together."
"i tell you, i love elton john, ",i don't ever want to hear can you feel the love tonight again.,comparison,but,mid,"i tell you, i love elton john, but i don't ever want to hear can you feel the love tonight again.","Well, there are some good songs."
i saw the new tarzan ,i didn't really like it.,comparison,but,mid,i saw the new tarzan but i didn't really like it.,Seems like he was born to play that part. I thought it was a great movie.
"well disney is the king of personification, ",they did what came naturally.,contingency,so,mid,"well disney is the king of personification, so they did what came naturally.","When you think about it, the whole cars world is a bit unsettling. What was disney thinking?"
"i thought it was cute, ",i liked the sequel way better.,comparison,but,mid,"i thought it was cute, but i liked the sequel way better.",Did you like 'Finding Nemo?'
"just a tad, ",there's a lot to critique.,comparison,but,mid,"just a tad, but there's a lot to critique.","We are particular on Disney movies, aren't we?"
"i know, ",i think they just both took off in the same way.,comparison,but,mid,"i know, but i think they just both took off in the same way.",Do you think so? They're such different movies.
"i liked it at first, ",now i can't stand it.,comparison,but,mid,"i agree. i liked it at first, but now i can't stand it.","The ""Let It Go"" song kind of annoys me sometimes."
"i actually never saw the movie, ",i loved the animated series.,comparison,but,mid,"i actually never saw the movie, but i loved the animated series.",Did you like it?
"ya, that's a part i liked more as i'm older ",i don't think they liked it.,comparison,but,mid,"ya, that's a part i liked more as i'm older but i don't think they liked it.",I still like Simba and Nala singing Can you Feel the love tonight.
