arg1,arg2,relation,connective,type,original_utt,original_utt_prev
"haha, you're funny, ","it's kinda true, the movie series has been fast and furious",comparison,but,mid,"haha, you're funny, but it's kinda true, the movie series has been fast and furious","Well, I think it's fast and furious"
"i don't consider myself a car fan, ",i'm visually stunned by those crazy effects,comparison,but,mid,"i don't consider myself a car fan, but i'm visually stunned by those crazy effects",indeed. All the car fans must be having an orgasm when watching the movies
It's just plain dumb if you ask me.,it's super fun to watch.,comparison,but,begin,but it's super fun to watch.,They literally took street racing to global warfare. It's just plain dumb if you ask me.
"i loved five, ",seven was so emotional.,comparison,but,mid,"that's a tough question to answer.  i loved five, but seven was so emotional.",What was your favorite 'Fast & Furious' movie?
"they do, ",the racing is portrayed almost like an afterthought.,comparison,but,mid,"they do, but the racing is portrayed almost like an afterthought.",They still have racing.
he had a schedule conflict with hercules ,got it straightened out.,comparison,but,mid,yes.  he had a schedule conflict with hercules but got it straightened out.,Is Dwayne Johnson in this?
"well, i guess you have a point, ",i thought the change of scenery was pretty cool and the cultural shift intrigued me.,comparison,but,mid,"well, i guess you have a point, but i thought the change of scenery was pretty cool and the cultural shift intrigued me.",The acting was pathetic and it just really didn't fit in with the other two. I mean come on Paul and Vin were nowhere in it and their interation made the ones before.
"totally, he's strong enough to be menacing ",still able to make the jokes seem realistic.,comparison,but,mid,"totally, he's strong enough to be menacing but still able to make the jokes seem realistic.",He does bring a certain level of awesome to the film.
the only reason i'd watch it is ,ludacris is in it.,contingency,because,mid,the only reason i'd watch it is because ludacris is in it.,It's supposed to be ridiculous. It's over the top and the corny dialogue makes it even better.
"i'll remember that, ",don't get your hopes up.,comparison,but,mid,"i'll remember that, but don't get your hopes up.",I highly recommend 2 Fast 2 Furious. That's the funniest one by far.
"yeah i do, ",i liked them more when they were more about cars.,comparison,but,mid,"yeah i do, but i liked them more when they were more about cars.",Do you like the Fast and Furious movies?
"well, not everyone, maybe yes, ",his character is way too off the ground.,comparison,but,mid,"well, not everyone, maybe yes, but his character is way too off the ground.",I think almost everyone in fast and furious series is portrayed that way.
you keep the main stars and you slowly introduce new ones ,the audience can grow attached!,contingency,so,mid,that's how you keep a franchise going! you keep the main stars and you slowly introduce new ones so the audience can grow attached!,Such a tragic lost. I know what you mean. It does seem with every Fast and Furious they're introducing a new character.
he's beyond ridiculous as each movie goes on ,in a fun positive way.,comparison,but,mid,the rock is great! he's beyond ridiculous as each movie goes on but in a fun positive way.,I am definitely glad the Rock got to be a part of the universe. Ever since Fast 5 I've been on the Rock train the whole way!
"no, not yet, ",i thought i would ask you about it.,comparison,but,mid,"no, not yet, but i thought i would ask you about it. did you like it?","Oh, yeah, for sure! They are some of favorite movies! Did you see ""The Fate of the Furious"" yet?"
"well, i don't want to spoil too much, ","they go pretty much everywhere in this one, including cuba, russia, and new york.",comparison,but,mid,"well, i don't want to spoil too much, but they go pretty much everywhere in this one, including cuba, russia, and new york.",Cool! Where did they go in this one?
"i liked fast five, ",miss the focus on street racing.,comparison,but,mid,"i liked fast five, but miss the focus on street racing.","Yeah, for once he's not just the comedic relief. He was like, ""How am I number 11 on the top ten most wanted list?"""
"me too, ","i can forgive it for that film, it was so good and funny even.",comparison,but,mid,"me too, but i can forgive it for that film, it was so good and funny even.","I liked Fast Five, but miss the focus on street racing."
"i think vin diesel has stated that it is, ","i'm not sure, i'd have to look it up.",comparison,but,mid,"i think vin diesel has stated that it is, but i'm not sure, i'd have to look it up.",I wonder if you asked the actors if it would be their favorite.
"i would say the first, ",i also like furious 7.,comparison,but,mid,"i would say the first, but i also like furious 7.",Which one is your favorite?
i thought it was sad that they lost paul walker ,i think they handled it well.,comparison,but,mid,i thought it was sad that they lost paul walker but i think they handled it well.,"Yes, I have seen each of them during opening week. I love the action and the cars."
"the characters are all well done, ",the cars are the stars as far as i am concerned.,comparison,but,mid,"the characters are all well done, but the cars are the stars as far as i am concerned.",There is nothing like it. The sound of the cars racing and chasing is amazing.
"for me, it holds a special place in my heart ",it was the sendoff film for brian.,contingency,because,mid,"for me, it holds a special place in my heart because it was the sendoff film for brian.",Same here. What's your reason?
"i know, it’s almost crazy that they keep making them ",they are so good!,comparison,but,mid,"i know, it’s almost crazy that they keep making them but they are so good!",Can you believe how many fast and the furious movies there are?
i would say number 1 is my favorite ,it’s the original and number 2nis my least favorite?,contingency,because,mid,i would say number 1 is my favorite because it’s the original and number 2nis my least favorite?,Which one is your favorite and which one is your least favorite?
"i like vin diesel turning kinda bad in some parts of the movies, ",i don't want to give away the ending if you haven't watched it.,comparison,but,mid,"i liked it. it was pretty good. i like vin diesel turning kinda bad in some parts of the movies, but i don't want to give away the ending if you haven't watched it.",Did you like it?
"i think i know what you mean, ",you need to elaborate some more.,comparison,but,mid,"i think i know what you mean, but you need to elaborate some more.",I just don't know what to think about the Fast and The Furious films now?
"the stunts were great, ",for the most part everything was believable.,comparison,but,mid,"right.  the stunts were great, but for the most part everything was believable.","It also revolved around ""family"" as ""Dom"" always likes to say."
"maybe it is because i am getting old, ",i like my action scenes to be more realistic.,comparison,but,mid,"maybe it is because i am getting old, but i like my action scenes to be more realistic.","In the Fate of The Furious, the Rock's character manhandled a torpedo.  I love it."
maybe it is ,"i am getting old, but i like my action scenes to be more realistic.",contingency,because,mid,"maybe it is because i am getting old, but i like my action scenes to be more realistic.","In the Fate of The Furious, the Rock's character manhandled a torpedo.  I love it."
"let me guess, is it ",of the fast & furious films.,contingency,because,mid,"let me guess, is it because of the fast & furious films.","Yes, and mine just happens to be Vin Diesel."
"yeah, and ","of that, so many people see them as film masterpieces.",contingency,because,mid,"yeah, and because of that, so many people see them as film masterpieces.",I can understand that. They're incredibly popular.
i never thought about that ,you're right.,comparison,but,mid,"that's funny. i never thought about that but you're right. that trucker was prepared, with his shotgun, and he was so calm during the whole truck heist.","Well, he's the only guy who's been able to battle off Dom. If you think about everything Dom's been able to accomplish throughout the whole series, the Trucker was the only one to have successfully foil his plans."
he must be sitting at home watching the events from all the other fast ,furious movies and laughing to himself about how he stood up to dom.,expansion,and,mid,"seriously, that trucker is legendary. he must be sitting at home watching the events from all the other fast and furious movies and laughing to himself about how he stood up to dom.","That's funny. I never thought about that but you're right. That trucker was prepared, with his shotgun, and he was so calm during the whole truck heist."
"it's amazing really, he was on his own in that truck ","i think he took out vince, and nearly got dom too.",expansion,and,mid,"it's amazing really, he was on his own in that truck and i think he took out vince, and nearly got dom too.","Seriously, that trucker is legendary. He must be sitting at home watching the events from all the other Fast and Furious movies and laughing to himself about how he stood up to Dom."
every movie after the third has been nothing ,hot garbage to be honest,comparison,but,mid,every movie after the third has been nothing but hot garbage to be honest,That is not that bad of  a thing
"that was classic, ","for me, his best scene was his first appearance.",comparison,but,mid,"that was classic, but for me, his best scene was his first appearance. after the race when brian gives him some of the winnings and he turns to show it off to the crowd.","Yes, I busted out laughing at that."
"that was classic, but for me, his best scene was his first appearance.",the race when brian gives him some of the winnings and he turns to show it off to the crowd.,temporal,after,begin,"that was classic, but for me, his best scene was his first appearance. after the race when brian gives him some of the winnings and he turns to show it off to the crowd.","Yes, I busted out laughing at that."
"i suppose so, ",the franchises just seem to keep making movies even after they stop being good.,comparison,but,mid,"i suppose so, but the franchises just seem to keep making movies even after they stop being good.","Well, they did call the last one the fate of the eight."
i actually liked the first movie ,of vin diesel.,contingency,because,mid,i actually liked the first movie because of vin diesel. i personally think he made the movie a blast.,Yes! That was best movie of all the fast and furious movies. Brian Walker was just starting out and did a great job.
vin diesel was good ,all the actors in the movie made it a great success.,comparison,but,mid,vin diesel was good but all the actors in the movie made it a great success.,I actually liked the first movie because of Vin Diesel. I personally think he made the movie a blast.
the story line was also great ,what movie about cars is not great?,contingency,because,mid,the story line was also great because what movie about cars is not great?,Vin Diesel was good but all the actors in the movie made it a great success.
ja rule was alright in the movie ,i think any rapper could play his part.,comparison,but,mid,ja rule was alright in the movie but i think any rapper could play his part.,Tell me about it. Now there's like eight of them out now. I liked Ja Rule character as well.
"i mean it was great because it was a submarine, ",that submarine was also launching torpedoes at the cars!,comparison,but,mid,"i mean it was great because it was a submarine, but that submarine was also launching torpedoes at the cars!",I've never seen a car chase involving a submarine before. A first for everything!
i mean it was great ,"it was a submarine, but that submarine was also launching torpedoes at the cars!",contingency,because,mid,"i mean it was great because it was a submarine, but that submarine was also launching torpedoes at the cars!",I've never seen a car chase involving a submarine before. A first for everything!
"i'm drawing a blank, ",fate of the furious had a lot of over the top moments!,comparison,but,mid,"i'm drawing a blank, but fate of the furious had a lot of over the top moments!",I'm trying to think of another scene in the series or any other movies that had something that outrageous.
i was too.,", she and dom made a striking couple for a little while.",comparison,but,begin,"i was too. but, she and dom made a striking couple for a little while.","I was so sure that Elana and Hobbs were going to end up together, instead of her and Dom."
it is ok  ,i  think  its  off  character  for  some  of  the  guys.,comparison,but,mid,it is ok  but  i  think  its  off  character  for  some  of  the  guys.,So does  the new movie  hold up  in the  fast  and  furious  series ?
yes at first it was off putting since it was new characters ,i got used to it.,comparison,but,mid,yes at first it was off putting since it was new characters but i got used to it.,Did you like Fast and the Furious Tokyo Drift?
"i didnt think they could get better after the second one, ",when the rock showed up everything changed.,comparison,but,mid,"i didnt think they could get better after the second one, but when the rock showed up everything changed.",You dont have to tell me twice!
there are a few details.,", vin diesel and the rock are set to reprise their roles.",expansion,for instance,begin,"there are a few details.  for instance, vin diesel and the rock are set to reprise their roles.",Are there any rumors yet about 'Fast 9?'
"that's cool, ",i'm actually surprised.,comparison,but,mid,"that's cool, but i'm actually surprised.","There are a few details.  For instance, Vin Diesel and The Rock are set to reprise their roles."
apparently they had a feud ,were cordial to each other on set.,comparison,but,mid,i did hear something like that.  apparently they had a feud but were cordial to each other on set.,Didn't they not get along during the shooting of the movie?
yes i did ,it's not the same without mia and brian.,comparison,but,mid,yes i did but it's not the same without mia and brian.,Did you see the new Fast & the Furious?
"i know paul walker wasn't in this one because he passed, ",why wasn't mia?,comparison,but,mid,"i know paul walker wasn't in this one because he passed, but why wasn't mia?",Yes I did but it's not the same without Mia and Brian.
i know paul walker wasn't in this one ,"he passed, but why wasn't mia?",contingency,because,mid,"i know paul walker wasn't in this one because he passed, but why wasn't mia?",Yes I did but it's not the same without Mia and Brian.
yeah i like that one ,bow wow is in it.,contingency,because,mid,yeah i like that one because bow wow is in it.,I have seen them all. My favorite is Tokyo Drift.
"the dialogue is usually a little cliche, ",i only watch for the action.,comparison,but,mid,"the dialogue is usually a little cliche, but i only watch for the action.",The only thing that I think needed more work was the dialogue. It just seemed kind of cheesy.
the boat was two and the physics were impossible ,thats 2 fast 2 furious.,comparison,but,mid,the boat was two and the physics were impossible but thats 2 fast 2 furious.,Was that the one with the boat or race?
"yeah, they are pretty good, ",they are no part 1.,comparison,but,mid,"yeah, they are pretty good, but they are no part 1.",Do you like the ones with The Rock in them?
"i dont remember which one is my favorite, ",i love the one with safe,comparison,but,mid,"i dont remember which one is my favorite, but i love the one with safe","Yeah, they are pretty good, but they are no part 1."
i like the story line ,it actually made me care!,contingency,because,mid,i like the story line because it actually made me care!,"It was so original back then, all the actors were great too!"
it was so sad when they both made it ,then vin crashed!,comparison,but,mid,it was so sad when they both made it but then vin crashed!,It had me on the edge of my seat!
"in other words, they will keep raising the stakes for the main characters ",there is such a high demand for these movies.,contingency,because,mid,"in other words, they will keep raising the stakes for the main characters because there is such a high demand for these movies.",I believe it grossed $1.23 billion.
"they did show them together at the beginning, ",it sort of dropped off after that.,comparison,but,mid,"they did show them together at the beginning, but it sort of dropped off after that.",Did they explain how Dom had a relationship with that Brazil cop?
"brian -- after the character in the movie, ",i think they should have named him paul.,comparison,but,mid,"brian -- after the character in the movie, but i think they should have named him paul.",What did they name the baby?
"no, i suppose not, ",i am glad he got over that.,comparison,but,mid,"no, i suppose not, but i am glad he got over that.",I don't know that he was too interested at the time.
"i like them, ",not nearly as much.,comparison,but,mid,"really? i like them, but not nearly as much.","Me too. I like the newer ones even more, though."
"me too, ",it just wasn't what i expected from them.,comparison,but,mid,"me too, but it just wasn't what i expected from them.","Yeah, but I love heist films!"
"yes i know now, ",i completely spaced about oil viscosities when i was watching it the first few times.,comparison,but,mid,"yes i know now, but i completely spaced about oil viscosities when i was watching it the first few times.",Are you for real right now?
tokyo drift was the third released ,actually takes place after the sixth movie.,comparison,but,mid,tokyo drift was the third released but actually takes place after the sixth movie.,"That is interesting, I had no idea."
"american muscle had a ton of horsepower, brians car would win with a lot of curves ",that's the only way,comparison,but,mid,"american muscle had a ton of horsepower, brians car would win with a lot of curves but that's the only way",Why do you think that?
plus don't forget dom has been racing his entire life ,he could have gotten every bit of speed out of his car,contingency,so,mid,plus don't forget dom has been racing his entire life so he could have gotten every bit of speed out of his car,Brian's car had NOS though which should have accounted for extra speed
"i mean i liked the first one alright, ",i feel like the other movies would just kind of all be the same storyline.,comparison,but,mid,"i don't get it. i mean i liked the first one alright, but i feel like the other movies would just kind of all be the same storyline.","Yea, it's pretty ridiculous that they can make so many movies from that one franchise."
"well first off, i only watched it ",it was playing on the airplane i was on.,contingency,because,mid,"well first off, i only watched it because it was playing on the airplane i was on.",How'd you like the 6th one?
"i mean the movie was alright, it was pretty ridiculous at times ",i didn't really know/remember half of the characters since it had been so long since i last saw a fast and furious movie.,expansion,and,mid,"i guess you could say that. i mean the movie was alright, it was pretty ridiculous at times and i didn't really know/remember half of the characters since it had been so long since i last saw a fast and furious movie.","Haha, so you were basically forced to watch it?"
"i mean i know of people who really enjoy them, ",personally not really my cup of tea.,comparison,but,mid,"yea, no thanks. i mean i know of people who really enjoy them, but personally not really my cup of tea.",Well maybe you should watch the other ones then. Haha.
"the fate of the furious was not only great action, ",great comedy as well.,comparison,but,mid,"the fate of the furious was not only great action, but great comedy as well.",He actually saved Dom's son. The interaction with him and the baby was hilarious.
"that's true, ",i don't know why.,comparison,but,mid,"that's true, but i don't know why.",But you told me that you watch those movies pretty much all the time.
"if i remember correctly it goes the fast and the furious, 2 fast 2 furious, fast ","furious, fast five, fast & furious 6, tokyo drift, furious 7, the fate of the furious.",expansion,and,mid,"if i remember correctly it goes the fast and the furious, 2 fast 2 furious, fast and furious, fast five, fast & furious 6, tokyo drift, furious 7, the fate of the furious.",Yeah the whole sequence is a bit confusing if you haven't been following the series the whole way through.
it always throws me off since there was also that one short after the first ,second one where it covers paul walker's trip to miami and obtaining that skyline.,expansion,and,mid,it always throws me off since there was also that one short after the first and second one where it covers paul walker's trip to miami and obtaining that skyline.,You got it. That's the correct chronological order.
it always throws me off since there was also that one short ,the first and second one where it covers paul walker's trip to miami and obtaining that skyline.,temporal,after,mid,it always throws me off since there was also that one short after the first and second one where it covers paul walker's trip to miami and obtaining that skyline.,You got it. That's the correct chronological order.
"yeah they brought back michelle rodriguez' character, ",i'm not surprised if han comes back and gal gadot needs to come back too!,contingency,so,mid,"yeah they brought back michelle rodriguez' character, so i'm not surprised if han comes back and gal gadot needs to come back too!",Yeah it's a fun extra for the fans. I'm looking forward to seeing if they do bring Han back somehow. I wouldn't be surprised.
"that wasn't intentional, ",which one was your favorite?,comparison,but,mid,"did i? that wasn't intentional, but which one was your favorite?","I kinda feel the same, well you kinda make us look old, haha"
"yeah i get what you mean, ",it was still pretty cool.,comparison,but,mid,"yeah i get what you mean, but it was still pretty cool.","I had mixed feelings about that one, I mean none of the original characters and some random guy as lead."
That's just nuts!,"you have to admit, it makes for great fun.",comparison,but,begin,"but you have to admit, it makes for great fun.",I know! Driving sports cars through buildings in Dubai? That's just nuts!
and don't forget 'the fate of the furious' when they go to germany ,kill a bunch of police officers who try to stop them from stealing.,expansion,and,mid,and don't forget 'the fate of the furious' when they go to germany and kill a bunch of police officers who try to stop them from stealing.,"That is so true.  In 'Fast Five,' they basically destroyed parts of Brazil while dragging that bank vault with their cars."
"don't get your ducks in a row, ",their just might be a fast and the furious 9.,comparison,but,mid,"don't get your ducks in a row, but their just might be a fast and the furious 9.",Really honestly after Fate and the Furious will there be anymore Furious movies?
