arg1,arg2,relation,connective,type,original_utt,original_utt_prev
i love this series ,the story is complex.,contingency,because,mid,i love this series because the story is complex.,I think that is so true.
they were both from too sad of a background i think.,", i did like that moment.",comparison,but,begin,"they were both from too sad of a background i think. but, i did like that moment.","It was such a cute moment, and I thought for sure it meant that Harry and Luna would have a thing later on."
"yeah, it's nice now that we can watch them together, ",it was awful when part one had come out and part two hadn't yet!,comparison,but,mid,"yeah, it's nice now that we can watch them together, but it was awful when part one had come out and part two hadn't yet!","I was really pleased with it. I'm glad they split it into two parts to cover more, since the book was so long."
"i saw part one on opening night, ",i saw part two in theaters a few weeks after it came out.,comparison,but,mid,"i saw part one on opening night, but i saw part two in theaters a few weeks after it came out.",Did you see them in theaters?
"snape wasn't evil exactly, ",he wasn't actually a good guy.,comparison,but,mid,"snape wasn't evil exactly, but he wasn't actually a good guy. he treated his students really unfairly.",Not all Slytherins are evil. Snape wasn't evil.
"i thought so too, ",i'll probably still go see it.,comparison,but,mid,"i thought so too, but i'll probably still go see it. i love the harry potter movies though they are different from the books.",It sounded a little to far off base for me. Like the description of Harry sounded completely out of character.
"i know, ",she could have been a bit more sane.,comparison,but,mid,"i know, but she could have been a bit more sane.","Well, her dad's a nutcase."
so my wife want's to watch harry potter tonight ,i feel i'm too old to watch the movies what do you think?,comparison,but,mid,so my wife want's to watch harry potter tonight but i feel i'm too old to watch the movies what do you think?,Sure and we can watch them
"okay, i know it wasn't easy, ",did he have to be so mean?,comparison,but,mid,"okay, i know it wasn't easy, but did he have to be so mean?","Yes, but he was also trying to protect them even though the experience was extremely painful for him."
"yeah, and then he was so close to harry throughout most of his time at hogwarts ",harry didn't even know.,comparison,but,mid,"yeah, and then he was so close to harry throughout most of his time at hogwarts but harry didn't even know.",I really don't like Peter Pettigrew. He betrayed the Potters and ultimately helped Voldemort come back to power.
"i know, i felt bad for cedric.",that fight with voldemort was pretty cool.,comparison,but,begin,"i know, i felt bad for cedric.  but that fight with voldemort was pretty cool.",I know right?  And to the worst possible place.
"She was more than just a kid, she had seen a lot of death and sadness.",she still kept the sort of sad but happy tone to herself.,comparison,but,begin,but she still kept the sort of sad but happy tone to herself.,"I think that is what made her complex. She was more than just a kid, she had seen a lot of death and sadness."
but she still kept the sort of sad ,happy tone to herself.,comparison,but,mid,but she still kept the sort of sad but happy tone to herself.,"I think that is what made her complex. She was more than just a kid, she had seen a lot of death and sadness."
"i think it was meant to show that even young people can grown from despair, it changes them, ",they can still be happy in their selves.,comparison,but,mid,"i think it was meant to show that even young people can grown from despair, it changes them, but they can still be happy in their selves.",But she still kept the sort of sad but happy tone to herself.
"i love them all, ","i think my favorite would have to be ""half-blood prince.""",comparison,but,mid,"i love them all, but i think my favorite would have to be ""half-blood prince.""",What's your favorite Harry Potter movie?
"i think so too, ",he was still young and didn't make any really life changing decisions yet.,comparison,but,mid,"i think so too, but he was still young and didn't make any really life changing decisions yet.","As much as I don't like him, he did seem to have somewhat of a heart in the last movie."
"agreed, from the cave scene on i had a feeling ",i didn't think it would happen.,comparison,but,mid,"agreed, from the cave scene on i had a feeling but i didn't think it would happen.",The whole Dumbledore death and lead up was phenomenally done.
"i always hated malfoy, ",in that moment i'm not sure if i hated him or pitied him.,comparison,but,mid,"oh no! i always hated malfoy, but in that moment i'm not sure if i hated him or pitied him.",Oh that part killed me. Then when they get back and get to the tower.
"clearly he's despicable, ",i felt for him a little too.,comparison,but,mid,"clearly he's despicable, but i felt for him a little too.","Oh no! I always hated Malfoy, but in that moment I'm not sure if I hated him or pitied him."
and harry only realizing he was free ,dumbledore had died.,contingency,because,mid,"and harry only realizing he was free because dumbledore had died. oh, i hated it so much but it was so well done.","Then, with his final act of power, Dumbledore keeps Harry bound under the cloak."
"oh, i hated it so much ",it was so well done.,comparison,but,mid,"and harry only realizing he was free because dumbledore had died. oh, i hated it so much but it was so well done.","Then, with his final act of power, Dumbledore keeps Harry bound under the cloak."
"yeah, i know, ",isn't it a little creepy to marry someone who was so crazy about you that she was lured to the chamber of secrets?,comparison,but,mid,"yeah, i know, but isn't it a little creepy to marry someone who was so crazy about you that she was lured to the chamber of secrets?",Hello!  It's a movie!
"i mean i like him, ",i really like lupin.,comparison,but,mid,"no. i mean i like him, but i really like lupin.",That's definitely a good one. Are you a big Sirius Black fan?
"i can understand that, ",if you have free time give one a try.,comparison,but,mid,"i can understand that, but if you have free time give one a try.","I agree, I am normally not a person who likes what everyone else likes."
"nice to hear, i hope they have more movies ",you can enjoy them.,contingency,so,mid,"nice to hear, i hope they have more movies so you can enjoy them.","I really like the movies, it is great to me."
Such a hard time for a mom.,she was so badass in the end.,comparison,but,begin,but she was so badass in the end.,And Molly. Such a hard time for a mom.
"one of my favorite parts wsa when harry saved not just one, ",two people from the lake.,comparison,but,mid,"one of my favorite parts wsa when harry saved not just one, but two people from the lake.",I know! It really was cool to find out that viktor Krum was in Durmstrang. And a Triwizard champion at that!
i'm pretty sure grindewald broke up with him ,he was so passive aggressive.,contingency,because,mid,yes! what a master manipulator. i'm pretty sure grindewald broke up with him because he was so passive aggressive.,Wasn't Dumbledore the absolute worst?
"i don't know, ",maybe he has an extended life expectancy.,comparison,but,mid,"i don't know, but maybe he has an extended life expectancy.",is he still alive?
"yeah, maybe ",he was in love with her too.,comparison,but,mid,"yeah, maybe but he was in love with her too.",Only because Dumbledore told him to and he felt guilty about Lilly.
Just like the prophecy said would be needed.,his parents are alive.,comparison,but,begin,but his parents are alive.,"Yes, but he was also saved out of love. Just like the prophecy said would be needed."
"that part used to scare me when i was little, especially when voldemort ",quirrell separate from each other and voldemort's soul is flying around the room.,expansion,and,mid,"that part used to scare me when i was little, especially when voldemort and quirrell separate from each other and voldemort's soul is flying around the room.","I also like when Harry, Ron and Hermione have to fight past all of those different challenges to find Professor Quirrell and fight Voldemort."
just take hannah out of class one day ,"her mother died, that actress had done a couple of harry potter movies, that would've been fine!",contingency,because,mid,"exactly, i think they could've done that better if they, you know, actually did stuff from the books. just take hannah out of class one day because her mother died, that actress had done a couple of harry potter movies, that would've been fine!","I mean, I get what they were going for, they wanted to add something darker to offset all the wacky forced high school romance, right?"
"because they established earlier that there's a spell that can fix things earlier in half-blood prince, ",there was no reason to worry in the first place.,contingency,so,mid,"because they established earlier that there's a spell that can fix things earlier in half-blood prince, so there was no reason to worry in the first place.","And when they burned down the Burrow, it was back and fine again in the next movie."
"i liked them all, ",for different reasons.,comparison,but,mid,"i liked them all, but for different reasons.",How so?
"yeah, so powerful, ",he left himself exposed.,comparison,but,mid,"yeah, so powerful, but he left himself exposed. it bothered me too.","That always kind of bothered me about it. He was so powerful, but"
i almost would have liked the movie to end ,the future scene with characters all grown up.,temporal,before,mid,"yeah, i'm not sure that was a good idea. i almost would have liked the movie to end before the future scene with characters all grown up.",You mean with seeing the future of how things all turned out?
"well, i guess they kind of knew, ",it had been opened before.,contingency,because,mid,"well, i guess they kind of knew, because it had been opened before. but then why didn't dumbledore destroy it?","Haha, let it out. It bothers me too."
