arg1,arg2,relation,connective,type,original_utt,original_utt_prev
"he did, ","not sure i would necessarily say he was bratty, well okay he was, but more a product of his environment.",comparison,but,mid,"he did, but not sure i would necessarily say he was bratty, well okay he was, but more a product of his environment.","No doubt about it, Noah Wiseman also played the bratty little kid to perfection."
"he did, but not sure i would necessarily say he was bratty, well okay he was, ",more a product of his environment.,comparison,but,mid,"he did, but not sure i would necessarily say he was bratty, well okay he was, but more a product of his environment.","No doubt about it, Noah Wiseman also played the bratty little kid to perfection."
"that's what made me hate it at first, ",i started appreciating it upon subsequent viewing.,comparison,but,mid,"that's what made me hate it at first, but i started appreciating it upon subsequent viewing.",It really was. I literally couldn't stomach the shaky cam.
"that's understandable, ",they certainly made an impact!,comparison,but,mid,"that's understandable, but they certainly made an impact!","They were, though those scenes were a bit gory for my taste."
the best part is the ending: they kill themselves to not be killed by the spiders ,the fog is so thick that they can't see the military help that arrives 30 seconds later.,comparison,but,mid,the best part is the ending: they kill themselves to not be killed by the spiders but the fog is so thick that they can't see the military help that arrives 30 seconds later.,"WOAH, nice for arachnaphobists."
"dang, that's intense!",thanks for ruining it.,comparison,but,begin,"dang, that's intense! but thanks for ruining it.",The best part is the ending: they kill themselves to not be killed by the spiders but the fog is so thick that they can't see the military help that arrives 30 seconds later.
"well, gosh there's several that have been out for awhile i want to watch ",haven't gotten around to.,comparison,but,mid,"well, gosh there's several that have been out for awhile i want to watch but haven't gotten around to. for examples, train to busan/","So, what horror films do you want to see?"
"haha.. yeah, they both have to do with zombies... ",i don't think they're called that in the girl.,comparison,although,mid,"haha.. yeah, they both have to do with zombies... although i don't think they're called that in the girl.",I'm sensing a theme here...
"yeah, and there is a comic relief character, ",sometimes you need the relief because the movie is so intense.,comparison,but,mid,"yeah, and there is a comic relief character, but sometimes you need the relief because the movie is so intense.",Isn't he that guy from SNL?
"yeah, and there is a comic relief character, but sometimes you need the relief ",the movie is so intense.,contingency,because,mid,"yeah, and there is a comic relief character, but sometimes you need the relief because the movie is so intense.",Isn't he that guy from SNL?
"bruce willis too, ",osment stole the show.,comparison,but,mid,"he really did. bruce willis too, but osment stole the show.",Neither did I. Haley Joel Osment did such a great job in that role.
they're a bit ridiculous ,they seem like they could happen in america.,comparison,but,mid,they're a bit ridiculous but they seem like they could happen in america.,What do you think of The Purge movies?
"it's basically home invasion, ",the whole country.,comparison,but,mid,"yeah, definitely. it's basically home invasion, but the whole country.",Would you consider it horror?
"the second was awful, ",the third redeems itself a bit.,comparison,but,mid,"the second was awful, but the third redeems itself a bit.",How were they?
