arg1,arg2,relation,connective,type,original_utt,original_utt_prev
all of them are perfect ,i'm going to have to say either the fame or the fame monster.,comparison,but,mid,oh wow. all of them are perfect but i'm going to have to say either the fame or the fame monster.,What is your favorite album by Lady Gaga?
i'll be happy when she has a concert near here ,we can go.,contingency,so,mid,cool. i'll be happy when she has a concert near here so we can go.,"I like Brown Eyes from The Fame and Monster from The Fame Monster. I agree, the entire albums are epic."
i actually think i may have heard that song pokerface ,it just slipped my mind.,temporal,before,mid,i actually think i may have heard that song pokerface before it just slipped my mind.,Sure. My favorites are PokerFace and Papparazi.
i like her old stuff ,not her new stuff.,comparison,but,mid,i like her old stuff but not her new stuff.,Yes occasionally I find her alright.
yeah her old stuff was good ,it was club music mostly.,contingency,because,mid,yeah her old stuff was good because it was club music mostly.,I like her old stuff but not her new stuff.
that one was semi okay ,not my favorite.,comparison,but,mid,that one was semi okay but not my favorite.,What about the Fame Monster album?
"no i haven't, ",i've heard they are incredible.,comparison,but,mid,"no i haven't, but i've heard they are incredible.",No I never have.  Have you?
"i really like the meaning behind it as well, ",the beat is not my favorite.,comparison,but,mid,"i really like the meaning behind it as well, but the beat is not my favorite.","I think I'd say it's, ""Born This Way"" since it has so much meaning behind it."
that is only ,she stays under the radar.,contingency,because,mid,that is only because she stays under the radar.,I feel like she is not as popular now.
i'm not sure i understand the hats ,i i ever understand her hats?,comparison,but,mid,very very cringey. this joanne phase seems to be a lot more grounded. i'm not sure i understand the hats but i i ever understand her hats?,"Yeah, I hope she's realized its best to leave all of that era in the past. She went full Art School Kid and it was bad."
"back to the music, cause if we stick with the fashion, we'll just be confused, i like the genre shift in joanne ","cheek to cheek to less dancehall and more, everything else.",expansion,and,mid,"back to the music, cause if we stick with the fashion, we'll just be confused, i like the genre shift in joanne and cheek to cheek to less dancehall and more, everything else. she's best with a simple backing.","Ha, fair point. At least she's stopped referring to hats as vital organs. ""asking me to remove my hat is like asking me to remove my liver"" Oh please."
"i like her, she gives me a sense of madonna, ",she is original as well.,comparison,but,mid,"i like her, she gives me a sense of madonna, but she is original as well.",What do you think of Lady Gaga?
"this a country western remake, ",we'll see and hear a different gaga.,contingency,so,mid,"this a country western remake, so we'll see and hear a different gaga.",They are going to look mighty fine together.
"i get she need to make an album like joanne, it was good she had the chance.",it just didn't seem to click together.,comparison,but,begin,"yeah, me too. i get she need to make an album like joanne, it was good she had the chance. but it just didn't seem to click together.",I'm hoping she touches back on some dance-pop stuff. She's so good at it.
it just didn't seem like a right fit?,a few of her songs do sound very good.,comparison,but,begin,i don't know. it just didn't seem like a right fit? but a few of her songs do sound very good. but it's like she's a bit lost on her direction.,Like something was missing?
but a few of her songs do sound very good.,it's like she's a bit lost on her direction.,comparison,but,begin,i don't know. it just didn't seem like a right fit? but a few of her songs do sound very good. but it's like she's a bit lost on her direction.,Like something was missing?
"i really like alejandro, ",paparazzi is my favorite video.,comparison,but,mid,"i really like alejandro, but paparazzi is my favorite video. you?","Out of all of Lady Gaga's songs, which one is your favorite?"
i like her music ,"have never like her stage name, sounds like a baby.",comparison,but,mid,"i like her music but have never like her stage name, sounds like a baby.",Do you like Lady Gaga's music?
"i love them all, obviously.",i really like poker face.,comparison,but,begin,"i love them all, obviously.  but i really like poker face.",What's your favorite Gaga song?
no way... ,"then i can believe it, she's seriously an amazing artist.",comparison,but,mid,"no way... but then i can believe it, she's seriously an amazing artist.",Did you know she learned to play the piano when she was four?
"i think it has more to do with her personality, ",i guess you're right.,comparison,but,mid,"i think it has more to do with her personality, but i guess you're right.",Artists sometimes do things that a lot of normal people wouldn't. That's just how show business works.
i used to think bjork was nuts when she wore that dress that looked like a swan ,i think the meat suit wins hands down,comparison,but,mid,i used to think bjork was nuts when she wore that dress that looked like a swan but i think the meat suit wins hands down,I can only imagine that flies were all over her
"i think they were kind of thrown by the ball gown and the tattoos, ","the singing, it was amazing.",comparison,but,mid,"i think they were kind of thrown by the ball gown and the tattoos, but the singing, it was amazing.",How did the crowd like it?
"it was awesome seeing the two of them arm in arm, ",totally bonded by their shared love of that music.,comparison,but,mid,"it was awesome seeing the two of them arm in arm, but totally bonded by their shared love of that music.","Aw, that sounds like a really sweet moment."
"it is weird to think of her as fat kid, ",guess she was.,comparison,but,mid,"it is weird to think of her as fat kid, but guess she was.",It is hard to believe she looks so petite.
"i'm afraid to ask, ",why do you think that?,comparison,but,mid,"i'm afraid to ask, but why do you think that?",Oh.  Poker Face would have been an appropriate song to wear it.
"you know a parody, ",it is about the history of the french revolution!,comparison,but,mid,"you know a parody, but it is about the history of the french revolution! it's on youtube.",A redo of her song?
i used to love paparazzi ,have grown more fond of some of her other tunes.,comparison,but,mid,i used to love paparazzi but have grown more fond of some of her other tunes. i think i played it too much.,Edge of Glory is very dramatic. I love the changes in it.
i don't either ,they make for good background music if you are having people over for dinner.,comparison,but,mid,i don't either but they make for good background music if you are having people over for dinner.,I do like them. I do not play them as much as her other tunes.
"yes, she studied music academically in new york and was working professionally as a pianist and singer ",she was even old enough to drive.,temporal,before,mid,"yes, she studied music academically in new york and was working professionally as a pianist and singer before she was even old enough to drive.",Really?
i know she has a few new songs out ,i haven't heard much from her since the superbowl.,comparison,but,mid,i know she has a few new songs out but i haven't heard much from her since the superbowl.,What is Lady Gaga up to these days?
i heard she did that ,", i didn't see it.",comparison,but,mid,"i heard she did that but, i didn't see it. did you?",Did you see Lady Gaga sing Sound of Music?
me either!,it was fantastic.,comparison,but,begin,me either! but it was fantastic.,I will. I wouldn't have guessed that the same woman that sang Poker Face would be singing from an old musical.
i guess the fact that it was unexpected!,", it was also really beautiful and elegant.",comparison,but,begin,"i guess the fact that it was unexpected! but, it was also really beautiful and elegant.",What made it so special?
"i thought it was great, ",telephone was the stand-out.,comparison,but,mid,"i thought it was great, but telephone was the stand-out.",What did you think of that Bad Romance performance?
"it was there, ",it was very faint.,comparison,but,mid,"it was there, but it was very faint.",It's crazy. I couldn't even hear any backing track.
"you know she's not even the best dancer, ",she killed it that night.,comparison,but,mid,"you know she's not even the best dancer, but she killed it that night.","It was there, but it was very faint."
"no, i didn't know that ",she has her own organization called the born this way foundation which is cool.,comparison,but,mid,"no, i didn't know that but she has her own organization called the born this way foundation which is cool.",Did you know she was named Billboard's woman of the year in 2015?
the ombre pink drink looks really pretty ,the violet drink sounds delicious!,comparison,but,mid,the ombre pink drink looks really pretty but the violet drink sounds delicious!,I saw that!  It's called the Cups of Kindness Collection!  Which drink do you want to try?
"like you said before, her music is good enough ",her persona and antics are her drawback.,comparison,but,mid,"yep.  like you said before, her music is good enough but her persona and antics are her drawback.  i guess it is what she had to do to get noticed.",Agreed.  Her music is good to workout too.
"it just seems really different, ","i'm loving it, especially million reasons.",comparison,but,mid,"it just seems really different, but i'm loving it, especially million reasons.",How so?
she is so talented ,some of her songs have too much going on.,comparison,but,mid,she is so talented but some of her songs have too much going on.,she really is an amazing singer.
it was good.,my favorite lady gaga album is the fame.,comparison,but,begin,it was good. but my favorite lady gaga album is the fame.,What did you think of it?
that's a good song.,my favorite is just dance.,comparison,but,begin,that's a good song. but my favorite is just dance.,My favorite song from that album is Poker Face.
artpop was grand ,wasn't catchy enough.,comparison,but,mid,artpop was grand but wasn't catchy enough.,it reminded me too much of artpop.
"she plays piano most of the time, ","can play guitar, drums and keytar.",comparison,but,mid,"she plays piano most of the time, but can play guitar, drums and keytar.",What instruments does Lady Gaga play?
i love all of them ,i will say all of them.,contingency,so,mid,i love all of them so i will say all of them.,WHAT WAS YOUR FAVORITE SONG? I NO IT WAS SO MANY.
"poker face is my favorite song, ",i like just dance as well.,comparison,but,mid,"poker face is my favorite song, but i like just dance as well.",What are your favorite songs?
i'm not.,her halftime show was kind of funny.,comparison,but,begin,i'm not. but her halftime show was kind of funny.,Well I love her music and her so I may be biased.
well it's a stadium ,"hah, that's funny.",comparison,but,mid,"well it's a stadium but hah, that's funny. did you see that online?",She kind of looked like spiderman coming down from the roof of the bowl.
yeah there were tons.,"as they say, no press is bad press.",comparison,but,begin,"yeah there were tons. but as they say, no press is bad press.","Well it's a stadium but hah, that's funny. Did you see that online?"
"yeah, it's a good song.",paparazzi will always define her to me.,comparison,but,begin,"yeah, it's a good song. but paparazzi will always define her to me.",Yeah! I like how deep it is.
"she is, ",she can be a little too weird for me at times.,comparison,but,mid,"she is, but she can be a little too weird for me at times.",Agreed. She is very talented.
i heard that she used to write songs for other people ,she became a star herself.,temporal,before,mid,yes! i heard that she used to write songs for other people before she became a star herself.,Did you know that Lady Gaga was a songwriter and a performer?
that's true.,i still love.,comparison,but,begin,that's true. but i still love. what is your favorite song on the record?,I have! It has a very different style than her last record.
that's a good pick.,that's not my favorite.,comparison,but,begin,that's a good pick. but that's not my favorite.,I think that A-Yo is my favorite. It's so fun.
"i believe her songs are very good, ",i think she could make her videos more kid friendly.,comparison,but,mid,"i believe her songs are very good, but i think she could make her videos more kid friendly.",What do you think of her music videos?
"i used to really like lady gaga, ",her music has been different lately.,comparison,but,mid,"i used to really like lady gaga, but her music has been different lately.",Yes! Bad Romance.
"that was a good one too, ",those two sounded almost like the same song to me.,comparison,but,mid,"that was a good one too, but those two sounded almost like the same song to me.","Yes, it had such a good beat! It was really similar to Bad Romance."
"i always thought her songs were catchy, ",i didn't realize she had as much talent until more recently.,comparison,but,mid,"i know. i always thought her songs were catchy, but i didn't realize she had as much talent until more recently.","Me too. When she first came out, I didn't think she was that good though."
i loved it!,i have to admit i had no idea it was her at first.,comparison,although,begin,i loved it!  although i have to admit i had no idea it was her at first.,Did you like it?  I am still a little on the fence about it.
born this way was still pretty deep ,a little more upbeat.,comparison,but,mid,i kind of miss her old stuff.  born this way was still pretty deep but a little more upbeat.,"I do like her more soulful sound, I'm glad she is trying something a little more deep."
i guess that's true.,i still like her slower stuff too.,comparison,but,begin,i guess that's true.  but i still like her slower stuff too.,I kind of miss her old stuff.  Born This Way was still pretty deep but a little more upbeat.
"i think she's kind of strange, ",some of her songs are pretty great.,comparison,but,mid,"i think she's kind of strange, but some of her songs are pretty great.",Do you like Lady Gaga?
i think just a statement that she's different from other pop stars ,"not afraid to do something outside of the box, you know?",expansion,and,mid,"i think just a statement that she's different from other pop stars and not afraid to do something outside of the box, you know?","What kind of statement, exactly?"
"i really love the film, ",i also love the lyrics and beat as well.,comparison,but,mid,"i really love the film, but i also love the lyrics and beat as well.",Her wings are beautiful in the film. I also enjoy everything at the main house/palace.
"yes, she wrote it ",she was inspired by the 90's music that empowered lgbt community and women.,contingency,because,mid,"yes, she wrote it because she was inspired by the 90's music that empowered lgbt community and women.",Have you heard of Lady Gaga's song Born This Way?
i think it's in the e-chord ,i also her it acoustically as well.,comparison,but,mid,i think it's in the e-chord but i also her it acoustically as well.,I heard the song comes in different chords.
"i agree, i think her songwriting is strong enough to stand on its own ",i gravitate more to songs that aren't really straightforward.,comparison,but,mid,"i agree, i think her songwriting is strong enough to stand on its own but i gravitate more to songs that aren't really straightforward.","I know, and since then she's dueted with Tony Bennett and has become almost too ""normal""."
"well there are many, ","the lady is a tramp, i can't give you anything but love, anything goes.",comparison,but,mid,"well there are many, but the lady is a tramp, i can't give you anything but love, anything goes.",That is a pretty cool project. What songs exactly?
"well there are many, but the lady is a tramp, i can't give you anything ","love, anything goes.",comparison,but,mid,"well there are many, but the lady is a tramp, i can't give you anything but love, anything goes.",That is a pretty cool project. What songs exactly?
"yeah, she does sing better than some pop stars, ",all her songs sound like everything else.,comparison,but,mid,"yeah, she does sing better than some pop stars, but all her songs sound like everything else.",She's a talented singer. What's not to like?
