arg1,arg2,relation,connective,type,original_utt,original_utt_prev
"not exactly the same genre, ",it is adventurous.,comparison,but,mid,"that was a good movie. not exactly the same genre, but it is adventurous.",Someone else I know recommended a movie called sahara.
there can be ,that is why they have ratings on each to make sure the audience is aware.,comparison,but,mid,there can be but that is why they have ratings on each to make sure the audience is aware.,Do you think there is too much violence in movies?
"yes, i read every harry potter book ",going to see them in the movies.,temporal,before,mid,"yes, i read every harry potter book before going to see them in the movies.",Do you prefer to read a book before seeing a movie?
"well i do love emma watson, ",a live action remake seems strange to me.,comparison,but,mid,"well i do love emma watson, but a live action remake seems strange to me.",Hard question how come?
i heard that they did ,with slight differences.,comparison,but,mid,i heard that they did but with slight differences.,I just worry about if they are going to be true the animated story.
"true,  it is strange ",i know he will be wonderful in it.,comparison,but,mid,"true,  it is strange but i know he will be wonderful in it.",He is such a great actor. Surprised to see him not doing comedy.
the little kids watching do not know what that is about ,the adults all cry.,comparison,but,mid,the little kids watching do not know what that is about but the adults all cry.,It was so sad when they lost their baby.
when the developers come and build all around the house and begin to push him out it is sad ,his strength and determination was inspiring.,comparison,but,mid,when the developers come and build all around the house and begin to push him out it is sad but his strength and determination was inspiring.,The little kids watching do not know what that is about but the adults all cry.
i can not remember ,that made me think about the chase in the trench where nemo is being chased.,comparison,but,mid,i can not remember but that made me think about the chase in the trench where nemo is being chased.,I loved the part where there are in that wave of migrating marine life and the turtles are there. What is that called?
it was exciting when they were trying t get nemo out of the filter ,he can be free.,contingency,so,mid,it was exciting when they were trying t get nemo out of the filter so he can be free.,More so remember there is a nasty girl who is not very nice to the fish.
i think i'll have it memorized ,it's out on dvd.,temporal,before,mid,i think i'll have it memorized before it's out on dvd.,"Wow, that's more than me. I've only seen it twice."
"nobody can replace lynda carter, ",gadot is a great second.,comparison,but,mid,"she really was. nobody can replace lynda carter, but gadot is a great second.",Worth it. Wasn't Gal Gadot fantastic?
Thewlis just doesn't say 'god of war' to me.,"the amazons were all perfect, right?",comparison,but,begin,"but the amazons were all perfect, right?",I know. Thewlis just doesn't say 'god of war' to me.
That was great.,the best part to me was diana using her bracelets.,comparison,but,begin,but the best part to me was diana using her bracelets.,Helping Diana jump up that tower? That was great.
i mean yeah they talked about his early life and stuff ,the main focus was the crime aspect.,comparison,but,mid,i wouldn't go that far. i mean yeah they talked about his early life and stuff but the main focus was the crime aspect.,Oh so it was more of a biography then?
"it had it's moments, i mean i knew everything there was to know about the crime, ",his early life was all new to me.,comparison,but,mid,"it had it's moments, i mean i knew everything there was to know about the crime, but his early life was all new to me.",Was the film at least interesting?
i don't think i have a favorite ,i like them all for different reason.,contingency,because,mid,i don't think i have a favorite because i like them all for different reason.,Which is your favorite?
"well, i like camelot because i love the story of king arthur and, ",it's a little odd for knights to be singing it really tells the story well.,comparison,although,mid,"well, i like camelot because i love the story of king arthur and, although it's a little odd for knights to be singing it really tells the story well.",What kind of reasons? Can you be more specific?
"well, i like camelot ","i love the story of king arthur and, although it's a little odd for knights to be singing it really tells the story well.",contingency,because,mid,"well, i like camelot because i love the story of king arthur and, although it's a little odd for knights to be singing it really tells the story well.",What kind of reasons? Can you be more specific?
"well, i like camelot because i love the story of king arthur ",", although it's a little odd for knights to be singing it really tells the story well.",expansion,and,mid,"well, i like camelot because i love the story of king arthur and, although it's a little odd for knights to be singing it really tells the story well.",What kind of reasons? Can you be more specific?
i like that one ,it shows how valuable good teaching is and how a person who is willing to learn and grow can make a difference in the world.,contingency,because,mid,i like that one because it shows how valuable good teaching is and how a person who is willing to learn and grow can make a difference in the world.,What about The King and I? Is that the one with Yule Brenner in it?
i like that one because it shows how valuable good teaching is ,how a person who is willing to learn and grow can make a difference in the world.,expansion,and,mid,i like that one because it shows how valuable good teaching is and how a person who is willing to learn and grow can make a difference in the world.,What about The King and I? Is that the one with Yule Brenner in it?
"no, not all, ",a lot of them do.,comparison,but,mid,"no, not all, but a lot of them do. i guess that's why i like them.",So you think that all musicals have some kind of moral to their story?
"i tried to see it is as fast as i could, ",it still was spoiled before i had seen it.,comparison,but,mid,"i know. i tried to see it is as fast as i could, but it still was spoiled before i had seen it.",Yeah I heard that people were going around spoiling that movie for everyone.
"it ruined the movie for me, ",in the end the movie was ok at best.,comparison,but,mid,"it ruined the movie for me, but in the end the movie was ok at best.",Good! Some people need to be told that some times!
"well, i'm sure there were liberties taken, ",that's close to how i imagine storm chasers work.,comparison,but,mid,"well, i'm sure there were liberties taken, but that's close to how i imagine storm chasers work.  the humor was what really sold me on the film, tough.",Informative?  How so?
alan is awesome.,", it's also interesting that twister starred  phillip seymore hoffman.",comparison,but,begin,"yes!  alan is awesome.  but, it's also interesting that twister starred  phillip seymore hoffman.",Wasn't the character of Rabbit played by the guy who played Cameron in Ferris Bueller?
they can be tough to watch ,it's history.,comparison,but,mid,they can be tough to watch but it's history.,Yes I do.
did you watch it in 3d?,it's even more spectacular on an imax 3d screen.,contingency,because,begin,did you watch it in 3d? because it's even more spectacular on an imax 3d screen.,"Emma Watson, Ewan McGregor, Sir Ian McKellen, Emma Thompson etc are some of my all time favorite actors."
"that's staggering, ",i can well believe it.,comparison,but,mid,"that's staggering, but i can well believe it.","Oh okay. I know that at a budget of $160 million, his was the most expensive musical ever made."
that's probably ,the characters were all real and not animated like in the original.,contingency,because,mid,that's probably because the characters were all real and not animated like in the original.,"Yes, I also felt like it was more accentuated in this move."
"yes, undoubtedly, ",i would definitely watch it again.,comparison,but,mid,"yes, undoubtedly, but i would definitely watch it again.",That's probably because the characters were all real and not animated like in the original.
"well, one example is that while japan was trying to fight off godzilla themselves, other countries around the world are itching to intervene ",they're worried about getting attacked themselves.,contingency,because,mid,"well, one example is that while japan was trying to fight off godzilla themselves, other countries around the world are itching to intervene because they're worried about getting attacked themselves. there was a lot that dealt with how events would realistically take place if a country was under attack by something that they couldn't stop.",What kind of issues?
"well, it was pretty cool that it was set in a world where they'd never experienced an attack from godzilla before; so for most of the beginning of the film it's a lot of them trying to figure out what's going on ",trying to be cautious about what information people find out before they're sure they understand what's happening.,expansion,and,mid,"well, it was pretty cool that it was set in a world where they'd never experienced an attack from godzilla before; so for most of the beginning of the film it's a lot of them trying to figure out what's going on and trying to be cautious about what information people find out before they're sure they understand what's happening.",So what else did you like about the film?
"well, it was pretty cool that it was set in a world where they'd never experienced an attack from godzilla ",; so for most of the beginning of the film it's a lot of them trying to figure out what's going on and trying to be cautious about what information people find out before they're sure they understand what's happening.,temporal,before,mid,"well, it was pretty cool that it was set in a world where they'd never experienced an attack from godzilla before; so for most of the beginning of the film it's a lot of them trying to figure out what's going on and trying to be cautious about what information people find out before they're sure they understand what's happening.",So what else did you like about the film?
"well, it was pretty cool that it was set in a world where they'd never experienced an attack from godzilla before; so for most of the beginning of the film it's a lot of them trying to figure out what's going on and trying to be cautious about what information people find out ",they're sure they understand what's happening.,temporal,before,mid,"well, it was pretty cool that it was set in a world where they'd never experienced an attack from godzilla before; so for most of the beginning of the film it's a lot of them trying to figure out what's going on and trying to be cautious about what information people find out before they're sure they understand what's happening.",So what else did you like about the film?
"exactly, so it's maybe a little slow, ",you get sucked into the story because it feels like the real world.,comparison,but,mid,"exactly, so it's maybe a little slow, but you get sucked into the story because it feels like the real world. they have to deal with nervous officials, a terrified public, and the pain of the memories of how their country was effected by the last major attack on them; our nuclear bombs.","Yea, that sounds a lot like what a group of scientists or officials would probably need to do in that position."
"exactly, so it's maybe a little slow, but you get sucked into the story ",it feels like the real world.,contingency,because,mid,"exactly, so it's maybe a little slow, but you get sucked into the story because it feels like the real world. they have to deal with nervous officials, a terrified public, and the pain of the memories of how their country was effected by the last major attack on them; our nuclear bombs.","Yea, that sounds a lot like what a group of scientists or officials would probably need to do in that position."
"they have to deal with nervous officials, a terrified public, ",the pain of the memories of how their country was effected by the last major attack on them; our nuclear bombs.,expansion,and,mid,"exactly, so it's maybe a little slow, but you get sucked into the story because it feels like the real world. they have to deal with nervous officials, a terrified public, and the pain of the memories of how their country was effected by the last major attack on them; our nuclear bombs.","Yea, that sounds a lot like what a group of scientists or officials would probably need to do in that position."
"that's a shame, ",i guess it will become more available once it's out on dvd.,comparison,but,mid,"that's a shame, but i guess it will become more available once it's out on dvd.","Yea, unfortunately I guess they didn't have backers for a larger release."
i sure hope ,; i'll definitely be getting myself a copy as soon as it's out.,contingency,so,mid,i sure hope so; i'll definitely be getting myself a copy as soon as it's out.,"That's a shame, but I guess it will become more available once it's out on dvd."
i mean these days you  you see a bear and you think to yourself oh that's baloo  ,"back then when the credits were old it would just said robin hood played by ""a fox"".",comparison,but,mid,"i mean these days you  you see a bear and you think to yourself oh that's baloo  but back then when the credits were old it would just said robin hood played by ""a fox"".   the fox didn't have an official name yet.",What you mean?
"no, you know what's crazy is when you go back ",look at those movies how open disney was with negative portrayals of things.,expansion,and,mid,"no, you know what's crazy is when you go back and look at those movies how open disney was with negative portrayals of things.",That's the only reason you like that movie?
"yeah, i haven't seem him recently, ",he holds up pretty well in this one.,comparison,but,mid,"yeah, i haven't seem him recently, but he holds up pretty well in this one.",Oh I love Eric Bana as well.
"star wars is a classic, ",i prefer indiana jones.,comparison,but,mid,"star wars is a classic, but i prefer indiana jones.","I have no idea there are so many good ones to choose from, maybe Star Wars?"
