arg1,arg2,relation,connective,type,original_utt,original_utt_prev
How is he a Horseman of the apocalypse?,he can fly and shoot his steel feathers at people.,contingency,because,begin,because he can fly and shoot his steel feathers at people.,Yeah the flying guy who gets his wings replaced with some steel wing feather thing. How is he a Horseman of the apocalypse?
"she surely did, i cannot believe some people refused to watch it ",of  the lafoo character.,contingency,because,mid,"she surely did, i cannot believe some people refused to watch it because of  the lafoo character.","Yes, Emma Watson nailed it! She played belle so elegantly!"
"that was my childhood favorite movie, ",of course i went.,contingency,so,mid,"i know, that was ridiculous. that was my childhood favorite movie, so of course i went.","She surely did, I cannot believe some people refused to watch it because of  the Lafoo character."
"i didn't really like the movie, ",i've only seen it once and that was a long time ago.,contingency,so,mid,"not really.  i didn't really like the movie, so i've only seen it once and that was a long time ago.",Remember when he needs the picture of the drunk girl and nice car?
"yeah, that's a good point.",the dc movies are all too heavily edited.,comparison,but,begin,"yeah, that's a good point. but the dc movies are all too heavily edited.","Well, in the MCU, the villains are after-thoughts. Look at the dark elves in Thor 2, any villain in Guardians of the Galaxy, even Ultron. They all lose somewhat easily."
"yeah, it was fun, ","far too silly, i see what you mean.",comparison,but,mid,"yeah, it was fun, but far too silly, i see what you mean.",Marvel also is far too silly. Did you see Guardians 2?
"i get the characters are how they are supposed to be, ",it's so comical it's unrealistic at that point.,comparison,but,mid,"i get the characters are how they are supposed to be, but it's so comical it's unrealistic at that point.","Yeah, it was fun, but far too silly, I see what you mean."
"he may have lost his god powers, ",he didn't lose his memory.,comparison,but,mid,"well, peter quill saw the universe, and everything. he may have lost his god powers, but he didn't lose his memory.",Like?
"yeah, that one will do well.",don't you think people are tired of all these spider-man movies?,comparison,but,begin,"yeah, that one will do well. but don't you think people are tired of all these spider-man movies?",I think the new Spider-Man movie will be a huge hit.
that's a fair point.,this is going to be a proper marvel film.,comparison,but,begin,that's a fair point. but this is going to be a proper marvel film.,"Yeah, that one will do well. But don't you think people are tired of all these Spider-Man movies?"
"i love war movies in general, ",this one is also a chris nolan movie.,comparison,but,mid,"i love war movies in general, but this one is also a chris nolan movie.","Yeah, that one looks good."
"i have those same worries, ",i'm holding out hope that it will be great.,comparison,but,mid,"i have those same worries, but i'm holding out hope that it will be great.",I think that film might be a major flop.
"i thought it was a bit over the top sometimes, ",the actin matched the story line well.,comparison,but,mid,"i did. i thought it was a bit over the top sometimes, but the actin matched the story line well.",Really? Did you like they way the action was sequenced in that one?
"the old versions are great, ",have you seen the remake of beauty and the beast?,comparison,but,mid,"the old versions are great, but have you seen the remake of beauty and the beast?",What about classics like Mulan and Beauty and the Beast?
i actually prefer tangled ,i feel it has a better story line.,contingency,because,mid,i actually prefer tangled because i feel it has a better story line.,What did you think of movies like Tangled and Frozen?
"the music in frozen was amazing, ",i found the action sequences to be lacking.,comparison,but,mid,"the music in frozen was amazing, but i found the action sequences to be lacking.",What? The songs from Frozen are timeless!
"no, they write better comics ",cant make films.,comparison,but,mid,"no, they write better comics but cant make films.",Is DC ever going to come close to Marvel in terms of film success?
"actually, i think pulp fiction had better photography.",hateful 8 had wonderful scenery.,comparison,but,begin,"actually, i think pulp fiction had better photography. but hateful 8 had wonderful scenery.",I loved the photography in this one. What did you think?
"yeah, hope it doesn't bite the dust ",of all the online and tv options now.,contingency,because,mid,"yeah, hope it doesn't bite the dust because of all the online and tv options now.","I love movies, just in general. I love the experience of being in the theater, watching the big screen."
i don't know.,i guess it's prohibitively expensive to use actual film now.,comparison,but,begin,i don't know. but i guess it's prohibitively expensive to use actual film now.,Do you think that it's more expensive now to do black and white?
"movies now are great, ",so were the old movies.,comparison,but,mid,"sigh. movies now are great, but so were the old movies.",I don't know. But I guess it's prohibitively expensive to use actual film now.
i think it was even scarier ,it was based on a true story.,contingency,because,mid,i think it was even scarier because it was based on a true story.,I saw that too!  Very suspenseful!
"wasn't one of my favorites, ",i guess it's worth a watch.,comparison,but,mid,"wasn't one of my favorites, but i guess it's worth a watch.",Also a great movie.  How did you like Ferrell in Talladaga Nights?
kind of a scary movie ,more of a thriller.,comparison,but,mid,how did you like wahlberg in fear?  kind of a scary movie but more of a thriller.,"Wasn't one of my favorites, but I guess it's worth a watch."
"it was great, ",i like him more in funny roles.,comparison,but,mid,"it was great, but i like him more in funny roles.  like ted.",How did you like Wahlberg in Fear?  Kind of a scary movie but more of a thriller.
"ted is  a great movie, ",the first one was better than the sequal.,comparison,but,mid,"ted is  a great movie, but the first one was better than the sequal.","It was great, but I like him more in funny roles.  Like Ted."
"wow, that's a tough one.",i'd have to choose taxi driver.,comparison,but,begin,"wow, that's a tough one. but i'd have to choose taxi driver.",What do you consider to be the best movie of all time?
"he actually tried to find her at the time, ",couldn't get close enough to her...,comparison,but,mid,"he actually tried to find her at the time, but couldn't get close enough to her...",I've heard that.
"i read that the guy who sells travis all the weapons was actually a bit of a drug dealer at the time, ",that's why he's so realisitic.,contingency,so,mid,"i read that the guy who sells travis all the weapons was actually a bit of a drug dealer at the time, so that's why he's so realisitic.",Crazy. The movie has some other great characters as well. Albert Brooks... Peter Boyle.
"the now from iris's parents at the end is written in travis's handwriting, ",it makes you think it's something he's created.,contingency,so,mid,"yeah, that's what i think too. the now from iris's parents at the end is written in travis's handwriting, so it makes you think it's something he's created.","No, I think it's all what he HOPED would happen. I think he either died or is jail."
i like the songs from carousel and grease ,that's it.,comparison,but,mid,i like the songs from carousel and grease but that's it.,How about musicals?
i like that soundtrack too ,not the movie so much.,comparison,but,mid,that's funny. i like that soundtrack too but not the movie so much.,I agree other than Moana.
"she surely did, i cannot believe some people refused to watch it ",of  the lafoo character.,contingency,because,mid,"she surely did, i cannot believe some people refused to watch it because of  the lafoo character.","Yes, Emma Watson nailed it! She played belle so elegantly!"
