arg1,arg2,relation,connective,type,original_utt,original_utt_prev
that's funny ,i don't mind watching those movies that my kids like either.,contingency,because,mid,that's funny because i don't mind watching those movies that my kids like either.,"I recently watched Finding Dory.  Surprisingly, I really enjoyed it!"
"i do, ",we also watch movies on hulu.,comparison,but,mid,"i do, but we also watch movies on hulu.",Do you watch movies on Netflix as well?
"They sort of do a Die Hard thing, all in one building.",with judge dredd?,comparison,but,begin,but with judge dredd?,"Yes. They sort of do a Die Hard thing, all in one building."
i mean the movie was okay ,beyonce is not a good actress in my opinion.,comparison,but,mid,i mean the movie was okay but beyonce is not a good actress in my opinion.,What did you think of it? You didn't like it did you?
"i hated that movie about this girl, and she moves in this place ","befriends this woman and falls for this widower guy, and the neighbor woman turns out to be a ghost of the widower's dead wife... that sucked.",expansion,and,mid,"oh, great, here we go. what? i hated that movie about this girl, and she moves in this place and befriends this woman and falls for this widower guy, and the neighbor woman turns out to be a ghost of the widower's dead wife... that sucked.",You know what the worst movie plot twist is?
"i hated that movie about this girl, and she moves in this place and befriends this woman ","falls for this widower guy, and the neighbor woman turns out to be a ghost of the widower's dead wife... that sucked.",expansion,and,mid,"oh, great, here we go. what? i hated that movie about this girl, and she moves in this place and befriends this woman and falls for this widower guy, and the neighbor woman turns out to be a ghost of the widower's dead wife... that sucked.",You know what the worst movie plot twist is?
"i hated that movie about this girl, and she moves in this place and befriends this woman and falls for this widower guy, ",the neighbor woman turns out to be a ghost of the widower's dead wife... that sucked.,expansion,and,mid,"oh, great, here we go. what? i hated that movie about this girl, and she moves in this place and befriends this woman and falls for this widower guy, and the neighbor woman turns out to be a ghost of the widower's dead wife... that sucked.",You know what the worst movie plot twist is?
it's like they wanted to say the ape world has gone exactly as our world has gone ,they decided to dedicate a monument to their version of lincoln.,expansion,and,mid,that's saying it lightly. it's like they wanted to say the ape world has gone exactly as our world has gone and they decided to dedicate a monument to their version of lincoln. that was so stupid,That was retarded too.
"um... he gets into this romance with really young girl, ",the girl ends up sleeping with the old guy's son.,expansion,and,mid,"that movie with, what his name, the old english guy. um... he gets into this romance with really young girl, and the girl ends up sleeping with the old guy's son.",What?
"i have no idea why i know this movie based on that description, ",", yes, the old english guy is michael caine, and the movie is called mr morgan's last love.",comparison,but,mid,"i have no idea why i know this movie based on that description, but, yes, the old english guy is michael caine, and the movie is called mr morgan's last love.","That movie with, what his name, the old English guy. Um... he gets into this romance with really young girl, and the girl ends up sleeping with the old guy's son."
