arg1,arg2,relation,connective,type,original_utt,original_utt_prev
"my dad was into classical music, ",i ignored it.,comparison,but,mid,"my dad was into classical music, but i ignored it.","Oh, Rimsky Korsakov is the only russian composer I know."
"yeah i really don't like that song, ",i think he's great.,comparison,although,mid,"yeah i really don't like that song, although i think he's great.",Well the newest I heard was that song about a Guy with a Girl.
i love most of his music ,i feel like that one is weak.,comparison,but,mid,i know!  i love most of his music but i feel like that one is weak.,"Yeah I really don't like that song, although I think he's great."
"yeah, i agree.",most of his music is incredible.,comparison,but,begin,"yeah, i agree.  but most of his music is incredible.",That and the lyrics are just kinda blah to me.
"me too, ",i think he was making music long before that.,comparison,but,mid,"me too, but i think he was making music long before that.","Yeah, I first started hearing him just a few years ago."
i hope he keeps producing new music and albums ,we can get more of him.,contingency,so,mid,i hope he keeps producing new music and albums so we can get more of him.,"Me too, but I think he was making music long before that."
ya i just bought it recently ,i've been listening to it all the way through.,contingency,so,mid,ya i just bought it recently so i've been listening to it all the way through.,Ya I listened to that album a lot when it first came out.
"well, i was a bit nervous, ",i like afi so much.,contingency,because,mid,"well, i was a bit nervous, because i like afi so much.","Oh, that is so cool! WHat do you think of them?"
"yes, i always wanted to see them in concert ",i never got the chance.,comparison,but,mid,"yes, i always wanted to see them in concert but i never got the chance.","So you are a really big fan, huh?"
the new album sounds so happy ,hayley is so sad there.,comparison,but,mid,the new album sounds so happy but hayley is so sad there.,hard times is my jam.
we had seats pretty far back ,it was still great.,comparison,but,mid,"yeah, i know.  we had seats pretty far back but it was still great.",That's great.  Sometimes it doesn't sound so great live.
i would love to ,i dont know if they tour anymore.,comparison,but,mid,i would love to but i dont know if they tour anymore.,They put out an electric performance.
"yeah, i find with both shows that the passion of the hosts for music is contagious ",that i find myself having a much more vociferous appetite for music following listening to them.,expansion,and,mid,"yeah, i find with both shows that the passion of the hosts for music is contagious and that i find myself having a much more vociferous appetite for music following listening to them.",I really love Sound Opinions. They do such deep dives on my favorite artists and even things like guitar solos.
well it's finally starting to get warm ,i thought i'd make a new summer playlist.,contingency,so,mid,well it's finally starting to get warm so i thought i'd make a new summer playlist.,Yes quite a few things actually. Anything in particular that you are looking for?
"well yes they do usually, ",this song is sung entirely in english.,comparison,but,mid,"well yes they do usually, but this song is sung entirely in english.",But are they singing in Japanese? Makes it hard to sing along to.
"no, one of the members of the band wrote it.",i have to say that her grasp of english is ... inventive.,comparison,although,begin,"no, one of the members of the band wrote it. although i have to say that her grasp of english is ... inventive.","How odd, is it a cover?"
i know.,harold melvin was jealous because teddy was getting all of the shine.,comparison,but,begin,i know. but harold melvin was jealous because teddy was getting all of the shine.,Yeah. Them dudes had that classic Philly sound.
but harold melvin was jealous ,teddy was getting all of the shine.,contingency,because,mid,i know. but harold melvin was jealous because teddy was getting all of the shine.,Yeah. Them dudes had that classic Philly sound.
i liked a bunch of them ,"one that comes to mind is ""don't let me get me.""",comparison,but,mid,"i liked a bunch of them but one that comes to mind is ""don't let me get me.""",Which of her songs did you really like?
i know that ,she was born on my brother's birthday.,contingency,because,mid,she's 37 years old. i know that because she was born on my brother's birthday.,I wonder how old she is.
"you would be suprised, ",sometimes the soundtracks are expensive to buy but well worth the price,comparison,but,mid,"you would be suprised, but sometimes the soundtracks are expensive to buy but well worth the price",really I would not have thought that
"you would be suprised, but sometimes the soundtracks are expensive to buy ",well worth the price,comparison,but,mid,"you would be suprised, but sometimes the soundtracks are expensive to buy but well worth the price",really I would not have thought that
"mostly i listen on my phone, ",i still have a record player that i use for old albums,comparison,but,mid,"mostly i listen on my phone, but i still have a record player that i use for old albums",Where do you listen to your music most of the time?
"i really enjoy both, ",the record player has a more gritty sound that i like a lot.,comparison,but,mid,"i really enjoy both, but the record player has a more gritty sound that i like a lot.",Which sound do you like better the record player or your phone?
"i'd really like to, ",i don't have anyone to go with.,comparison,but,mid,"i'd really like to, but i don't have anyone to go with.",Are you going to the Bayside concert on Tuesday?
"bayside is my favorite band, ",i hate going to concerts alone.,comparison,but,mid,"i'd love to! bayside is my favorite band, but i hate going to concerts alone.",I'm going with a big group! Would you like to come with us?
they're on a little break right now ,their lead singer matt skiba is on tour with blink 182.,contingency,because,mid,they're on a little break right now because their lead singer matt skiba is on tour with blink 182.,"Oh man, I haven't listened to Alkaline Trio in ages. What are they doing?"
"yeah, i was bummed to hear about it.",i think skiba is a great substitute.,comparison,but,begin,"yeah, i was bummed to hear about it. but i think skiba is a great substitute.",Oh I heard about that. Isn't it messed up how Tom Delonge quit the band?
"yeah, if i'm not mistaken she always crys at the end of the song ",it's that painful for her.,contingency,because,mid,"yeah, if i'm not mistaken she always crys at the end of the song because it's that painful for her.",Interesting.
"thats nuts, ",i respect it a lot.,comparison,but,mid,"thats nuts, but i respect it a lot.","Yeah, that song really means and represents a lot for her."
that is odd to me ,i can remember when they were new.,contingency,because,mid,"yeah, i do too.  that is odd to me because i can remember when they were new.",I know!  I hear them on the classic country station sometimes.
that seems smart ,even the ones that chris martin writes himself?,comparison,but,mid,that seems smart but even the ones that chris martin writes himself?,I read an interview saying that Coldplay splits every song four ways so that they don't get into arguments about money.
"wow, i knew they'd been around a while ",i had no idea they had that much.,comparison,but,mid,"wow, i knew they'd been around a while but i had no idea they had that much.",Certainly works for them.  Coldplay has seven albums and I think they've been nominated for 62 awards.
listen to all the harmony.,"this was 14th century, and they had centuries of development of music theory by then",comparison,but,begin,"listen to all the harmony. but this was 14th century, and they had centuries of development of music theory by then",Let me go find it on youtube.
it's not ,"it is the most difficult, and that tradition in discipline and theories led to the emergence of the american popular music which is the most dominant musical form in the history of mankind",comparison,but,mid,"no. it's not but it is the most difficult, and that tradition in discipline and theories led to the emergence of the american popular music which is the most dominant musical form in the history of mankind",The Western art music isn't the most dominant.
