arg1,arg2,relation,connective,type,original_utt,original_utt_prev
"i have, and ",", i am seeing one tomorrow that i hope will be good.",expansion,in fact,mid,"i have, and in fact, i am seeing one tomorrow that i hope will be good.","Hey there, seen any good movies lately?"
"yes, it was a long movie, ",probably one of the best war movies i've seen in awhile.,comparison,but,mid,"yes, it was a long movie, but probably one of the best war movies i've seen in awhile.",Is that the one with Brad Pitt in it?
"that's funny, because last week-end, my boyfriend really wanted me to watch it with him, ","it was so long, i fell asleep!",comparison,but,mid,"that's funny, because last week-end, my boyfriend really wanted me to watch it with him, but it was so long, i fell asleep!","Yes, it was a long movie, but probably one of the best war movies I've seen in awhile."
"that's funny, ","last week-end, my boyfriend really wanted me to watch it with him, but it was so long, i fell asleep!",contingency,because,mid,"that's funny, because last week-end, my boyfriend really wanted me to watch it with him, but it was so long, i fell asleep!","Yes, it was a long movie, but probably one of the best war movies I've seen in awhile."
"you'll have to watch it again sometime, it's really good.","of course, anything with brad pitt in it has to be good!",comparison,but,begin,"you'll have to watch it again sometime, it's really good. but of course, anything with brad pitt in it has to be good!","That's funny, because last week-end, my boyfriend really wanted me to watch it with him, but it was so long, I fell asleep!"
i think i know.,i'll let you remember if you can.,comparison,but,begin,"i think i know. but i'll let you remember if you can. can you, you know, remember things?","That sounds racist, but whatever. Anyway this dude was like a genius or something."
i thought it was ok. not that great.,the problem of gifted people with mental illnesses is quite interesting.,comparison,but,begin,"i thought it was ok. not that great. but the problem of gifted people with mental illnesses is quite interesting. like, are they more prone to mental illnesses? why do artists commit suicides at so much higher rate than the general public? it's interesting to say the least.",But anyway the movie was pretty good.
yes it is slow at times ,"super great in others, it is worth a watch.",comparison,but,mid,"yes it is slow at times but super great in others, it is worth a watch.",Ok thanks for telling me.
"well, it was fun to reminisce about a great 90s movie ","getting back to diary of a winpy kid, i would skip it if i were you.",comparison,but,mid,"well, it was fun to reminisce about a great 90s movie but getting back to diary of a winpy kid, i would skip it if i were you.","Yes, I hadn't seen that coming at the beginning."
"i usually like this type movie, ",this one not so much.,comparison,but,mid,"yes. i usually like this type movie, but this one not so much.",It's a scifi movie.
"not bad, he still has a terrible voice ",there's something to love about it.,comparison,but,mid,"not bad, he still has a terrible voice but there's something to love about it.",How was the show?
i think he got famous ,of his strange voice.,contingency,because,mid,"yes, he's a legend. i think he got famous because of his strange voice.","Not bad, he still has a terrible voice but there's something to love about it."
"well, hacksaw ridge is a true story ",that makes it better.,contingency,so,mid,"well, hacksaw ridge is a true story so that makes it better.",People were saying Hacksaw Ridge was a good as Saving Private Ryan.  I don't know.
they really aren't that bad ,i'm not sure i want to pay $12 a ticket.,comparison,but,mid,i'm not sure but a few.  they really aren't that bad but i'm not sure i want to pay $12 a ticket.,Not another Transformer movie!  How many does that make?  Based on toys...
"no,l ",it's an interesting tidbit of fact.,comparison,but,mid,"no,l but it's an interesting tidbit of fact.",Hm. There was nothing about in the movies I don't think?
"she wrote many compositions, ",none have survived?,comparison,but,mid,"she wrote many compositions, but none have survived? that's so sad, just to be erased fro history like that","A genius? No. A musician, yes. ."
"it's not a nice feeling, ",the movie could've used a bit more info on her if you ask me,comparison,but,mid,"it's not a nice feeling, but the movie could've used a bit more info on her if you ask me","She wrote many compositions, but none have survived? That's so sad, Just to be erased fro history like that"
"so do i, ",that's because of anthony hopkins.,comparison,but,mid,"so do i, but that's because of anthony hopkins.",I think RED 2 was better.
"so do i, but that's ",of anthony hopkins.,contingency,because,mid,"so do i, but that's because of anthony hopkins.",I think RED 2 was better.
not too sure ,i will find out and let you know.,comparison,but,mid,not too sure but i will find out and let you know.,Oh really do you when it is going to be?
"well, he is my favorite rapper.",his new album is awful,comparison,but,begin,"well, he is my favorite rapper. but his new album is awful",Maybe I would if I saw him. What about him?
i love the music genre.,gamnimo is a rapper.,comparison,but,begin,yeah. don't get me wrong. i love the music genre. but gamnimo is a rapper.,And that's a problem?
i don't really like going to live events.,i would for him.,comparison,but,begin,no. i don't really like going to live events. but i would for him.,Ever see him in concert?
"it depends what you consider to be a superhero movie, ",there's guardians of the galaxy and the mummy.,comparison,but,mid,"it depends what you consider to be a superhero movie, but there's guardians of the galaxy and the mummy.",Are there any others?
"i've heard of cars before, ",what is captain underpants.,comparison,but,mid,"i've heard of cars before, but what is captain underpants.",There's Cars 3 and Captain Underpants.
"i really like that one, ",i need the money.,comparison,but,mid,"i really like that one, but i need the money.",I did
"i'm going to a concert next week, ",i don't have money to drink.,comparison,but,mid,"i'm going to a concert next week, but i don't have money to drink.",Why? What's up?
that one came out just last week ,she probably hasn't seen it yet.,contingency,so,mid,what about the newest pirates film? that one came out just last week so she probably hasn't seen it yet.,"Well, we're always up for fantasy and such."
"it is, ",all the reviews have been really positive about this one.,comparison,but,mid,"it is, but all the reviews have been really positive about this one.",Isn't that DC? Their last movies weren't that great.
if you don't listen to ,one of his songs try bamboo.,comparison,but,mid,"if you don't listen to but one of his songs try bamboo. it's a little less ""sweet and syrupy"" as some of the other ones. it's got a beat to it.",Ok I will give it a try
i know i should know them ,nothing is coming to mind.,comparison,but,mid,what songs do they do? i know i should know them but nothing is coming to mind.,Yeah. Normally $25.
"well, he did win the oscars's for the best score.",he's still an italian guy.,comparison,but,begin,"well, he did win the oscars's for the best score. but he's still an italian guy.",That's not some italian guy. He's the one who composed the soundtrack for the atonement.
"i did say that, ",that doesn't mean i don't think he's important.,comparison,but,mid,"i did say that, but that doesn't mean i don't think he's important. io just mean he's some italian guy which is what he is.","You said some italian guy, liek he's not that important."
"it was good, ",the music was the best.,comparison,but,mid,"it was good, but the music was the best.","Really? Me too, what you think of it?"
"not really, ",i'm looking forward to seeing the new wonder woman movie,comparison,but,mid,"not really, but i'm looking forward to seeing the new wonder woman movie",Done anything cool lately
"yeah, because it looks like a dumb movie, ",also could be a guilty pleasure!,comparison,but,mid,"yeah, because it looks like a dumb movie, but also could be a guilty pleasure!",You seemed hesistant to say you've see that!
i don't want to give anything away ,ridley scott did not let us down with this movie.,comparison,but,mid,the movie was absolutely great. i don't want to give anything away but ridley scott did not let us down with this movie.,I have been wanting to see Alien Covenant! How was it?!
i know.,it is okay.,comparison,but,begin,i know. but it is okay. he pops back up for a second and the movie is great with or without him.,What!? No!
they finally answer everything ,"i will say, if you haven't seen prometheus in a long time, you may want a refresher.",comparison,but,mid,"yes! they finally answer everything but i will say, if you haven't seen prometheus in a long time, you may want a refresher.",Well do they answer all of the questions every Alien fan has had?
well lucky for me i watched it last week ,i was so excited about covenant coming out.,contingency,because,mid,well lucky for me i watched it last week because i was so excited about covenant coming out.,"Yes! They finally answer everything but I will say, if you haven't seen Prometheus in a long time, you may want a refresher."
well you are in for a real treat ,he did such a good job.,contingency,because,mid,well you are in for a real treat because he did such a good job. i hope the cast him in more serious rolls.,I have been waiting for a new Alien movie to come out for too long. I am ready. Plus I love Danny McBride.
you can stare at a tree for hours ,not a movie?,comparison,but,mid,you can stare at a tree for hours but not a movie?,Really.
"i know it's cliche, ","""wake up"" is an amazing tune.",comparison,but,mid,"i know it's cliche, but ""wake up"" is an amazing tune.",What's your favorite song of theirs?
"i heard that was good, ",that it had some absurd science in it.,comparison,but,mid,"i heard that was good, but that it had some absurd science in it.",Interstellar. It's the latest Christopher Nolan movie.
i really liked it.,"yeah, there were some major implausibilities in it.",comparison,but,begin,"i really liked it. but yeah, there were some major implausibilities in it.","I heard that was good, but that it had some absurd science in it."
i had that.,was it worth it?,comparison,but,begin,ugh. i had that. but was it worth it?,"Worst was the ""going into a black hole and surviving"" thing."
"scientifically absurd, ","beautiful on a symbolic level, and emotionally resonant.",comparison,but,mid,"like, love was seen as a fundamental force in the universe, like gravity. scientifically absurd, but beautiful on a symbolic level, and emotionally resonant.",How do you mean?
"well, mostly the main character's daughter.",she was really good.,comparison,but,begin,"there were some strong, smart women in the movie. well, mostly the main character's daughter. but she was really good.",How were the female characters in the movie?
"have you noticed that movie soundtracks rarely have anything to do with the movie, ",that the song playing never has anything to do with the scene?,expansion,or,mid,"have you noticed that movie soundtracks rarely have anything to do with the movie, or that the song playing never has anything to do with the scene?",Ok. What do you got?
everyone has.,", since you brought it up, how about an example?",comparison,but,begin,"everyone has. but, since you brought it up, how about an example?","Have you noticed that movie soundtracks rarely have anything to do with the movie, or that the song playing never has anything to do with the scene?"
"it's kind of about a girl who is past her prime, not that i'd ever say any woman was passed her prime ","women only get better as they age, or so i think.",contingency,because,mid,"you're an idiot. the song has nothing to do with a fox. it's kind of about a girl who is past her prime, not that i'd ever say any woman was passed her prime because women only get better as they age, or so i think.","Well, maybe the song should be dubbed to ""Baby Groot Be Runnin."""
