arg1,arg2,relation,connective,type,original_utt,original_utt_prev
"steven a has guess hosted, ",they have had a few nfl players like linsalto and johnson.,comparison,but,mid,"steven a has guess hosted, but they have had a few nfl players like linsalto and johnson.",Who has cohosted the football morning show?
"i don't know, ","the afc looks stronger to me, overall.",comparison,but,mid,"i don't know, but the afc looks stronger to me, overall.",What teams do you think could compete for an NFL title this season?
And I can't rule out the Packers or Seahawks.,you still prefer the afc?,comparison,but,begin,but you still prefer the afc?,That's fair. And I can't rule out the Packers or Seahawks.
"right now, yeah, ",a lot rests on how breshad perriman develops.,comparison,but,mid,"right now, yeah, but a lot rests on how breshad perriman develops.","Flacco needs weapons, and those wide receivers are pretty thin."
well i was a colts fan ,mostly because i was such a big supporter of what peyton manning did for that team year after year,comparison,but,mid,well i was a colts fan but mostly because i was such a big supporter of what peyton manning did for that team year after year,"Oh buddy, why so glum?"
well i was a colts fan but mostly ,i was such a big supporter of what peyton manning did for that team year after year,contingency,because,mid,well i was a colts fan but mostly because i was such a big supporter of what peyton manning did for that team year after year,"Oh buddy, why so glum?"
"no kidding, i was there, we couldn't quite corner luck being an angry mob of mostly non-athletes ",luck being one of the more athelitc young qbs in the league,expansion,and,mid,"no kidding, i was there, we couldn't quite corner luck being an angry mob of mostly non-athletes and luck being one of the more athelitc young qbs in the league","Welp, that's how most of the real fans wanted to do in Indy felt when Manning was released"
"welp if he goes, i go... out to the optomitrest, for a test, because i wouldn't believe my eyes to see anybody ",wilson suiting up at qb for the seahawks,comparison,but,mid,"welp if he goes, i go... out to the optomitrest, for a test, because i wouldn't believe my eyes to see anybody but wilson suiting up at qb for the seahawks","Spot on you were with that call. What about Russel Wilson, how much time you think he's got left in Seattle?"
"welp if he goes, i go... out to the optomitrest, for a test, ",i wouldn't believe my eyes to see anybody but wilson suiting up at qb for the seahawks,contingency,because,mid,"welp if he goes, i go... out to the optomitrest, for a test, because i wouldn't believe my eyes to see anybody but wilson suiting up at qb for the seahawks","Spot on you were with that call. What about Russel Wilson, how much time you think he's got left in Seattle?"
"welp, that's what some people probably said about favre, ","some of those people probably passed on before he retired, he was pretty old and some folks die unexpectedly young",expansion,and,mid,"welp, that's what some people probably said about favre, and some of those people probably passed on before he retired, he was pretty old and some folks die unexpectedly young","No, actually, we'll both probably outlive Russel Wilson's tenure as a QB in Seattle or in the leagure period"
"welp, that's what some people probably said about favre, and some of those people probably passed on ","he retired, he was pretty old and some folks die unexpectedly young",temporal,before,mid,"welp, that's what some people probably said about favre, and some of those people probably passed on before he retired, he was pretty old and some folks die unexpectedly young","No, actually, we'll both probably outlive Russel Wilson's tenure as a QB in Seattle or in the leagure period"
"i was too young to watch them, ",i've heard of them.,comparison,but,mid,"i was too young to watch them, but i've heard of them.","Do you remember the Steelers ""Steel Curtain"" defense?"
"yeah, i didn't see it live, ",i've seen clips from nfl films.,comparison,but,mid,"yeah, i didn't see it live, but i've seen clips from nfl films.","Wow, I beat it was intense to watch."
"maybe so, ",he always semed like a legacy that acted entitled and i never felt like his team was loyal to him.,comparison,but,mid,"maybe so, but he always semed like a legacy that acted entitled and i never felt like his team was loyal to him.",I think he would do great as a head coach at UT.
"i am not, i just think that to ask your team to protect you ","lay your body on the line, the loyalty factor  would have went a long way.",expansion,and,mid,"i am not, i just think that to ask your team to protect you and lay your body on the line, the loyalty factor  would have went a long way.",But how can you ignore his skill and record?
ok so you would pick manning ,he is more a one man show?,contingency,because,mid,ok so you would pick manning because he is more a one man show?,"Sure, look at the 1990's Dallas cowboys, Aikman and rice where they dynamic duo."
"an nfl game is about 75 minutes, ","about 60% of total tv air time, is spent on shots of players standing on the line of scrimmage, huddling, or just walking around between snaps.",comparison,but,mid,"an nfl game is about 75 minutes, but about 60% of total tv air time, is spent on shots of players standing on the line of scrimmage, huddling, or just walking around between snaps.",Wow. That means the game on TV is devoted mostly to replays.
you only involved ,you probably be betting on them.,contingency,because,mid,you only involved because you probably be betting on them.,that's on you partner.
oh i suppose about the patriots ,the ravens aren't very good,comparison,but,mid,oh i suppose about the patriots but the ravens aren't very good,The Patriots and Ravens obviously!
"it was the best show in town, with the best audience anywhere ",they moved the stadium to yuppieville.,temporal,before,mid,"it was the best show in town, with the best audience anywhere before they moved the stadium to yuppieville.",My friend's uncle went on a cruise and we got to use his season's tickets.
you think they'll win it all ,they move to las vegas?,temporal,before,mid,seriously. you think they'll win it all before they move to las vegas?,"Plus, you have a well rested beast of a running back playing for his hometown. Talk about motivation."
"well, you know how the league works, i think that miller was slightly better ",mack got it because of the team records.,comparison,but,mid,"well, you know how the league works, i think that miller was slightly better but mack got it because of the team records.","Man, that MVP was robbed from Von Miller."
"well, you know how the league works, i think that miller was slightly better but mack got it ",of the team records.,contingency,because,mid,"well, you know how the league works, i think that miller was slightly better but mack got it because of the team records.","Man, that MVP was robbed from Von Miller."
"probably true, ",oakland looks lethal and could win it all next season.,comparison,but,mid,"probably true, but oakland looks lethal and could win it all next season.","Well, you know how the league works, I think that Miller was slightly better but Mack got it because of the team records."
"they nearly could have had three, ",the raiders will be going to las vegas in 2020.,comparison,but,mid,"they nearly could have had three, but the raiders will be going to las vegas in 2020.","Yes, I would rather see other places get NFL teams than LA get two."
"nevada didn't have an nfl team, ",it's nice to see them get one.,contingency,so,mid,"that move i don't mind so much. nevada didn't have an nfl team, so it's nice to see them get one.","They nearly could have had three, but the Raiders will be going to Las Vegas in 2020."
"i suppose so, ","i'm thinking dream teams, not the reality of how they would work.",comparison,but,mid,"i suppose so, but i'm thinking dream teams, not the reality of how they would work. so, akron, racine, louisville.","A lot of those defunct teams were in small towns that I don't think would be able to support a modern NFL franchise, though."
"i've always thought a hawaii team would be neat, ",travel would be an issue.,comparison,but,mid,"i've always thought a hawaii team would be neat, but travel would be an issue.",What about expanding outside of the continental US?
"international, but close enough ",travel shouldn't be a huge deal.,contingency,so,mid,"i'd love to see a mexican or canadian team. international, but close enough so travel shouldn't be a huge deal.","I've always thought a Hawaii team would be neat, but travel would be an issue."
i agree with that.,what about the cowboys' offensive line?,comparison,but,begin,i agree with that. but what about the cowboys' offensive line?,"The position is a young man's position, though."
"he was a nice surprise, ",i think elliot is the clearly superior talent.,comparison,but,mid,"he was a nice surprise, but i think elliot is the clearly superior talent.",Yeah. Another second year player.
maybe to a point ,"still, the majority of the steelers fans that i know have no ties to the city or team whatsoever.",comparison,but,mid,"maybe to a point but still, the majority of the steelers fans that i know have no ties to the city or team whatsoever.",Are you sure that your not generalizing?
"however, it is still frowned upon to be a band wagon fan and root for a team just ",they are good.,contingency,because,mid,"of course. however, it is still frowned upon to be a band wagon fan and root for a team just because they are good.",Don't fans have the right to root for any team that they want?
this is true ,i have met some fan bases that are good fans and treat you with respect.,comparison,but,mid,this is true but i have met some fan bases that are good fans and treat you with respect.,I think a lot of NFL fans are like that these days.
i like the rams ,i am a packer fan!,comparison,but,mid,"oh, man. i like the rams but i am a packer fan!",Me too! Go RAMS.
rogers is one of the best quarterbacks of all time ,i watch the packers too.,contingency,so,mid,"okay, nice. rogers is one of the best quarterbacks of all time so i watch the packers too.","Oh, man. I like the Rams but I am a Packer fan!"
"yeah, i was not always a packer fan ",i have been since 1991.,comparison,but,mid,"yeah, i was not always a packer fan but i have been since 1991.","Okay, nice. Rogers is one of the best Quarterbacks of all time so I watch the Packers too."
i was an oakland fan.,it was because i was raised that way.,comparison,but,begin,i was an oakland fan. but it was because i was raised that way.,Who did you like before that?
but it was ,i was raised that way.,contingency,because,mid,i was an oakland fan. but it was because i was raised that way.,Who did you like before that?
i know you are probably right about the patriots being in the superbowl ,i just don't like them.,comparison,but,mid,i know you are probably right about the patriots being in the superbowl but i just don't like them.,"No, he will turn 40 this upcoming season and he still looks as good as ever."
yeah the patriots are good ,what other teams do you think could be in the superbowl next year?,comparison,but,mid,yeah the patriots are good but what other teams do you think could be in the superbowl next year?,For the Patriots to come back from a 25 point deficit was one of the greatest things I have ever seen in football.
"yes against miami at home, ",brissett came in and they won that game.,comparison,but,mid,"yes against miami at home, but brissett came in and they won that game.",Didnt Garappolo get hurt though?
"i dont know, ",if they make it they will probably win it.,comparison,but,mid,"i dont know, but if they make it they will probably win it.",Thats why they are going to the Superbowl again this year.
i like watching them ,it was my dads favorite team so i became a fan at a young age.,contingency,because,mid,i like watching them because it was my dads favorite team so i became a fan at a young age.,Why the browns?
"can't recall the names, ","i know the positions involved cornerback, safety, linebacker and a running back.",comparison,but,mid,"can't recall the names, but i know the positions involved cornerback, safety, linebacker and a running back.","Oh yeah, like who?"
"sure, i remember the frigid cold days with a nice fat sausage ",peppers with some hot sauce with a nice beer to wash it down.,expansion,and,mid,"sure, i remember the frigid cold days with a nice fat sausage and peppers with some hot sauce with a nice beer to wash it down.",Really?  Did you do any tailgating outside?
"well, not until september, ",that's pretty close now!,comparison,but,mid,"well, not until september, but that's pretty close now!","Whoa, is it already that time of the year?"
"funny name, ",a good player.,comparison,but,mid,"i forgot about him. funny name, but a good player.","Well, we got Julius Peppers on our defensive end. He's good in a pinch."
"i'd like to think that this is the year we get our act together, ",i won't hold my breath.,comparison,but,mid,"i'd like to think that this is the year we get our act together, but i won't hold my breath.","I forgot about him. Funny name, but a good player."
you're just jelly ,we win all the time.,contingency,because,mid,you're just jelly because we win all the time.,I'm so ready for him to retire already.
there are so many including walter payton and eric dickerson ,i'd have to go with barry sanders.,comparison,but,mid,there are so many including walter payton and eric dickerson but i'd have to go with barry sanders.,Who is your favorite NFL running back of all time?
that's true ,"he had the ability to avoid tackles, which is why he never got seriously hurt.",comparison,but,mid,"that's true but he had the ability to avoid tackles, which is why he never got seriously hurt.",What do you think made him so good.  He was all that big or fast compared to some others.
He looked around and saw the Lions going noplace and still was healthy so figured he'd get out on top.,he could have broken more records had he stayed just another year or two like emmett smith's record.,comparison,but,begin,but he could have broken more records had he stayed just another year or two like emmett smith's record.,Well I could kind of see his point.  He looked around and saw the Lions going noplace and still was healthy so figured he'd get out on top.
he knew a lot more than any sportswriter or coach or fan ,he was out there on the field making the tackles.,contingency,because,mid,that's right. he knew a lot more than any sportswriter or coach or fan because he was out there on the field making the tackles.,And Carson was a veteran and all-star linebacker who knew what he was talking about when it came to running backs.
"(superman comes down, tries to beat down the door, ","sees kryptonite on it as well) superman says: ""maybe you should get marshawn lynch to do it.""",comparison,but,mid,"(superman comes down, tries to beat down the door, but sees kryptonite on it as well) superman says: ""maybe you should get marshawn lynch to do it."" superman flies away","Hey, Superman, can ya beat down this door in MetLife Stadium? We're trapped!"
"well, i dunno what it is, ",we as a team in whole tend to have a lot of key injuries.,comparison,but,mid,"well, i dunno what it is, but we as a team in whole tend to have a lot of key injuries.",I just hope no one gets hurt. That's what hurt the team the most the last couple years.
"that's tough, ",i think the seattle seahawks will be the best defense this year.,comparison,but,mid,"that's tough, but i think the seattle seahawks will be the best defense this year.",What team do you think will have the best defense in the NFL this year?
