arg1,arg2,relation,connective,type,original_utt,original_utt_prev
i love thriller ,smooth criminal is my favorite song by micheal jackson.,comparison,but,mid,i love thriller but smooth criminal is my favorite song by micheal jackson.,"I can not really argue with that, I love thriller as it is such a great song to dance to."
"she has country roots, ",flirts with an r&b sound sometimes.,comparison,but,mid,"she is good. she has country roots, but flirts with an r&b sound sometimes.",My favorite singer is Taylor Swift though.
i think eminem and lil' wayne had the best verses ,drake pulled the whole thing together.,comparison,but,mid,i think eminem and lil' wayne had the best verses but drake pulled the whole thing together.,That is a great song as you would guess considering the artists on the track.
me too.,she is good on the voice.,comparison,but,begin,me too. but she is good on the voice.,I miss her music.
"it's great, isn't it?","it's also kinda, i don't know sad?",comparison,but,begin,"it's great, isn't it? but it's also kinda, i don't know sad? to see her away from her street punk style music","yeah, I recognized her voice immediately after I hearing the music"
"yea, she's married and definitely more mature now, ","i do miss her old style, simply cool and careless, the feeling of letting go",comparison,but,mid,"yea, she's married and definitely more mature now, but i do miss her old style, simply cool and careless, the feeling of letting go","it's great, isn't it? But it's also kinda, I don't know sad? to see her away from her street punk style music"
"i agree, ",some of his younger material was more relevant to that time period.,comparison,but,mid,"i agree, but some of his younger material was more relevant to that time period.",Some of his stuff is garbage.
i secretly like taylor swift ,she is so successful that i hate her too.,comparison,but,mid,i secretly like taylor swift but she is so successful that i hate her too.,I really admire Adele's voice.
i have never heard it ,i will give it a listen.,comparison,but,mid,i have never heard it but i will give it a listen.,"Considering she is 27 years old so she has been making music for a long time. The song was called ""Pon de Replay""."
it has a lot of memories for me ,i met my husband at that time.,contingency,because,mid,it has a lot of memories for me because i met my husband at that time.,Oh now that one I do remember!
"that's a tough one, ",i think it's can't get you out of my head.,comparison,but,mid,"that's a tough one, but i think it's can't get you out of my head.",What's your favorite pop song?
i haven't ,i saw she made a video for it.,comparison,but,mid,i haven't but i saw she made a video for it. i will give it a listen.,"Have you heard her new song ""Malibu""?"
well its sort of died off now ,it was played nonstop earlier this year.,comparison,but,mid,really?  it's been all over the radio.  well its sort of died off now but it was played nonstop earlier this year.,I don't think I've heard that.
i heard the guys helping him produce it had it in mind for someone more like rihanna ,then ed sang part of it and they decided to just go with it for him.,comparison,but,mid,i heard the guys helping him produce it had it in mind for someone more like rihanna but then ed sang part of it and they decided to just go with it for him.,I love that song.  It's a lot more pop sounding than most of his other songs.
i don't listen to that one very often.,i definitely like it.,comparison,but,begin,i don't listen to that one very often. but i definitely like it.,"I also like her song ""Kingdom Come."" It inspires me a lot too."
i'm not a fanboy ,i liked the song heathens.,comparison,but,mid,i'm not a fanboy but i liked the song heathens.,I hope so too!
"that's one of two songs i know by them, ",i just love the slow tempo of it and rhythm.,comparison,but,mid,"that's one of two songs i know by them, but i just love the slow tempo of it and rhythm.",'Demons' is one of my favorites.
"i know james blunt is playing too, ",i don't know if he's opening.,comparison,but,mid,"i know james blunt is playing too, but i don't know if he's opening. i'd assume so.","That would be amazing, I would love to come! Do you know who's opening for him?"
i don't ,i would love to go see them if you wanted to get tickets.,comparison,but,mid,i don't but i would love to go see them if you wanted to get tickets.,Do you know when their next tour is?
it wasn't always a thing ,they obviously could at one point.,contingency,so,mid,right. it wasn't always a thing so they obviously could at one point.,I feel like the artists should be able to sing without it or just don't bother.
i think she was good ,there are so many to choose from you know?,comparison,but,mid,i think she was good but there are so many to choose from you know?,Because she was a good singer and fit the description of a pop singer.
"i used to know, ",now i am confused...,comparison,but,mid,"i don't really know. i used to know, but now i am confused...","Hey Dad, what is Pop music?"
"i don't think it's him, ",i know he worked with her in the past.,comparison,but,mid,"i don't think it's him, but i know he worked with her in the past.","I'm not sure, I know I saw Jack Antonoff's name thrown around a bit."
so did butch walker ,she is on a roll with collaborations.,contingency,so,mid,so did butch walker so she is on a roll with collaborations.,"I don't think it's him, but I know he worked with her in the past."
"i did not like her older, sort of mix between pop and country songs, ",the new stuff i do.,comparison,but,mid,"i did not like her older, sort of mix between pop and country songs, but the new stuff i do.",Do you like her style?
i know i just want to have something to talk about for awhile ,since i love music i figured i would see what pop songs you like too.,expansion,and,mid,i know i just want to have something to talk about for awhile and since i love music i figured i would see what pop songs you like too.,Yeah it's cool so why the questions about that song it's been out for a while now.
okay it was really nice talking to you about this pop star taylor smith ,i have to go i'm going to be late for work thanks for the chat see you around.,comparison,but,mid,okay it was really nice talking to you about this pop star taylor smith but i have to go i'm going to be late for work thanks for the chat see you around.,The records she comes out with can really make you feel her songs they make you think and make you dance.
"i haven't heard of them, ",the name sounds cool!,comparison,but,mid,"i haven't heard of them, but the name sounds cool!",Do you like the Chainsmokers?
it isn't my favorite genre ,it is catchy.,comparison,but,mid,"yes, i don't mind it. it isn't my favorite genre but it is catchy.",Do you like pop music?
"they did it once, ",unfortunately just for a short time.,comparison,but,mid,"that would be amazing. they did it once, but unfortunately just for a short time.",I'd love the Spice Girls to make a return.
"well maybe not me personally, ",i had a few teen girls fall in love with me because my first name is barry...,comparison,but,mid,"well maybe not me personally, but i had a few teen girls fall in love with me because my first name is barry...",You were? No way!
"well maybe not me personally, but i had a few teen girls fall in love with me ",my first name is barry...,contingency,because,mid,"well maybe not me personally, but i had a few teen girls fall in love with me because my first name is barry...",You were? No way!
i even had one girl aks to marrty me ,"that she could say she was ""mrs. barry...""",contingency,so,mid,"yeah, but when i was young, there was this pop music star named barry manilow, who the girls couldn't resist. i even had one girl aks to marrty me so that she could say she was ""mrs. barry...""","I don't get it. In the movies, the guy named ""Barry"" is always the weirdo..."
"he has, ",so have other pop singers.,comparison,but,mid,"he has, but so have other pop singers.",He has had so many hits in the last few years though.
"i understand the appeal, ",i don't really like it.,comparison,but,mid,"i understand the appeal, but i don't really like it.",So are you a fan of pop music?
"i guess, ",you just don't see much creativity any more.,comparison,but,mid,"i guess, but you just don't see much creativity any more.","It is popular though, so go with what works right?"
i can't help ,"sing along to ""poker face""",comparison,but,mid,"i believe it.  i love her music.  i can't help but sing along to ""poker face""",I've heard that.  I know someone that met her and they said she's super sweet.
yeah he had a lot of problems ,still he was the king of pop.,comparison,but,mid,yeah he had a lot of problems but still he was the king of pop.,"Yeah, shame he died the way he did though."
"justin timberlake was my fave, ",i also really liked lance bass.,comparison,but,mid,"justin timberlake was my fave, but i also really liked lance bass.",Which one was your favorite?
"neither have i, ",i might now.,comparison,but,mid,"neither have i, but i might now.",I haven't even purchased Witness yet.
i love playing pop music in the car ,of that very reason.,contingency,because,mid,i agree. i love playing pop music in the car because of that very reason.,Pop music in general is always fun to dance and sing along with.
"i like britney a lot, ",i can't stand fergie anymore.,comparison,but,mid,"i like britney a lot, but i can't stand fergie anymore.",It would be a tie between Britney Spears and Fergie.
"i agree, she was better with the black eyed peas, ",i still think she's a strong singer.,comparison,but,mid,"i agree, she was better with the black eyed peas, but i still think she's a strong singer.",It just feels like she's not trying anymore.
"well, that's the probelm, she's a strong singer, ",her songs are straight up rubbish anymore.,comparison,but,mid,"well, that's the probelm, she's a strong singer, but her songs are straight up rubbish anymore.","I agree, she was better with The Black Eyed Peas, but I still think she's a strong singer."
take m.i.l.f money ,",  that song didn't make any damn sense.",expansion,for example,mid,"take m.i.l.f money for example,  that song didn't make any damn sense. the lyrics and the style were all over the place.",Why do you say that?
"ok, you have a point with one song, ",i still don't think she's all bad.,comparison,but,mid,"ok, you have a point with one song, but i still don't think she's all bad.","Take M.I.L.F Money for example,  that song didn't make any damn sense. The lyrics and the style were all over the place."
"people bash on it, ",it's just light and fun.,comparison,but,mid,"honestly, i really like pop music! people bash on it, but it's just light and fun.",Michael wrote so many beautiful ones over the years.
for sure.,bad blood is so good.,comparison,but,begin,for sure. but bad blood is so good.,"Haha, I guess she is pop now, isn't she?"
"she is, ","they are on friendly terms nowadays the song was found on soundcloud, but it turns out it's an old song they were working on before they split up, and it's unfinished.",comparison,but,mid,"she is, but they are on friendly terms nowadays the song was found on soundcloud, but it turns out it's an old song they were working on before they split up, and it's unfinished.",I thought she was dating someone else now.
"she is, but they are on friendly terms nowadays the song was found on soundcloud, ","it turns out it's an old song they were working on before they split up, and it's unfinished.",comparison,but,mid,"she is, but they are on friendly terms nowadays the song was found on soundcloud, but it turns out it's an old song they were working on before they split up, and it's unfinished.",I thought she was dating someone else now.
"she is, but they are on friendly terms nowadays the song was found on soundcloud, but it turns out it's an old song they were working on ","they split up, and it's unfinished.",temporal,before,mid,"she is, but they are on friendly terms nowadays the song was found on soundcloud, but it turns out it's an old song they were working on before they split up, and it's unfinished.",I thought she was dating someone else now.
i like so many artists ,i guess ed sheeran is my favorite.,comparison,but,mid,"oh, that's a hard question!  i like so many artists but i guess ed sheeran is my favorite.",What is your favorite pop artist?
"yes, she isn't as popular now, ",she used to be on the radio all of the time!,comparison,but,mid,"yes, she isn't as popular now, but she used to be on the radio all of the time!","She is a singer, right?"
