arg1,arg2,relation,connective,type,original_utt,original_utt_prev
there  are only  10 tracks  ,they all  have a  message,comparison,but,mid,there  are only  10 tracks  but they all  have a  message,how    many  tracks  are there ?
it is.,"it was like 15 years since their last one, so its okay if its long.",comparison,but,begin,"it is.  but it was like 15 years since their last one, so its okay if its long.",That's a long album name.
"but it was like 15 years since their last one, ",its okay if its long.,contingency,so,mid,"it is.  but it was like 15 years since their last one, so its okay if its long.",That's a long album name.
i think it was ,he was convincing the world that just because you're one thing doesn't mean you have to be this or that and to stop doing it.,contingency,because,mid,i think it was because he was convincing the world that just because you're one thing doesn't mean you have to be this or that and to stop doing it.,"Yeah that stuff was deep, do you think that's what got him killed?"
i think it was because he was convincing the world that just ,you're one thing doesn't mean you have to be this or that and to stop doing it.,contingency,because,mid,i think it was because he was convincing the world that just because you're one thing doesn't mean you have to be this or that and to stop doing it.,"Yeah that stuff was deep, do you think that's what got him killed?"
the thing is i can't pinpoint what it is about the songs ,"artists that i like, and if i did i wouldn't know how to word it.",expansion,and,mid,"the thing is i can't pinpoint what it is about the songs and artists that i like, and if i did i wouldn't know how to word it.",You can always use an app or website where you put in music that you like and it will suggest similar stuff.
"the thing is i can't pinpoint what it is about the songs and artists that i like, ",if i did i wouldn't know how to word it.,expansion,and,mid,"the thing is i can't pinpoint what it is about the songs and artists that i like, and if i did i wouldn't know how to word it.",You can always use an app or website where you put in music that you like and it will suggest similar stuff.
cardi b is also good ,i think its nicki,comparison,but,mid,cardi b is also good but i think its nicki,Well Remy ma is also one good rapper
yeah he does have a younger crowd ,you would be surprised older people love him too,comparison,but,mid,yeah he does have a younger crowd but you would be surprised older people love him too,It means he is not someone that i listen too I think thats for you ng people who really dont know what real rap sounds like
yeah i seen it ,i didnt understand why everyone had a problem with it,comparison,but,mid,yeah i seen it but i didnt understand why everyone had a problem with it,Well this one dont Did you see on instagram how he said he the new tupac. I almost punched my computer screen
cash money was good ,nobody came close to no limit,comparison,but,mid,cash money was good but nobody came close to no limit,im more on the side of cash money
and no limit was good ,cash money is still running,comparison,but,mid,and no limit was good but cash money is still running,cash money was good but nobody came close to no limit
"that's true, ",awards and praise don't mean much.,comparison,but,mid,"that's true, but awards and praise don't mean much.","I disagree, Eminem has received lots of awards and has been lauded by the rap community."
i might be in the minority ,i did not like it.,comparison,but,mid,i might be in the minority but i did not like it.,How great was the Jay Z Kanye West group album.
i can go hard ,some of it was aimless.,comparison,but,mid,i can go hard but some of it was aimless.,"Thats what rap is about though, you gotta go hard."
i'd go for a 7 ,i can't argue against an 8.,comparison,but,mid,i'd go for a 7 but i can't argue against an 8.,It's been getting good reviews. I give it an 8 out of 10.
"it's crazy, ",it sounds good.,comparison,but,mid,"i know! that's what i was going to say! it's crazy, but it sounds good. that man can make anything flow good.","Yeah, the one called ""I Love You So Much""? Chance has a whole verse on it that is literally just the alphabet."
"me too, ",artists are humans too.,comparison,but,mid,"me too, but artists are humans too. they grow and evolve. chance is a daddy now. he can't be doing acid all the time any more!",I guess so! His verses are still amazing though. And the features are great. I just kind of miss Acid Rap Chance.
freedia is good ,she's all bounce.,comparison,but,mid,freedia is good but she's all bounce. rap it a little different.,I don't know. I like Big Freedia better.
i love it ,it is so classic.,contingency,because,mid,i love it because it is so classic.,How do you like his music?
he is alright ,biggie was way better.,comparison,but,mid,he is alright but biggie was way better.,what do you think about Funkmaster Flex?
