arg1,arg2,relation,connective,type,original_utt,original_utt_prev
that's a random question ,"probably, yes.",comparison,but,mid,"that's a random question but probably, yes.",Is there anyone cooler than Butch Walker?
i can see what you mean ,plenty of artists do that.,comparison,but,mid,i can see what you mean but plenty of artists do that.,"Each song drips with this East coast, New Jersey flavor and swagger."
"yeah, i have, ",back to rock music...,comparison,but,mid,"yeah, i have, but back to rock music...",have you ever seen the rain?
"yea, i mean there's been some new artists that are pretty good, ",nothing compares to 90's rock.,comparison,but,mid,"yea, i mean there's been some new artists that are pretty good, but nothing compares to 90's rock.",I feel like recently there hasn't been like a really good new rock band to come out of the past few years.
its hard to say ,i'm going way back in time and i would say the doors!,comparison,but,mid,its hard to say but i'm going way back in time and i would say the doors!,What's your favorite rock band of all time?
thats a no brainer it's alabama song ,some know it as whisky bar.,comparison,but,mid,thats a no brainer it's alabama song but some know it as whisky bar.,Just playing with ya! So whats your favorite Doors song?
"i know nirvana well, ",i'll have to learn more and listen to soundgarden and pearl jam.,comparison,but,mid,"i know nirvana well, but i'll have to learn more and listen to soundgarden and pearl jam.",Correct. All of these bands had a lot of success and radio play.
"i never saw led zeppelin, ",i did see the allman brothers.,comparison,but,mid,"yes, how about the allman brothers and led zeppelin. i never saw led zeppelin, but i did see the allman brothers.",He is great. There are so many great bands from that era.
"a lot of rock bands lose members to death and just quitting, ",not many can say their drummer lost his arm.,comparison,but,mid,"yes.  a lot of rock bands lose members to death and just quitting, but not many can say their drummer lost his arm.","They have been through so much, it's amazing they are still going relatively strong."
"i love that song, ",i'm not so sure about their new work.,comparison,but,mid,"i love that song, but i'm not so sure about their new work.","That's true. U2's ""New Year's Day"" is a good example of that."
"i like ""beautiful day,"" ","not ""vertigo.""",comparison,but,mid,"it depends. i like ""beautiful day,"" but not ""vertigo.""",You're right. It's not as iconic as their earlier stuff.
i think he will ,i'm sure he's enjoying just touring and relaxing.,comparison,but,mid,i think he will but i'm sure he's enjoying just touring and relaxing.,Do you think Bruce Springsteen will put out a new album?
i will try.,", i think green day is the only good punk rock band.",comparison,but,begin,"i will try. but, i think green day is the only good punk rock band.",They are good. You should give them a shot.
"metallica had some great albums and songs, for sure, ",their music to me is not as intelligent.,comparison,but,mid,"metallica had some great albums and songs, for sure, but their music to me is not as intelligent.","Yes, their dual-lead-guitar sound is pretty incredible, in how the guitars interlock and harmonize."
i've always wanted to see them live ,never had the opportunity.,comparison,but,mid,i've always wanted to see them live but never had the opportunity.,I've actually seen them in concert a few times and they were fantastic.
i had the opportunity to see them and guns n' roses together about twenty years ago ,couldn't make it.,comparison,but,mid,i had the opportunity to see them and guns n' roses together about twenty years ago but couldn't make it.,They're actually still touring. They did a bunch of shows last year.
"sweet child o' mine was my favorite, ",i liked them all.,comparison,but,mid,"sweet child o' mine was my favorite, but i liked them all.","Yes Welcome to the Jungle was my favorite song, how about you?"
"that is a good one, ",what about master of puppets?,comparison,but,mid,"that is a good one, but what about master of puppets?","Well, Ride the Lighting is one."
"not a ""camp out for a week to get tickets"" type of fan, ",a pretty good fan.,comparison,but,mid,"not a ""camp out for a week to get tickets"" type of fan, but a pretty good fan.","Okay, so you are a very big fan."
"not really, ",i do like to listen to southern rock sometimes.,comparison,but,mid,"not really, but i do like to listen to southern rock sometimes.",So you aren't a fan of theirs?
"i guess, ",here me out.,comparison,but,mid,"i guess, but here me out. she wrote a bunch of break up songs about her ex...and her ex is in the band!",what a weird comparison
"not really, ",they are a good band.,comparison,but,mid,"not really, but they are a good band.",Do you listen to the Foo Fighters often?
"you know, i'm not a huge fan, ","we say our son's ""song"" is one of theirs.",comparison,but,mid,"you know, i'm not a huge fan, but we say our son's ""song"" is one of theirs.",Do you like Metallica?
its the easy way to go ,if you arent good you will sink quickly.,comparison,but,mid,its the easy way to go but if you arent good you will sink quickly.,So making a cover as your first song is probably the wrong way to go
"yeah, but my favorite ac/dc song is it's a long way to the top ",i'm going with bon scott.,contingency,so,mid,"yeah, but my favorite ac/dc song is it's a long way to the top so i'm going with bon scott.",Has to be Brian Johnson. His voice is the best.
"beats me, ",he's been performing like that for 40 plus years now.,comparison,but,mid,"beats me, but he's been performing like that for 40 plus years now. it's awesome.",How did Angus Young come up with that little hop he does on stage?
"i agree, ","i'm partial to ""all along the watchtower.""",comparison,but,mid,"i agree, but i'm partial to ""all along the watchtower.""",That is their magnum opus.
"i want to say he dated courteney cox, ",it might have been jennifer anniston.,comparison,but,mid,"yeah, his name was adam something.  i want to say he dated courteney cox, but it might have been jennifer anniston.",Didn't the singer used to date one of the girls from Friends?
"i don't know if it was weird, ",he had dreads.,comparison,but,mid,"i don't know if it was weird, but he had dreads.",He was the guy with weird hair.
"yes, a few songs are weird ",mostly it's very good; especially 'sunny disposition',comparison,but,mid,"yes, a few songs are weird but mostly it's very good; especially 'sunny disposition'","Ah, I see, so you like their new album then?"
growing up in the 90's i loved kiss and glam rock.,jimi hendrix will always win out.,comparison,but,begin,growing up in the 90's i loved kiss and glam rock. but jimi hendrix will always win out.,Tell me both. Adolescent first.
i first heard of them way ,"that, probably when the sing the sorrow album came out.",temporal,before,mid,"i first heard of them way before that, probably when the sing the sorrow album came out.",I've come to love their newer stuff. I started listening to them when Miss Murder debuted and then just started listening to all of their stuff.
"well, that wasn't too long before, ",i went back and listened to that album too after falling in love with their december underground album.,comparison,but,mid,"well, that wasn't too long before, but i went back and listened to that album too after falling in love with their december underground album.","I first heard of them way before that, probably when the Sing The Sorrow Album came out."
"well, that wasn't too long before, but i went back ",listened to that album too after falling in love with their december underground album.,expansion,and,mid,"well, that wasn't too long before, but i went back and listened to that album too after falling in love with their december underground album.","I first heard of them way before that, probably when the Sing The Sorrow Album came out."
it was a bit odd ,it is an awesome song.,comparison,but,mid,it was a bit odd but it is an awesome song. have you listened to any other music of theirs?,Oh ok! I remember that weird video for Black Hole Sun.
"that one is really good, ",my favorite is fuel.,comparison,but,mid,"that one is really good, but my favorite is fuel.",Now that's a nice choice! No Leaf Clover is probably my favorite.
"the band wouldn't be the same without james, ",i've always favored him because of that.,contingency,so,mid,"the band wouldn't be the same without james, so i've always favored him because of that.",It's a mix up between James and Kirk. They're both really good.
"they try too hard to be progressive rock, ",it just sucks.,comparison,but,mid,"i hate their new stuff.  they try too hard to be progressive rock, but it just sucks.","Yeah, that's a good one.  What do you think of their newer stuff?"
"no i didn't hear that, ",hopefully that means they will go on tour?,comparison,but,mid,"no i didn't hear that, but hopefully that means they will go on tour?",Did you hear Foo Fighter's are going to have a new album out this fall?
"they were playing foo fighters on the radio the other day, ",it was one of their old songs.,comparison,but,mid,"they were playing foo fighters on the radio the other day, but it was one of their old songs.",Dave Grohl said it's going to be a GIGANTIC rock record.
"yeah, it was different then, ",it seems so right now.,comparison,but,mid,"yeah, it was different then, but it seems so right now.","Yeah, he music is just classic.  I think it's better now that it was then."
that is a great one.,"i prefer ""arabella""",comparison,but,begin,"that is a great one. but i prefer ""arabella""","""R U Mine?"" is my favorite song by the band."
well that is hard ,what was considered rock was so different in differetn decades.,contingency,because,mid,well that is hard because what was considered rock was so different in differetn decades.,"So tell me, what era of rock music do you think was the best?"
"maybe not originally, ",i do know it was done by the marvelettes in the 60's.,comparison,but,mid,"maybe not originally, but i do know it was done by the marvelettes in the 60's.",Please Mr Postman was a cover by the Beatles.  Do you know who did it originally?
"it's a small, ","significant, difference.",comparison,but,mid,"it's a small, but significant, difference.",The duo are in the Rock and Roll Hall of Fame! What's the difference between rock music and folk music?
"i'm not sure, ",he did go into another band.,comparison,but,mid,"i'm not sure, but he did go into another band.",I never really was into them.  Didn't the lead singer go solo or something?
"yeah, i posted a pic of myself with a nirvana tshirt on, and they tweeted kurt cobain was a loser who killed himself ",his career was going downhill.,contingency,because,mid,"yeah, i posted a pic of myself with a nirvana tshirt on, and they tweeted kurt cobain was a loser who killed himself because his career was going downhill.",Was it one of those troll kind of people?
"yeah, i posted a pic of myself with a nirvana tshirt on, ",they tweeted kurt cobain was a loser who killed himself because his career was going downhill.,expansion,and,mid,"yeah, i posted a pic of myself with a nirvana tshirt on, and they tweeted kurt cobain was a loser who killed himself because his career was going downhill.",Was it one of those troll kind of people?
he is great.,i think keith richards is my favorite member.,comparison,but,begin,he is great. but i think keith richards is my favorite member.,I'd have to say that my favorite is Mick Jagger.
"i appreciate them for what they've done for the genre as a whole, ",they're not really my cup of tea.,comparison,but,mid,"i appreciate them for what they've done for the genre as a whole, but they're not really my cup of tea.","Dude, you sound like such a hipster! What about Aerosmith, and AC/DC?"
"you have a point there man, ",at least give me some recommendations for indie rock bands.,comparison,but,mid,"you have a point there man, but at least give me some recommendations for indie rock bands.","That's like, your opinion man. I'm entitled to like whatever bands I want to like."
"silver springs i think, even though i love so much of their stuff, ",it's hard to pick one.,contingency,so,mid,"silver springs i think, even though i love so much of their stuff, so it's hard to pick one.  you?",What's your favorite song by them?
"would love some new,stuff from these bands ",i don't see it happening.,comparison,but,mid,"would love some new,stuff from these bands but i don't see it happening.",They are both ageless.
"theres alot of them, ",i'll say toys in the attic.,comparison,but,mid,"theres alot of them, but i'll say toys in the attic.",Yes he can. What is your favorite song?
"i like sammy hagar, ",i think roth is cuter.,comparison,but,mid,"i like sammy hagar, but i think roth is cuter.",I like when David Lee Roth sang with the band better. How about you?
"i can't believe he and the drummer are both dead, and all ",of stupid drugs.,contingency,because,mid,"i can't believe he and the drummer are both dead, and all because of stupid drugs.","I know, the Jar of Flies album is full of dark thoughts, which we know are Lane's."
"i never liked rock a bunch, ",i did enjoy listening bob dylan.,comparison,but,mid,"i never liked rock a bunch, but i did enjoy listening bob dylan.",Who is/was your favorite rock artist?
i am not exactly sure yet i am waiting for my girl friend to get back to me ,i know it is a rock group.,comparison,but,mid,i am not exactly sure yet i am waiting for my girl friend to get back to me but i know it is a rock group.,What dance club are you going to and what group is going to be there?
yes i remember them it was the group called ac/dc ,that one is not from the seventies i don't think so.,comparison,but,mid,yes i remember them it was the group called ac/dc but that one is not from the seventies i don't think so.,Wow I like rock remember the old song from way back in the seventies I love Rock and Roll.
i remember crawling in the dark ,not much else.,comparison,but,mid,i remember crawling in the dark but not much else.,Do you think Hoobastank was a good band
that is true.,"these days, i still like old classics like zeppelin and twisted sister.",comparison,but,begin,"that is true.  but these days, i still like old classics like zeppelin and twisted sister.","That was when MTV was music TV.  Wow, you are old."
"i know, it's so sexist, ",it's so funny i just giggle through the whole thing.,comparison,but,mid,"i know, it's so sexist, but it's so funny i just giggle through the whole thing.","OH, and Girls- that song cracks me up."
"there will never be another band like nirvana, that's for sure, ",soundgarden was just as good.,comparison,but,mid,"there will never be another band like nirvana, that's for sure, but soundgarden was just as good.","Of course, grunge was very influential!"
"he wasn't grunge, ",mike patton is up there!,comparison,but,mid,"he had one of the best voices in rock. he wasn't grunge, but mike patton is up there!","Shame about Chris Cornell, he had a really powerful voice."
"he's awesome, ",too many people will only know him for epic and not for his actual variety.,comparison,but,mid,"i know! he's awesome, but too many people will only know him for epic and not for his actual variety.","He had one of the best voices in rock. He wasn't grunge, but Mike Patton is up there!"
"he's fluent in italian and always wants to experiment, ",that's no surprise.,contingency,so,mid,"he's fluent in italian and always wants to experiment, so that's no surprise.","Yup, incredible range. He can scream in one song, croon like Frank Sinatra in another, and he's even done an opera album."
"it is, ",axl has put his own spin on things.,comparison,but,mid,"it is, but axl has put his own spin on things.","Brian Johnson is a hard act to follow, his voice is so distinct."
"all of the other members of ac/dc are phenomenal, ",you first notice that lead singer.,comparison,but,mid,"all of the other members of ac/dc are phenomenal, but you first notice that lead singer.","It is, but Axl has put his own spin on things."
"well i was a huge cyndi lauper fan, ","the first song that comes to mind is ""girls just want to have fun"".",contingency,so,mid,"hmm, let's see. well i was a huge cyndi lauper fan, so the first song that comes to mind is ""girls just want to have fun"".",How many songs can you name from the 1980's?
i never did master the moon walk ,i did learn the thriller dance.,comparison,but,mid,i never did master the moon walk but i did learn the thriller dance.,Let's not forget Michael Jackson was breaking out on his own. He had Beat It and the moon walk. So amazing.
"that's not something i even want to see, ",i could have watched him dance all day long.,comparison,but,mid,"that's not something i even want to see, but i could have watched him dance all day long.",I never did master the moon walk but I did learn the Thriller dance.
they play punk rock ,evolved over the years.,comparison,but,mid,they play punk rock but evolved over the years.,What kind of music is it?
"maybe in the '50s, sure, ",he was a white guy doing what black artists did.,contingency,because,mid,"maybe in the '50s, sure, because he was a white guy doing what black artists did.","So, Elvis, was he overrated?"
"it kind of was, ",it sounded fantastic.,comparison,but,mid,"it kind of was, but it sounded fantastic. they also played el scorcho and say it ain't so.",That sounds like it would be really weird.
not that it bothers me ,i agree sometimes language in rock music can get back.,comparison,but,mid,not that it bothers me but i agree sometimes language in rock music can get back.,"Yes they do. Steven Tyler swore so much, I was shocked."
"that's cool, ",what would you say is you all time favorite song from them?,contingency,so,mid,"that's cool, so what would you say is you all time favorite song from them?",I think them being a part of the Terminator 2 soundtrack really got me to pay attention to their music.
i mean theres a ton of songs that i like from them ,that one just has a special place.,comparison,but,mid,i'd have to say it's you could be mine. i mean theres a ton of songs that i like from them but that one just has a special place.,"That's cool, so what would you say is you all time favorite song from them?"
honestly it's not as good as their stuff in the 80's ,thats not to say they aren't good anymore.,comparison,but,mid,honestly it's not as good as their stuff in the 80's but thats not to say they aren't good anymore.,How do you feel about their current music?
"it's a bit different, more of a disco vibe than a synth rock vibe ",i dig it.,comparison,but,mid,"it's a bit different, more of a disco vibe than a synth rock vibe but i dig it.",Yeah precisely that one.
"i like it too, i was expecting a backlash against it ",it's been pretty positive.,comparison,but,mid,"i like it too, i was expecting a backlash against it but it's been pretty positive.","It's a bit different, more of a disco vibe than a synth rock vibe but I dig it."
"could be, ",nothing stops youtube commenters from being terrible if that's what they want to do.,comparison,but,mid,"could be, but nothing stops youtube commenters from being terrible if that's what they want to do.",Now that could just be because after five years we finally got a new Killers song.
some are ok ,i like a lot of the more classic stuff.,comparison,but,mid,some are ok but i like a lot of the more classic stuff.,what do you think about the new bands out today?
yes they are okay ,i always liked the edgier stuff like the ramones and the stooges.,comparison,but,mid,yes they are okay but i always liked the edgier stuff like the ramones and the stooges.,like the stones? and the who?
sure and some other genres too ,nothing beats the raw energy of the older stuff.,comparison,but,mid,sure and some other genres too but nothing beats the raw energy of the older stuff.,so youre into classic punk rock?
yes i see alot of that ,rock and roll is here to stay.,comparison,but,mid,yes i see alot of that but rock and roll is here to stay.,"yes i agree, most rip off the older bands. todays seem so fake  like they try to hard."
"i want to, ",i never found the time.,comparison,but,mid,"no. i want to, but i never found the time.",Did you ever go to a Coldplay concert?
