arg1,arg2,relation,connective,type,original_utt,original_utt_prev
yeah its a shame ,i heard disney is planing a han solo movie.,comparison,but,mid,yeah its a shame but i heard disney is planing a han solo movie.,"Yeah, too bad he died in the last Star Wars movie."
"yeah, they were cute.",vicous in battle.,comparison,but,begin,"yeah, they were cute.  but vicous in battle.",I also like the Ewoks.  They were pretty cool.
"maybe so, ","if you evaluate them individually, they work a lot better than if you compare them to the original trilogy.",comparison,but,mid,"maybe so, but if you evaluate them individually, they work a lot better than if you compare them to the original trilogy.","Wow, now you are overthinking things."
there are so many stories ,there is plenty to choose from,contingency,so,mid,there are so many stories so there is plenty to choose from,I hope that they will stay true to the stories
vader's lore is very dark ,his character doesn't do much to show it.,comparison,but,mid,i could see that. vader's lore is very dark but his character doesn't do much to show it.,"Vader is more legendary for sure. However, he didn't feel as evil as Darth Maul to me."
"i thought liam neeson was in star wars, ",i guess not.,comparison,but,mid,"i thought liam neeson was in star wars, but i guess not.","That's true, I just wish Yoda was more powerful I guess."
i guess they thought it didn't make sense ,a jedi shouldn't seek revenge.,contingency,because,mid,i guess they thought it didn't make sense because a jedi shouldn't seek revenge.,I like return better anyway.
luke at 11 years old ,"i could relate to the innocence,now han as an adult because of his defiance against the system.",contingency,because,mid,"luke at 11 years old because i could relate to the innocence,now han as an adult because of his defiance against the system.",Really?Why the change?
"luke at 11 years old because i could relate to the innocence,now han as an adult ",of his defiance against the system.,contingency,because,mid,"luke at 11 years old because i could relate to the innocence,now han as an adult because of his defiance against the system.",Really?Why the change?
this is why star wars is so popular ,many different age ranges can relate.,contingency,because,mid,this is why star wars is so popular because many different age ranges can relate.,"Same with me. Luke is really the pefect hero for children,while Han is a hero for adults."
Things are out of fashion in five minutes now.,star wars holds up.,comparison,but,begin,but star wars holds up.  my daughter and i watched it together recently.,I know what you mean.  Things are out of fashion in five minutes now.
"especially luke, so whiny in the first one ",awesome by the third.,comparison,but,mid,"especially luke, so whiny in the first one but awesome by the third.",It's interesting to see that first movie and how everyone develops.
"yea, him and chewbacca are such an unlikely pair, ",someone how it works so well.,comparison,but,mid,"yea, him and chewbacca are such an unlikely pair, but someone how it works so well.","Yea, he's good at playing kind of like the rascally, space pirate type of character."
"no, the 90s one's were awful ",the new one especially is really good.,comparison,but,mid,"no, the 90s one's were awful but the new one especially is really good.",Really? I kind of figured they were bad too.
"well yes, he does, ",he is still important.,comparison,but,mid,"well yes, he does, but he is still important.",I know. He just becomes so evil.
"well yes, ",he is important because he luke and leia's dad.,comparison,but,mid,"well yes, but he is important because he luke and leia's dad.","I know, I know, you have to evil in a movie about good and evil."
"well yes, but he is important ",he luke and leia's dad.,contingency,because,mid,"well yes, but he is important because he luke and leia's dad.","I know, I know, you have to evil in a movie about good and evil."
"he was okay, ",alec guinness is the actor who will always remind me of obi-wan kenobi.,comparison,but,mid,"he was okay, but alec guinness is the actor who will always remind me of obi-wan kenobi.",Do you think Ewan McGregor did a good job portraying Obi-Wan Kenobi?
"probably, i imagine they tried to hide it from luke ",he wouldn't go to fight in the rebellion.,contingency,so,mid,"probably, i imagine they tried to hide it from luke so he wouldn't go to fight in the rebellion.",Do you think Uncle Owen and Aunt Beru know who Obi-Wan Kenobi was?
why do you think obi-wan kenobi decided to train luke at his age?,"all, yoda said anakin was too old when he was a small child.",temporal,after,begin,"why do you think obi-wan kenobi decided to train luke at his age? after all, yoda said anakin was too old when he was a small child.","Probably, I imagine they tried to hide it from Luke so he wouldn't go to fight in the rebellion."
"i know, ",it was part of the story.,comparison,but,mid,"i know, but it was part of the story.",I was so sad that Han Solo died.
"i know, ",the whole thing was sad.,comparison,but,mid,"i know, but the whole thing was sad.","I know, but it was part of the story."
"no, i mean how george lucas was in love with films by director akira kurosawa, ",seemed to outright copy parts of his films for star wars.,expansion,and,mid,"no, i mean how george lucas was in love with films by director akira kurosawa, and seemed to outright copy parts of his films for star wars.",You mean the name Obi Wan Kenobi?
"not only scenes and ideas, ",also costumes that mimicked japanese clothing.,comparison,but,mid,"not only scenes and ideas, but also costumes that mimicked japanese clothing.","Oh, I didn't know that. I thought he had just made it all up himself."
"there was one film people thought star wars copied, ","it was the opposite- they had seen star wars and been influence by it, but their film came out first, making everyone think the opposite.",comparison,but,mid,"there was one film people thought star wars copied, but it was the opposite- they had seen star wars and been influence by it, but their film came out first, making everyone think the opposite.","Wow, so the credit for the ideas goes to a lot of other people."
"there was one film people thought star wars copied, but it was the opposite- they had seen star wars and been influence by it, ","their film came out first, making everyone think the opposite.",comparison,but,mid,"there was one film people thought star wars copied, but it was the opposite- they had seen star wars and been influence by it, but their film came out first, making everyone think the opposite.","Wow, so the credit for the ideas goes to a lot of other people."
"there was one film people thought star wars copied, but it was the opposite- they had seen star wars ","been influence by it, but their film came out first, making everyone think the opposite.",expansion,and,mid,"there was one film people thought star wars copied, but it was the opposite- they had seen star wars and been influence by it, but their film came out first, making everyone think the opposite.","Wow, so the credit for the ideas goes to a lot of other people."
"star wars was also influenced by japanese anime and manga, ",in turn also later influenced them.,comparison,but,mid,"star wars was also influenced by japanese anime and manga, but in turn also later influenced them.","A lot of art- movies, music, painting, seems to have been influenced by things before it."
"i know, ",that made it more interesting.,comparison,but,mid,"i know, but that made it more interesting. luke's character was so anxious to get into the war with all his friends, though.",It was different to cast Mark Hamill as the hero. He certainly didn't look the part of a glalactic warrior!
"my family didn't like it, ",i thought it was one of the best star wars films ever.,comparison,but,mid,"my family didn't like it, but i thought it was one of the best star wars films ever.","Yeah, I watched that a couple weeks ago."
"so they build them, ",there is always some minor flaw that can be found in the plans.,comparison,but,mid,"so they build them, but there is always some minor flaw that can be found in the plans.","Yes, I guess so, with the latter just being bigger."
"that's how i usually do it, ",i was thinking about starting with the phantom menace.,comparison,but,mid,"that's how i usually do it, but i was thinking about starting with the phantom menace.",I'm a traditionalist. I like to start with A New Hope.
"i only missed one of them, and that's ",i was a baby.,contingency,because,mid,"same here. i only missed one of them, and that's because i was a baby.",Me too. Plus I see them in theater as soon as they open.
fine they have the same range ,james is my pick still.,comparison,but,mid,fine they have the same range but james is my pick still.,Wells does also have that baritone voice.
well i can't say that i am not a fan ,also know some people who are obsessed and i am not at that level but a fan for the most part.,comparison,but,mid,well i can't say that i am not a fan but also know some people who are obsessed and i am not at that level but a fan for the most part.,Do you like the Star Wars movies?
well i can't say that i am not a fan but also know some people who are obsessed and i am not at that level ,a fan for the most part.,comparison,but,mid,well i can't say that i am not a fan but also know some people who are obsessed and i am not at that level but a fan for the most part.,Do you like the Star Wars movies?
well i can't say that i am not a fan but also know some people who are obsessed ,i am not at that level but a fan for the most part.,expansion,and,mid,well i can't say that i am not a fan but also know some people who are obsessed and i am not at that level but a fan for the most part.,Do you like the Star Wars movies?
"i have as well, ","have never seen them all in one sitting, it's sort of something i want to do.",comparison,but,mid,"i have as well, but have never seen them all in one sitting, it's sort of something i want to do.",Yes I have I think I saw them in theaters when the where released. Have you seen them all?
it think it is ,didn't they sell to dolby or something like that.,comparison,but,mid,it think it is but didn't they sell to dolby or something like that.,No but isn't THX owned by Jerge Lucas.
"it's a side story, ",it doesn't matter when you watch it.,contingency,so,mid,"whenever. it's a side story, so it doesn't matter when you watch it.",Gotcha. But when should I squeeze in Rogue One?
"yeah, so wise ",can't seem to put a sentence together.,comparison,but,mid,"yeah, so wise but can't seem to put a sentence together.",He was.  He speaks a little odd though.
that fight with him and count dooku was so awesome ,you finally see how powerful he is.,contingency,because,mid,he is really cool.  that fight with him and count dooku was so awesome because you finally see how powerful he is.,I really like Yoda.
you'd think in the whole big galaxy humans would be kind of a blip in the radar ,lucas had mostly humans.,comparison,but,mid,that's true.  you'd think in the whole big galaxy humans would be kind of a blip in the radar but lucas had mostly humans.,I wish there were more characters like him in the Star Wars universe. It seems like a lot of the characters are humanoid and not enough aliens.
"the last two movies they've made were definite improvements over the prequels, ",they were both movies that i found myself liking less the more i thought about them.,comparison,but,mid,"the last two movies they've made were definite improvements over the prequels, but they were both movies that i found myself liking less the more i thought about them.",You don't sound super pumped.
i never thought about it that way.,you're right.,comparison,but,begin,i never thought about it that way. but you're right.,So Star Wars seems like it's just as much a fantasy as a science-fiction movie.
"yeah, i thought so too, ","i liked the third movie in the series, revenge of the sith.",comparison,but,mid,"yeah, i thought so too, but i liked the third movie in the series, revenge of the sith.","Well for one thing, I didn't like Jar Jar Binks as a character. He was sort of annoying."
you assume the empire was funded by taxes.,the rebel's government support was questionable,comparison,but,begin,you assume the empire was funded by taxes. but the rebel's government support was questionable,It would be interesting to know how they got their funding
i cant remember the episode ,i like the one with boba fett appeared.,comparison,but,mid,i cant remember the episode but i like the one with boba fett appeared.,Which one is your favorite?
"i tend to agree, ","recently i watched ""the return of the jedi,"" and it was pretty bad.",comparison,although,mid,"i tend to agree, although recently i watched ""the return of the jedi,"" and it was pretty bad.",The first 2 prequels.
