arg1,arg2,relation,connective,type,original_utt,original_utt_prev
the movies were great ,they weren't that great.,comparison,but,mid,the movies were great but they weren't that great. they should just leave it as is.,Yes I'm wondering if they'll come out with another one.
they gave us free passes ,i didn't come back to finish it.,comparison,but,mid,"the theater's fire alarm went off right before the third act. they gave us free passes but i didn't come back to finish it. i used it on a pirates of the caribbean movie, i think.",Huh?
i agree we dont ,thats why itll be long.,comparison,but,mid,i agree we dont but thats why itll be long.,But we dont know that much about the charactes.
i enjoy the comic book aspect others ,each decade seems to have a different take on the batman franchise.,comparison,but,mid,which is good and bad. i enjoy the comic book aspect others but each decade seems to have a different take on the batman franchise.,"It did, it became more dark and much more serious overall."
michael keaton i love ,george was just no good in this role.,comparison,but,mid,i am glad that they got away from the cheese of the horrible george clooney era batman.  michael keaton i love but george was just no good in this role.,Which is good and bad. I enjoy the comic book aspect others but each decade seems to have a different take on the batman franchise.
"well, not to give it away, ",the ending battle took forever and was just way too much special effects.,comparison,but,mid,"well, not to give it away, but the ending battle took forever and was just way too much special effects.",Such as?
"i know he didn't get the run on others, ",he was the best from the original movies.,comparison,but,mid,"i know he didn't get the run on others, but he was the best from the original movies.",You can't be serious.
it made me tear up a little ,she was doing it out of emotional response from that family.,contingency,because,mid,it made me tear up a little because she was doing it out of emotional response from that family.,She looked like a total babe doing that!
i think it is a good movie ,i know some will make a big deal about it not having enough diversity in it.,comparison,but,mid,i think it is a good movie but i know some will make a big deal about it not having enough diversity in it.,I never thought about it that way.
"yeah, he started off all stuffy and arrogant ",i knew he had a good guy in there somewhere.,comparison,but,mid,"yeah, he was born to play stephen strange. yeah, he started off all stuffy and arrogant but i knew he had a good guy in there somewhere.",Me too. It was all psychedelic and Benedict Cumerbatch was awesome.
"i'll find his swords, ",i don't think i can get them past security.,comparison,but,mid,"i'll find his swords, but i don't think i can get them past security.",And maybe even buy and wear the mask
"there are many, ",i'd say thor ragnarok,comparison,but,mid,"there are many, but i'd say thor ragnarok",what move are you looking most forward to?
"there are a lot of worthy answers to your question, ",thor has always been my favorite,comparison,but,mid,"there are a lot of worthy answers to your question, but thor has always been my favorite",With DC coming out with Justice League and Wonder Woman and the new Spiderman coming itwas a tough choice to make
"i believe they are somewhat saturating the market, ","as long as people go, they will stil make them.",comparison,but,mid,"i believe they are somewhat saturating the market, but as long as people go, they will stil make them.",What do you think of all the superhero movies out now?
