arg1,arg2,relation,connective,type,original_utt,original_utt_prev
"i never really liked going into the water, ",that didn't help.,comparison,but,mid,"i never really liked going into the water, but that didn't help.",Did it make you scared to go into the water?
i was surprised ,of his experience in comedy,contingency,because,mid,i was surprised because of his experience in comedy,i thought that Jordan Peele did a great job
"at the end of the film, i was hoping that there would be a plot twist, and that the wife wasn't actually killed, ",i knew that wouldn't be the case.,comparison,but,mid,"well i guess, yeah i am. i was getting really into the lives of the two detectives, especially brad pitt's character. at the end of the film, i was hoping that there would be a plot twist, and that the wife wasn't actually killed, but i knew that wouldn't be the case.",What are you conflicted about? Are you upset that there wasn't a plot twist at the end?
"at the end of the film, i was hoping that there would be a plot twist, ","that the wife wasn't actually killed, but i knew that wouldn't be the case.",expansion,and,mid,"well i guess, yeah i am. i was getting really into the lives of the two detectives, especially brad pitt's character. at the end of the film, i was hoping that there would be a plot twist, and that the wife wasn't actually killed, but i knew that wouldn't be the case.",What are you conflicted about? Are you upset that there wasn't a plot twist at the end?
help me understand ,i'm not entirely sure why things happened the way they did in the movie.,contingency,because,mid,can you eleborate on that? help me understand because i'm not entirely sure why things happened the way they did in the movie.,It's a fantastic ending. Idealism is corrupted and proved almost as irrational as psychosis.
"it's actually pretty simple, brad pitt proves kevin spacey right, ","morgan freeman rededicates himself to justice, so maybe he was wrong too.",comparison,but,mid,"it's actually pretty simple, brad pitt proves kevin spacey right, but morgan freeman rededicates himself to justice, so maybe he was wrong too. i suppose the point is that anyone can succumb to dark impulses, not just someone who is insane.",Can you eleborate on that? Help me understand because I'm not entirely sure why things happened the way they did in the movie.
"keep it simple, the only reason this is sticking out in your mind is ",there isn't a solution.,contingency,because,mid,"you're thinking way too much into the script. keep it simple, the only reason this is sticking out in your mind is because there isn't a solution.","Ok what is seemed like Kevin Spacey's character was almost punishing Brad Pitt for a Sin that he was going to commit in the future, which I think sort of plays against his ""holy"" reasoning for the murders he committed."
brad pitt faces a choice between a vengeance that is literally nothing ,"wrath, or a moral high ground that still feels like failure.",comparison,but,mid,"brad pitt faces a choice between a vengeance that is literally nothing but wrath, or a moral high ground that still feels like failure. the way pitt performed that scene i believed that though he understood this choice, he could only kill kevin spacey and not himself.",Why didn't Brad Pitt just kill himself at the end?
yeah it takes awhile ,he does find out she was faking the whole incidnet,comparison,but,mid,yeah it takes awhile but he does find out she was faking the whole incidnet,does he end up finding her?
"thats funny, ",i can see why,comparison,but,mid,"thats funny, but i can see why","And that shower scene, I still hate taking a shower with a curtain"
turns out he was just having a meltdown ,he went right back to his old self.,comparison,but,mid,turns out he was just having a meltdown but he went right back to his old self.,"At one point I did, when he was confessing."
"yeah, that was awesome.",my favorite part is when the velociraptors are chasing people around in buildings.,comparison,but,begin,"yeah, that was awesome. but my favorite part is when the velociraptors are chasing people around in buildings.",It definitely is. Do you remember the part where the T-Rex eats the guy who was in the bathroom?
"it is, ",because everything that is normal in rosemary's world slowly becomes strange an ominous.,comparison,but,mid,"it is, but because everything that is normal in rosemary's world slowly becomes strange an ominous.",So it's not scary?
"it is, but ",everything that is normal in rosemary's world slowly becomes strange an ominous.,contingency,because,mid,"it is, but because everything that is normal in rosemary's world slowly becomes strange an ominous.",So it's not scary?
"have actually only seen the remake, ",the great robert de niro is ultra creepy in it.,comparison,but,mid,"have actually only seen the remake, but the great robert de niro is ultra creepy in it.",The original it the remake?
"no i also haven't seen the original, ",have been wanting to.,comparison,but,mid,"no i also haven't seen the original, but have been wanting to.",Have you seen the original?
