arg1,arg2,relation,connective,type,original_utt,original_utt_prev,arg1_dialogue_act,arg2_dialogue_act,arg1_special_dialogue_act,arg2_special_dialogue_act,arg1_sentiment,arg2_sentiment,arg1_gnode_entities,arg2_gnode_entities,arg1_topic,arg2_topic,arg1_cobot_topics,arg2_cobot_topics,arg1_cobot_topics_process,arg2_cobot_topics_process,arg1_flow_topics,arg2_flow_topics,arg1_intents,arg2_intents,arg1_signature,arg2_signature,arg1_actors,arg2_actors,arg1_gkg_entities,arg2_gkg_entities,arg1_gkg_keywords,arg2_gkg_keywords,arg1_gkg_etype_list,arg2_gkg_etype_list,arg1_non_ambiguous_named_entity_person,arg2_non_ambiguous_named_entity_person
"he wasn't quite as good as he was for the bulls, ",he still had some of his game.,comparison,but,mid,"he wasn't quite as good as he was for the bulls, but he still had some of his game.","Yes, I remember that!",Statement,Statement,None,None,"('Negative', 1.0)","('Neutral', 1.0)","[('Book', 239.77536800000001, ""The Bull's Hour"")]","[('MusicRecording', 253.8771865, 'His Game')]",['sport'],['sport'],['Literature'],['Games'],None,None,[],[],[],[],None,None,"[{'name': 'the bulls', 'id': 2626, 'status': None, 'engaged': [], 'lexeme': 'the bulls', 'alias': ['the bulls'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f8061e3f160>}, 'gkg': 'kg:/m/08dfs2', 'granular_actor_types': {'animal': 0.2564102564102564, 'organism': 0.20512820512820512, 'object': 0.05128205128205128}, 'granular_entity_types': {'novel by ivan yefremov': 1}, 'gkg_name': ""The Bull's Hour"", 'gkg_type': ['Book']}, {'name': 'got away with', 'id': 2625, 'status': None, 'engaged': [], 'lexeme': 'got away with', 'alias': ['got away with'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f805f0c09e8>}, 'gkg': 'kg:/m/0h7lxln', 'granular_actor_types': {}, 'granular_entity_types': {'american television series': 1}, 'gkg_name': 'I (Almost) Got Away With It', 'gkg_type': ['TVSeries']}]","[{'name': 'game', 'id': 1015, 'status': None, 'engaged': [], 'lexeme': 'game', 'alias': ['game', 'these conference', 'games'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f8061ac06a0>}, 'gkg': 'kg:/m/03b61y', 'granular_actor_types': {'act': 0.45454545454545453, 'event': 0.36363636363636365}, 'granular_entity_types': {}, 'gkg_name': 'Game', 'gkg_type': ['Thing']}, {'name': 'the bulls', 'id': 2626, 'status': None, 'engaged': [], 'lexeme': 'the bulls', 'alias': ['the bulls'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f8061e3f160>}, 'gkg': 'kg:/m/08dfs2', 'granular_actor_types': {'animal': 0.2564102564102564, 'organism': 0.20512820512820512, 'object': 0.05128205128205128}, 'granular_entity_types': {'novel by ivan yefremov': 1}, 'gkg_name': ""The Bull's Hour"", 'gkg_type': ['Book']}]",The Bull's Hour,His Game,,,"[('Book', 239.77536800000001, ""The Bull's Hour"")]","[('MusicRecording', 253.8771865, 'His Game')]",True,True
i hate to say it ,i think cleveland will sweep.,comparison,but,mid,i hate to say it but i think cleveland will sweep.,That was their best shot and unfortunately they blew it.,Statement,Statement,None,None,"('Neutral', 1.0)","('Neutral', 1.0)","[('MusicRecording', 827.8235000000001, 'I Hate to Say It'), ('Thing', 610.7115, 'Say It')]","[('City', 159.374, 'Cleveland')]",['business'],['sport'],['Phatic'],['Sports'],None,None,[],[],['opinion_provide_neg_patterns_say'],[],None,None,"[{'name': 'i hate to', 'id': 2118, 'status': None, 'engaged': [], 'lexeme': 'i hate to', 'alias': ['i hate to'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f805fcc42e8>}, 'gkg': 'kg:/m/012f8yfs', 'granular_actor_types': {}, 'granular_entity_types': {'song by saseline sørensen': 1}, 'gkg_name': 'I Hate to Say It', 'gkg_type': ['MusicRecording']}, {'name': 'say', 'id': 2119, 'status': None, 'engaged': [], 'lexeme': 'say', 'alias': ['say'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f805fd79a90>}, 'gkg': 'kg:/g/11bvvygzby', 'granular_actor_types': {}, 'granular_entity_types': {'song by tory lanez': 1}, 'gkg_name': 'Say It', 'gkg_type': ['Thing']}, {'name': 'game', 'id': 1015, 'status': None, 'engaged': [], 'lexeme': 'game', 'alias': ['game', 'these conference', 'games'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f8061ac06a0>}, 'gkg': 'kg:/m/03b61y', 'granular_actor_types': {'act': 0.45454545454545453, 'event': 0.36363636363636365}, 'granular_entity_types': {}, 'gkg_name': 'Game', 'gkg_type': ['Thing']}]","[{'name': None, 'id': 2627, 'status': None, 'engaged': [], 'lexeme': None, 'alias': ['sweep'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f8061d73e80>}, 'gkg': None, 'granular_actor_types': {}, 'granular_entity_types': {}}, {'name': 'cleveland', 'id': 1541, 'status': None, 'engaged': [], 'lexeme': 'cleveland', 'alias': ['cleveland'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f8060806208>}, 'gkg': 'kg:/m/01sn3', 'granular_actor_types': {'region': 0.2777777777777778, 'location': 0.2222222222222222, 'object': 0.1111111111111111}, 'granular_entity_types': {'city in ohio': 1}, 'gkg_name': 'Cleveland', 'gkg_type': ['Thing', 'Place', 'City', 'AdministrativeArea']}, {'name': 'i hate to', 'id': 2118, 'status': None, 'engaged': [], 'lexeme': 'i hate to', 'alias': ['i hate to'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f805fcc42e8>}, 'gkg': 'kg:/m/012f8yfs', 'granular_actor_types': {}, 'granular_entity_types': {'song by saseline sørensen': 1}, 'gkg_name': 'I Hate to Say It', 'gkg_type': ['MusicRecording']}, {'name': 'say', 'id': 2119, 'status': None, 'engaged': [], 'lexeme': 'say', 'alias': ['say'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f805fd79a90>}, 'gkg': 'kg:/g/11bvvygzby', 'granular_actor_types': {}, 'granular_entity_types': {'song by tory lanez': 1}, 'gkg_name': 'Say It', 'gkg_type': ['Thing']}]","Say It, I Hate to Say It",Cleveland,,sweep,"[('MusicRecording', 827.8235000000001, 'I Hate to Say It'), ('Thing', 610.7115, 'Say It')]","[('City', 159.374, 'Cleveland')]",True,True
i believe these guys are professionals and have great control ,in the same sense they are human.,comparison,but,mid,i believe these guys are professionals and have great control but in the same sense they are human.,"I agree, it was pretty phenomenal.  Do you think the pitcher hit him on purpose?",Clarify,Reject,None,None,"('Positive', 1.0)","('Neutral', 1.0)","[('Movie', 271.68575, 'These Guys')]",[],['sport'],['politics'],['Other'],['Phatic'],None,None,[],[],[],[],None,None,"[{'name': None, 'id': 2628, 'status': None, 'engaged': [], 'lexeme': None, 'alias': ['professionals'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f8060903f98>}, 'gkg': None, 'granular_actor_types': {'person': 0.3333333333333333}, 'granular_entity_types': {}}, {'name': 'these guys', 'id': 1058, 'status': None, 'engaged': [], 'lexeme': 'these guys', 'alias': ['these guys'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f8061347400>}, 'gkg': 'kg:/m/0dm688_', 'granular_actor_types': {'person': 0.2631578947368421}, 'granular_entity_types': {'2003 film': 1}, 'gkg_name': 'These Guys', 'gkg_type': ['Movie']}, {'name': None, 'id': 1740, 'status': None, 'engaged': [], 'lexeme': None, 'alias': ['control'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f805fe60b38>}, 'gkg': None, 'granular_actor_types': {}, 'granular_entity_types': {}}, {'name': None, 'id': 2627, 'status': None, 'engaged': [], 'lexeme': None, 'alias': ['sweep'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f8061d73e80>}, 'gkg': None, 'granular_actor_types': {}, 'granular_entity_types': {}}, {'name': 'cleveland', 'id': 1541, 'status': None, 'engaged': [], 'lexeme': 'cleveland', 'alias': ['cleveland'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f8060806208>}, 'gkg': 'kg:/m/01sn3', 'granular_actor_types': {'region': 0.2777777777777778, 'location': 0.2222222222222222, 'object': 0.1111111111111111}, 'granular_entity_types': {'city in ohio': 1}, 'gkg_name': 'Cleveland', 'gkg_type': ['Thing', 'Place', 'City', 'AdministrativeArea']}]","[{'name': None, 'id': 847, 'status': None, 'engaged': [], 'lexeme': None, 'alias': ['sense'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f8060f8ad68>}, 'gkg': None, 'granular_actor_types': {}, 'granular_entity_types': {}}, {'name': None, 'id': 2628, 'status': None, 'engaged': [], 'lexeme': None, 'alias': ['professionals'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f8060903f98>}, 'gkg': None, 'granular_actor_types': {'person': 0.3333333333333333}, 'granular_entity_types': {}}, {'name': 'these guys', 'id': 1058, 'status': None, 'engaged': [], 'lexeme': 'these guys', 'alias': ['these guys'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f8061347400>}, 'gkg': 'kg:/m/0dm688_', 'granular_actor_types': {'person': 0.2631578947368421}, 'granular_entity_types': {'2003 film': 1}, 'gkg_name': 'These Guys', 'gkg_type': ['Movie']}, {'name': None, 'id': 1740, 'status': None, 'engaged': [], 'lexeme': None, 'alias': ['control'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f805fe60b38>}, 'gkg': None, 'granular_actor_types': {}, 'granular_entity_types': {}}]",These Guys,,"professionals, control",sense,"[('Movie', 271.68575, 'These Guys')]",[],True,True
"yes, humans make errors ",something in my gut says it was on purpose.,comparison,but,mid,"yes, humans make errors but something in my gut says it was on purpose.",I believe these guys are professionals and have great control but in the same sense they are human.,yAnswer,Statement,None,None,"('Neutral', 1.0)","('Negative', 1.0)",[],"[('Thing', 911.5575, 'something in'), ('Thing', 1078.222383, 'On Purpose')]",['sport'],['sport'],['SciTech'],['Religion'],None,None,[],[],[],[],None,None,"[{'name': 'human', 'id': 741, 'status': None, 'engaged': [], 'lexeme': 'human', 'alias': ['human', 'humans'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f80614bb588>}, 'gkg': 'kg:/m/04gqb4k', 'granular_actor_types': {'animal': 0.3225806451612903, 'organism': 0.25806451612903225, 'object': 0.06451612903225806}, 'granular_entity_types': {'studio album by brandy': 1}, 'gkg_name': 'Human', 'gkg_type': ['MusicAlbum']}, {'name': None, 'id': 2629, 'status': None, 'engaged': [], 'lexeme': None, 'alias': ['error'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f805f95dc18>}, 'gkg': None, 'granular_actor_types': {'act': 0.35714285714285715, 'event': 0.2857142857142857}, 'granular_entity_types': {}}, {'name': None, 'id': 847, 'status': None, 'engaged': [], 'lexeme': None, 'alias': ['sense'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f8060f8ad68>}, 'gkg': None, 'granular_actor_types': {}, 'granular_entity_types': {}}]","[{'name': 'something in', 'id': 2630, 'status': None, 'engaged': [], 'lexeme': 'something in', 'alias': ['something in'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f8060ec7e80>}, 'gkg': 'kg:/g/1s05mp231', 'granular_actor_types': {}, 'granular_entity_types': {'song by bell biv devoe': 1}, 'gkg_name': 'something in', 'gkg_type': ['Thing']}, {'name': 'on purpose', 'id': 2631, 'status': None, 'engaged': [], 'lexeme': 'on purpose', 'alias': ['on purpose'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f805f827ac8>}, 'gkg': 'kg:/g/11c0xkkqxz', 'granular_actor_types': {}, 'granular_entity_types': {'song by sabrina carpenter': 1}, 'gkg_name': 'On Purpose', 'gkg_type': ['Thing']}, {'name': 'human', 'id': 741, 'status': None, 'engaged': [], 'lexeme': 'human', 'alias': ['human', 'humans'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f80614bb588>}, 'gkg': 'kg:/m/04gqb4k', 'granular_actor_types': {'animal': 0.3225806451612903, 'organism': 0.25806451612903225, 'object': 0.06451612903225806}, 'granular_entity_types': {'studio album by brandy': 1}, 'gkg_name': 'Human', 'gkg_type': ['MusicAlbum']}, {'name': None, 'id': 2629, 'status': None, 'engaged': [], 'lexeme': None, 'alias': ['error'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f805f95dc18>}, 'gkg': None, 'granular_actor_types': {'act': 0.35714285714285715, 'event': 0.2857142857142857}, 'granular_entity_types': {}}]",,"something in, On Purpose",error,,[],"[('Thing', 911.5575, 'something in'), ('Thing', 1078.222383, 'On Purpose')]",True,True
i would have to say cal ripkin ,i grew up watching him play for the orioles.,contingency,because,mid,i would have to say cal ripkin because i grew up watching him play for the orioles.  man could that boy play some ball.,"You know, I don't have to go back that far to say Derek Jieter.  Who is your all time favorite baseball player?",Statement,Reject,None,None,"('Neutral', 1.0)","('Neutral', 1.0)",[],"[('MusicGroup', 580.41375, 'The Orioles')]",['politics'],['sport'],['SciTech'],['Sports'],None,None,[],[],[],[],None,None,"[{'name': None, 'id': 2632, 'status': None, 'engaged': [], 'lexeme': None, 'alias': ['ripkin'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f8060c81908>}, 'gkg': None, 'granular_actor_types': {}, 'granular_entity_types': {}}, {'name': 'something in', 'id': 2630, 'status': None, 'engaged': [], 'lexeme': 'something in', 'alias': ['something in'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f8060ec7e80>}, 'gkg': 'kg:/g/1s05mp231', 'granular_actor_types': {}, 'granular_entity_types': {'song by bell biv devoe': 1}, 'gkg_name': 'something in', 'gkg_type': ['Thing']}, {'name': 'on purpose', 'id': 2631, 'status': None, 'engaged': [], 'lexeme': 'on purpose', 'alias': ['on purpose'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f805f827ac8>}, 'gkg': 'kg:/g/11c0xkkqxz', 'granular_actor_types': {}, 'granular_entity_types': {'song by sabrina carpenter': 1}, 'gkg_name': 'On Purpose', 'gkg_type': ['Thing']}]","[{'name': 'the orioles', 'id': 2157, 'status': None, 'engaged': [], 'lexeme': 'the orioles', 'alias': ['the orioles'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f805ffa1ba8>}, 'gkg': 'kg:/m/01p31g1', 'granular_actor_types': {'animal': 0.38461538461538464, 'organism': 0.3076923076923077, 'object': 0.07692307692307693}, 'granular_entity_types': {'r&amp;b group': 1}, 'gkg_name': 'The Orioles', 'gkg_type': ['MusicGroup']}, {'name': None, 'id': 2632, 'status': None, 'engaged': [], 'lexeme': None, 'alias': ['ripkin'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f8060c81908>}, 'gkg': None, 'granular_actor_types': {}, 'granular_entity_types': {}}]",,The Orioles,ripkin,,[],"[('MusicGroup', 580.41375, 'The Orioles')]",True,True
i really enjoyed watching ripkin play ,i truly loved when earl weaver was their coach.,comparison,but,mid,i really enjoyed watching ripkin play but i truly loved when earl weaver was their coach.,I would have to say Cal Ripkin because I grew up watching him play for the Orioles.  Man could that boy play some ball.,Reject,Statement,None,None,"('Positive', 1.0)","('Positive', 1.0)",[],"[('Person', 1039.445678, 'Earl Weaver')]",['sport'],['sport'],['Phatic'],['Movies_TV'],None,None,[],[],[],[],None,None,"[{'name': 'play', 'id': 126, 'status': None, 'engaged': [], 'lexeme': 'play', 'alias': ['play'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f8064788198>}, 'gkg': None, 'granular_actor_types': {'communication': 0.2}, 'granular_entity_types': {}}, {'name': 'the orioles', 'id': 2157, 'status': None, 'engaged': [], 'lexeme': 'the orioles', 'alias': ['the orioles'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f805ffa1ba8>}, 'gkg': 'kg:/m/01p31g1', 'granular_actor_types': {'animal': 0.38461538461538464, 'organism': 0.3076923076923077, 'object': 0.07692307692307693}, 'granular_entity_types': {'r&amp;b group': 1}, 'gkg_name': 'The Orioles', 'gkg_type': ['MusicGroup']}]","[{'name': 'earl weaver', 'id': 2633, 'status': None, 'engaged': [], 'lexeme': 'earl weaver', 'alias': ['earl weaver'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f805ed59ba8>}, 'gkg': 'kg:/m/02f0kn', 'granular_actor_types': {}, 'granular_entity_types': {'american professional baseball player': 1}, 'gkg_name': 'Earl Weaver', 'gkg_type': ['Person']}, {'name': 'play', 'id': 126, 'status': None, 'engaged': [], 'lexeme': 'play', 'alias': ['play'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f8064788198>}, 'gkg': None, 'granular_actor_types': {'communication': 0.2}, 'granular_entity_types': {}}]",,Earl Weaver,play,,[],"[('Person', 1039.445678, 'Earl Weaver')]",True,True
i don't know ,thats a great comparison by calipari.,comparison,but,mid,i don't know but thats a great comparison by calipari.,Do you think De'Aaron Fox will be better than John Wall?,Statement,Statement,None,None,"('Neutral', 1.0)","('Positive', 1.0)",[],[],['sport'],['sport'],['Phatic'],['Literature'],None,None,[],[],[],[],None,None,"[{'name': 'earl weaver', 'id': 2633, 'status': None, 'engaged': [], 'lexeme': 'earl weaver', 'alias': ['earl weaver'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f805ed59ba8>}, 'gkg': 'kg:/m/02f0kn', 'granular_actor_types': {}, 'granular_entity_types': {'american professional baseball player': 1}, 'gkg_name': 'Earl Weaver', 'gkg_type': ['Person']}]","[{'name': None, 'id': 2634, 'status': None, 'engaged': [], 'lexeme': None, 'alias': ['comparison by calipari'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f805f0c0630>}, 'gkg': None, 'granular_actor_types': {}, 'granular_entity_types': {}}]",,,,comparison by calipari,[],[],True,True
"it's possible, ",i don't think it's likely.,comparison,but,mid,"it's possible, but i don't think it's likely.",Do you think either the Cavs or Warriors will go 16-0 during this postseason?,Statement,Statement,None,None,"('Positive', 1.0)","('Neutral', 1.0)","[('Thing', 178.73723999999999, 'Dream It Possible')]",[],['business'],['sport'],['Phatic'],['Travel_Geo'],None,None,[],[],[],[],None,None,"[{'name': 'possible', 'id': 2635, 'status': None, 'engaged': [], 'lexeme': 'possible', 'alias': ['possible'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f805eddccc0>}, 'gkg': 'kg:/g/11cnpdrcpp', 'granular_actor_types': {}, 'granular_entity_types': {'song by jane zhang': 1}, 'gkg_name': 'Dream It Possible', 'gkg_type': ['Thing']}, {'name': None, 'id': 2634, 'status': None, 'engaged': [], 'lexeme': None, 'alias': ['comparison by calipari'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f805f0c0630>}, 'gkg': None, 'granular_actor_types': {}, 'granular_entity_types': {}}]","[{'name': 'possible', 'id': 2635, 'status': None, 'engaged': [], 'lexeme': 'possible', 'alias': ['possible'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f805eddccc0>}, 'gkg': 'kg:/g/11cnpdrcpp', 'granular_actor_types': {}, 'granular_entity_types': {'song by jane zhang': 1}, 'gkg_name': 'Dream It Possible', 'gkg_type': ['Thing']}]",Dream It Possible,,,,"[('Thing', 178.73723999999999, 'Dream It Possible')]",[],True,True
"i don't, either.",", if you had to choose one of the two to go undefeated, who would it be?",comparison,but,begin,"i don't, either. but, if you had to choose one of the two to go undefeated, who would it be?","It's possible, but I don't think it's likely.",Reject,Statement,None,None,"('Neutral', 1.0)","('Neutral', 1.0)",[],"[('TVSeries', 313.254375, 'The Two Ronnies')]",['sport'],['sport'],['Phatic'],['Politics'],None,None,[],[],[],[],None,None,[],"[{'name': None, 'id': 2636, 'status': None, 'engaged': [], 'lexeme': None, 'alias': ['one of'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f805ecc6908>}, 'gkg': None, 'granular_actor_types': {}, 'granular_entity_types': {}}, {'name': 'the two', 'id': 913, 'status': None, 'engaged': [], 'lexeme': 'the two', 'alias': ['the two'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f8060e1edd8>}, 'gkg': 'kg:/m/024m0_', 'granular_actor_types': {}, 'granular_entity_types': {'television show': 1}, 'gkg_name': 'The Two Ronnies', 'gkg_type': ['TVSeries']}]",,The Two Ronnies,,one of,[],"[('TVSeries', 313.254375, 'The Two Ronnies')]",True,True
"i don't think either team will go undefeated, ",the warriors do have durrant.,comparison,but,mid,"don't get me wrong. i don't think either team will go undefeated, but the warriors do have durrant.",Even with LeBron James playing as well as he has been?,Reject,Statement,None,None,"('Neutral', 1.0)","('Negative', 1.0)",[],"[('Movie', 936.68183875, 'The Warriors')]",['sport'],['sport'],['Sports'],['Sports'],None,None,[],[],[],[],None,None,"[{'name': None, 'id': 2637, 'status': None, 'engaged': [], 'lexeme': None, 'alias': ['either team'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f805edceb38>}, 'gkg': None, 'granular_actor_types': {}, 'granular_entity_types': {}}, {'name': None, 'id': 2636, 'status': None, 'engaged': [], 'lexeme': None, 'alias': ['one of'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f805ecc6908>}, 'gkg': None, 'granular_actor_types': {}, 'granular_entity_types': {}}, {'name': 'the two', 'id': 913, 'status': None, 'engaged': [], 'lexeme': 'the two', 'alias': ['the two'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f8060e1edd8>}, 'gkg': 'kg:/m/024m0_', 'granular_actor_types': {}, 'granular_entity_types': {'television show': 1}, 'gkg_name': 'The Two Ronnies', 'gkg_type': ['TVSeries']}]","[{'name': 'the warriors', 'id': 2638, 'status': None, 'engaged': [], 'lexeme': 'the warriors', 'alias': ['the warriors'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f805f192ac8>}, 'gkg': 'kg:/m/04df4v', 'granular_actor_types': {'person': 0.4166666666666667}, 'granular_entity_types': {'1979 film': 1}, 'gkg_name': 'The Warriors', 'gkg_type': ['Movie']}, {'name': None, 'id': 2639, 'status': None, 'engaged': [], 'lexeme': None, 'alias': ['durrant'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f805ed8e390>}, 'gkg': None, 'granular_actor_types': {}, 'granular_entity_types': {}}, {'name': None, 'id': 2637, 'status': None, 'engaged': [], 'lexeme': None, 'alias': ['either team'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f805edceb38>}, 'gkg': None, 'granular_actor_types': {}, 'granular_entity_types': {}}]",,The Warriors,either team,durrant,[],"[('Movie', 936.68183875, 'The Warriors')]",True,True
