arg1,arg2,relation,connective,type,original_utt,original_utt_prev,arg1_dialogue_act,arg2_dialogue_act,arg1_special_dialogue_act,arg2_special_dialogue_act,arg1_sentiment,arg2_sentiment,arg1_gnode_entities,arg2_gnode_entities,arg1_topic,arg2_topic,arg1_cobot_topics,arg2_cobot_topics,arg1_cobot_topics_process,arg2_cobot_topics_process,arg1_flow_topics,arg2_flow_topics,arg1_intents,arg2_intents,arg1_signature,arg2_signature,arg1_actors,arg2_actors,arg1_gkg_entities,arg2_gkg_entities,arg1_gkg_keywords,arg2_gkg_keywords,arg1_gkg_etype_list,arg2_gkg_etype_list,arg1_non_ambiguous_named_entity_person,arg2_non_ambiguous_named_entity_person
"haha, you're funny, ","it's kinda true, the movie series has been fast and furious",comparison,but,mid,"haha, you're funny, but it's kinda true, the movie series has been fast and furious","Well, I think it's fast and furious",Reject,Clarify,None,None,"('Positive', 1.0)","('Positive', 1.0)",[],[],['sport'],['entertainment'],['Phatic'],['Movies_TV'],None,None,[],['movie'],[],[],None,None,"[{'name': None, 'id': 340, 'status': None, 'engaged': [], 'lexeme': None, 'alias': ['haha'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f23b33de1d0>}, 'gkg': None, 'granular_actor_types': {}, 'granular_entity_types': {}}]","[{'name': None, 'id': 341, 'status': None, 'engaged': [], 'lexeme': None, 'alias': ['kinda'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f23abbd6cf8>}, 'gkg': None, 'granular_actor_types': {}, 'granular_entity_types': {}}, {'name': None, 'id': 342, 'status': None, 'engaged': [], 'lexeme': None, 'alias': ['the movie series'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f23cce65518>}, 'gkg': None, 'granular_actor_types': {}, 'granular_entity_types': {}}, {'name': None, 'id': 340, 'status': None, 'engaged': [], 'lexeme': None, 'alias': ['haha'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f23b33de1d0>}, 'gkg': None, 'granular_actor_types': {}, 'granular_entity_types': {}}]",,,haha,"kinda, the movie series",[],[],True,True
"i don't consider myself a car fan, ",i'm visually stunned by those crazy effects,comparison,but,mid,"i don't consider myself a car fan, but i'm visually stunned by those crazy effects",indeed. All the car fans must be having an orgasm when watching the movies,Reject,Statement,None,None,"('Neutral', 1.0)","('Positive', 1.0)",[],[],['business'],['business'],['SciTech'],['Psychology'],None,None,[],[],[],[],None,None,"[{'name': None, 'id': 343, 'status': None, 'engaged': [], 'lexeme': None, 'alias': ['a car fan'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f23b33d1160>}, 'gkg': None, 'granular_actor_types': {}, 'granular_entity_types': {}}, {'name': None, 'id': 341, 'status': None, 'engaged': [], 'lexeme': None, 'alias': ['kinda'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f23abbd6cf8>}, 'gkg': None, 'granular_actor_types': {}, 'granular_entity_types': {}}, {'name': None, 'id': 342, 'status': None, 'engaged': [], 'lexeme': None, 'alias': ['the movie series'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f23cce65518>}, 'gkg': None, 'granular_actor_types': {}, 'granular_entity_types': {}}]","[{'name': None, 'id': 344, 'status': None, 'engaged': [], 'lexeme': None, 'alias': ['effect'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f23abc650b8>}, 'gkg': None, 'granular_actor_types': {'event': 0.75, 'phenomenon': 0.3333333333333333}, 'granular_entity_types': {}}, {'name': None, 'id': 343, 'status': None, 'engaged': [], 'lexeme': None, 'alias': ['a car fan'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f23b33d1160>}, 'gkg': None, 'granular_actor_types': {}, 'granular_entity_types': {}}]",,,a car fan,effect,[],[],True,True
It's just plain dumb if you ask me.,it's super fun to watch.,comparison,but,begin,but it's super fun to watch.,They literally took street racing to global warfare. It's just plain dumb if you ask me.,Statement,Statement,None,None,"('Negative', 1.0)","('Positive', 1.0)","[('Movie', 325.79225, 'Ask Me Anything'), ('Book', 859.1765, 'If you ask me')]","[('TVSeries', 343.605377, 'Super Fun Night')]",['sport'],['entertainment'],['Travel_Geo'],['Phatic'],None,None,[],[],[],[],None,None,"[{'name': None, 'id': 345, 'status': None, 'engaged': [], 'lexeme': None, 'alias': ['if ask'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f23abcba128>}, 'gkg': 'kg:/m/0c1t2l5', 'granular_actor_types': {}, 'granular_entity_types': {'book by eleanor roosevelt': 1}, 'gkg_name': 'If you ask me', 'gkg_type': ['Book']}, {'name': None, 'id': 344, 'status': None, 'engaged': [], 'lexeme': None, 'alias': ['effect'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f23abc650b8>}, 'gkg': None, 'granular_actor_types': {'event': 0.75, 'phenomenon': 0.3333333333333333}, 'granular_entity_types': {}}]","[{'name': 'super fun', 'id': 346, 'status': None, 'engaged': [], 'lexeme': 'super fun', 'alias': ['super fun'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f23abc1ebe0>}, 'gkg': 'kg:/m/0k2bsd2', 'granular_actor_types': {}, 'granular_entity_types': {'american sitcom': 1}, 'gkg_name': 'Super Fun Night', 'gkg_type': ['TVSeries']}, {'name': None, 'id': 345, 'status': None, 'engaged': [], 'lexeme': None, 'alias': ['if ask'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f23abcba128>}, 'gkg': 'kg:/m/0c1t2l5', 'granular_actor_types': {}, 'granular_entity_types': {'book by eleanor roosevelt': 1}, 'gkg_name': 'If you ask me', 'gkg_type': ['Book']}]","Ask Me Anything, If you ask me",Super Fun Night,,,"[('Movie', 325.79225, 'Ask Me Anything'), ('Book', 859.1765, 'If you ask me')]","[('TVSeries', 343.605377, 'Super Fun Night')]",True,True
"i loved five, ",seven was so emotional.,comparison,but,mid,"that's a tough question to answer.  i loved five, but seven was so emotional.",What was your favorite 'Fast & Furious' movie?,nAnswer,Statement,None,None,"('Positive', 1.0)","('Neutral', 1.0)",[],[],['sport'],['sport'],['Other'],['Psychology'],None,None,[],[],['opinion_provide_pos_patterns_no:match'],[],None,None,"[{'name': 'super fun', 'id': 346, 'status': None, 'engaged': [], 'lexeme': 'super fun', 'alias': ['super fun'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f23abc1ebe0>}, 'gkg': 'kg:/m/0k2bsd2', 'granular_actor_types': {}, 'granular_entity_types': {'american sitcom': 1}, 'gkg_name': 'Super Fun Night', 'gkg_type': ['TVSeries']}]",[],,,,,[],[],True,True
"they do, ",the racing is portrayed almost like an afterthought.,comparison,but,mid,"they do, but the racing is portrayed almost like an afterthought.",They still have racing.,Statement,Statement,None,None,"('Neutral', 1.0)","('Negative', 1.0)","[('Thing', 186.627, 'What They Do')]","[('MusicGroup', 198.928023875, 'The Racing Pulses'), ('Movie', 277.0446315, 'An Afterthought')]",['sport'],['business'],['Other'],['Movies_TV'],None,None,[],[],[],[],None,None,"[{'name': 'do', 'id': 347, 'status': None, 'engaged': [], 'lexeme': 'do', 'alias': ['do'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f23a9c319e8>}, 'gkg': 'kg:/g/1q5jz92zc', 'granular_actor_types': {'event': 0.26666666666666666}, 'granular_entity_types': {'song by the roots': 1}, 'gkg_name': 'What They Do', 'gkg_type': ['Thing']}]","[{'name': 'the racing', 'id': 348, 'status': None, 'engaged': [], 'lexeme': 'the racing', 'alias': ['the racing'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f23abc081d0>}, 'gkg': 'kg:/g/11f2b2yscn', 'granular_actor_types': {'sport': 0.8, 'act': 0.3333333333333333, 'event': 0.26666666666666666}, 'granular_entity_types': {'musical group': 1}, 'gkg_name': 'The Racing Pulses', 'gkg_type': ['MusicGroup']}, {'name': 'an afterthought', 'id': 349, 'status': None, 'engaged': [], 'lexeme': 'an afterthought', 'alias': ['an afterthought'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f23a9bf1a58>}, 'gkg': 'kg:/g/11c1nbtxs2', 'granular_actor_types': {}, 'granular_entity_types': {'2016 film': 1}, 'gkg_name': 'An Afterthought', 'gkg_type': ['Movie']}, {'name': 'do', 'id': 347, 'status': None, 'engaged': [], 'lexeme': 'do', 'alias': ['do'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f23a9c319e8>}, 'gkg': 'kg:/g/1q5jz92zc', 'granular_actor_types': {'event': 0.26666666666666666}, 'granular_entity_types': {'song by the roots': 1}, 'gkg_name': 'What They Do', 'gkg_type': ['Thing']}]",What They Do,"The Racing Pulses, An Afterthought",,,"[('Thing', 186.627, 'What They Do')]","[('MusicGroup', 198.928023875, 'The Racing Pulses'), ('Movie', 277.0446315, 'An Afterthought')]",True,True
he had a schedule conflict with hercules ,got it straightened out.,comparison,but,mid,yes.  he had a schedule conflict with hercules but got it straightened out.,Is Dwayne Johnson in this?,Statement,Statement,None,None,"('Neutral', 1.0)","('Positive', 1.0)",[],"[('MusicRecording', 254.7955515, 'Straightened Out')]",['sport'],['sport'],['Literature'],['Other'],None,None,[],[],[],[],None,None,"[{'name': None, 'id': 350, 'status': None, 'engaged': [], 'lexeme': None, 'alias': ['a schedule conflict with hercules'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f23abbd6b38>}, 'gkg': None, 'granular_actor_types': {}, 'granular_entity_types': {}}, {'name': 'the racing', 'id': 348, 'status': None, 'engaged': [], 'lexeme': 'the racing', 'alias': ['the racing'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f23abc081d0>}, 'gkg': 'kg:/g/11f2b2yscn', 'granular_actor_types': {'sport': 0.8, 'act': 0.3333333333333333, 'event': 0.26666666666666666}, 'granular_entity_types': {'musical group': 1}, 'gkg_name': 'The Racing Pulses', 'gkg_type': ['MusicGroup']}, {'name': 'an afterthought', 'id': 349, 'status': None, 'engaged': [], 'lexeme': 'an afterthought', 'alias': ['an afterthought'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f23a9bf1a58>}, 'gkg': 'kg:/g/11c1nbtxs2', 'granular_actor_types': {}, 'granular_entity_types': {'2016 film': 1}, 'gkg_name': 'An Afterthought', 'gkg_type': ['Movie']}]","[{'name': 'straightened out', 'id': 351, 'status': None, 'engaged': [], 'lexeme': 'straightened out', 'alias': ['straightened out'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f23a9bcaba8>}, 'gkg': 'kg:/m/012tqj8t', 'granular_actor_types': {}, 'granular_entity_types': {'song by pax &amp; pry': 1}, 'gkg_name': 'Straightened Out', 'gkg_type': ['MusicRecording']}, {'name': None, 'id': 350, 'status': None, 'engaged': [], 'lexeme': None, 'alias': ['a schedule conflict with hercules'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f23abbd6b38>}, 'gkg': None, 'granular_actor_types': {}, 'granular_entity_types': {}}]",,Straightened Out,a schedule conflict with hercules,,[],"[('MusicRecording', 254.7955515, 'Straightened Out')]",True,True
"well, i guess you have a point, ",i thought the change of scenery was pretty cool and the cultural shift intrigued me.,comparison,but,mid,"well, i guess you have a point, but i thought the change of scenery was pretty cool and the cultural shift intrigued me.",The acting was pathetic and it just really didn't fit in with the other two. I mean come on Paul and Vin were nowhere in it and their interation made the ones before.,Statement,Statement,None,None,"('Neutral', 1.0)","('Positive', 1.0)",[],"[('Movie', 183.500336, 'Pretty Cool'), ('MusicAlbum', 344.423024, 'Change of Scenery'), ('Book', 426.1082035, 'The Change')]",['sport'],['sport'],['Phatic'],['Psychology'],None,None,[],[],[],['long_parse_time'],None,None,"[{'name': 'straightened out', 'id': 351, 'status': None, 'engaged': [], 'lexeme': 'straightened out', 'alias': ['straightened out'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f23a9bcaba8>}, 'gkg': 'kg:/m/012tqj8t', 'granular_actor_types': {}, 'granular_entity_types': {'song by pax &amp; pry': 1}, 'gkg_name': 'Straightened Out', 'gkg_type': ['MusicRecording']}]","[{'name': 'the change', 'id': 352, 'status': None, 'engaged': [], 'lexeme': 'the change', 'alias': ['the change'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f23a9bcad68>}, 'gkg': 'kg:/m/04t15w7', 'granular_actor_types': {'event': 0.3333333333333333}, 'granular_entity_types': {'book by germaine greer': 1}, 'gkg_name': 'The Change', 'gkg_type': ['Book']}, {'name': 'of scenery', 'id': 353, 'status': None, 'engaged': [], 'lexeme': 'of scenery', 'alias': ['of scenery'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f23a9bca550>}, 'gkg': 'kg:/m/0137cnd4', 'granular_actor_types': {}, 'granular_entity_types': {'album by quinn xcii': 1}, 'gkg_name': 'Change of Scenery', 'gkg_type': ['MusicAlbum']}, {'name': 'pretty cool', 'id': 354, 'status': None, 'engaged': [], 'lexeme': 'pretty cool', 'alias': ['pretty cool'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f23a9b91e10>}, 'gkg': 'kg:/m/04j1g9f', 'granular_actor_types': {}, 'granular_entity_types': {'2006 film': 1}, 'gkg_name': 'Pretty Cool', 'gkg_type': ['Movie']}, {'name': None, 'id': 355, 'status': None, 'engaged': [], 'lexeme': None, 'alias': ['shift'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f23a9bc5518>}, 'gkg': None, 'granular_actor_types': {'event': 0.25}, 'granular_entity_types': {}}]",,"Pretty Cool, Change of Scenery, The Change",,shift,[],"[('Movie', 183.500336, 'Pretty Cool'), ('MusicAlbum', 344.423024, 'Change of Scenery'), ('Book', 426.1082035, 'The Change')]",True,True
"totally, he's strong enough to be menacing ",still able to make the jokes seem realistic.,comparison,but,mid,"totally, he's strong enough to be menacing but still able to make the jokes seem realistic.",He does bring a certain level of awesome to the film.,Other,Clarify,None,None,"('Positive', 1.0)","('Positive', 1.0)",[],"[('Movie', 608.700127, 'The Jokes')]",['sport'],['sport'],['Movies_TV'],['Other'],None,None,[],['joke'],[],[],None,None,"[{'name': 'the change', 'id': 352, 'status': None, 'engaged': [], 'lexeme': 'the change', 'alias': ['the change'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f23a9bcad68>}, 'gkg': 'kg:/m/04t15w7', 'granular_actor_types': {'event': 0.3333333333333333}, 'granular_entity_types': {'book by germaine greer': 1}, 'gkg_name': 'The Change', 'gkg_type': ['Book']}, {'name': 'of scenery', 'id': 353, 'status': None, 'engaged': [], 'lexeme': 'of scenery', 'alias': ['of scenery'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f23a9bca550>}, 'gkg': 'kg:/m/0137cnd4', 'granular_actor_types': {}, 'granular_entity_types': {'album by quinn xcii': 1}, 'gkg_name': 'Change of Scenery', 'gkg_type': ['MusicAlbum']}, {'name': 'pretty cool', 'id': 354, 'status': None, 'engaged': [], 'lexeme': 'pretty cool', 'alias': ['pretty cool'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f23a9b91e10>}, 'gkg': 'kg:/m/04j1g9f', 'granular_actor_types': {}, 'granular_entity_types': {'2006 film': 1}, 'gkg_name': 'Pretty Cool', 'gkg_type': ['Movie']}, {'name': None, 'id': 355, 'status': None, 'engaged': [], 'lexeme': None, 'alias': ['shift'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f23a9bc5518>}, 'gkg': None, 'granular_actor_types': {'event': 0.25}, 'granular_entity_types': {}}]","[{'name': 'the jokes', 'id': 356, 'status': None, 'engaged': [], 'lexeme': 'the jokes', 'alias': ['the jokes'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f23a9b5c160>}, 'gkg': 'kg:/m/0cgs15t', 'granular_actor_types': {'communication': 0.16666666666666666}, 'granular_entity_types': {'2004 film': 1}, 'gkg_name': 'The Jokes', 'gkg_type': ['Movie']}]",,The Jokes,,,[],"[('Movie', 608.700127, 'The Jokes')]",True,True
the only reason i'd watch it is ,ludacris is in it.,contingency,because,mid,the only reason i'd watch it is because ludacris is in it.,It's supposed to be ridiculous. It's over the top and the corny dialogue makes it even better.,Statement,Statement,None,None,"('Neutral', 1.0)","('Neutral', 1.0)","[('Thing', 667.0425, 'The Only Reason'), ('Movie', 462.83824999999996, 'Watch It')]","[('Thing', 192.352735125, 'God Is in It')]",['sport'],['business'],['Music'],['Music'],None,None,[],[],[],[],None,None,"[{'name': 'the only reason', 'id': 357, 'status': None, 'engaged': [], 'lexeme': 'the only reason', 'alias': ['the only reason'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f23abc08908>}, 'gkg': 'kg:/g/1q5jznjpt', 'granular_actor_types': {}, 'granular_entity_types': {'song by 5 seconds of summer': 1}, 'gkg_name': 'The Only Reason', 'gkg_type': ['Thing']}, {'name': 'watch', 'id': 358, 'status': None, 'engaged': [], 'lexeme': 'watch', 'alias': ['watch'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f23a9bdb470>}, 'gkg': 'kg:/g/11f4ksdr1v', 'granular_actor_types': {'object': 0.1}, 'granular_entity_types': {'1993 film': 1}, 'gkg_name': 'Watch It', 'gkg_type': ['Movie']}, {'name': 'the jokes', 'id': 356, 'status': None, 'engaged': [], 'lexeme': 'the jokes', 'alias': ['the jokes'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f23a9b5c160>}, 'gkg': 'kg:/m/0cgs15t', 'granular_actor_types': {'communication': 0.16666666666666666}, 'granular_entity_types': {'2004 film': 1}, 'gkg_name': 'The Jokes', 'gkg_type': ['Movie']}]","[{'name': 'is in', 'id': 360, 'status': None, 'engaged': [], 'lexeme': 'is in', 'alias': ['is in'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f23a9b5cb38>}, 'gkg': 'kg:/g/1s05ylwvr', 'granular_actor_types': {}, 'granular_entity_types': {'song by point of grace': 1}, 'gkg_name': 'God Is in It', 'gkg_type': ['Thing']}, {'name': None, 'id': 359, 'status': None, 'engaged': [], 'lexeme': None, 'alias': ['ludacris'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f23a9c31518>}, 'gkg': None, 'granular_actor_types': {}, 'granular_entity_types': {}}, {'name': 'the only reason', 'id': 357, 'status': None, 'engaged': [], 'lexeme': 'the only reason', 'alias': ['the only reason'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f23abc08908>}, 'gkg': 'kg:/g/1q5jznjpt', 'granular_actor_types': {}, 'granular_entity_types': {'song by 5 seconds of summer': 1}, 'gkg_name': 'The Only Reason', 'gkg_type': ['Thing']}, {'name': 'watch', 'id': 358, 'status': None, 'engaged': [], 'lexeme': 'watch', 'alias': ['watch'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f23a9bdb470>}, 'gkg': 'kg:/g/11f4ksdr1v', 'granular_actor_types': {'object': 0.1}, 'granular_entity_types': {'1993 film': 1}, 'gkg_name': 'Watch It', 'gkg_type': ['Movie']}]","Watch It, The Only Reason",God Is in It,,ludacris,"[('Thing', 667.0425, 'The Only Reason'), ('Movie', 462.83824999999996, 'Watch It')]","[('Thing', 192.352735125, 'God Is in It')]",True,True
"i'll remember that, ",don't get your hopes up.,comparison,but,mid,"i'll remember that, but don't get your hopes up.",I highly recommend 2 Fast 2 Furious. That's the funniest one by far.,Statement,Reject,None,None,"('Positive', 1.0)","('Negative', 1.0)",[],"[('Thing', 1444.5375000000001, 'Get Your Hopes Up')]",['sport'],['business'],['Music'],['Music'],None,None,[],[],[],[],None,None,"[{'name': 'is in', 'id': 360, 'status': None, 'engaged': [], 'lexeme': 'is in', 'alias': ['is in'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f23a9b5cb38>}, 'gkg': 'kg:/g/1s05ylwvr', 'granular_actor_types': {}, 'granular_entity_types': {'song by point of grace': 1}, 'gkg_name': 'God Is in It', 'gkg_type': ['Thing']}, {'name': None, 'id': 359, 'status': None, 'engaged': [], 'lexeme': None, 'alias': ['ludacris'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f23a9c31518>}, 'gkg': None, 'granular_actor_types': {}, 'granular_entity_types': {}}]","[{'name': 'get hopes up', 'id': 361, 'status': None, 'engaged': [], 'lexeme': 'get hopes up', 'alias': ['get hopes up'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f23a9ad2128>}, 'gkg': 'kg:/g/11dfgsbzqp', 'granular_actor_types': {}, 'granular_entity_types': {'song by josh baldwin': 1}, 'gkg_name': 'Get Your Hopes Up', 'gkg_type': ['Thing']}]",,Get Your Hopes Up,,,[],"[('Thing', 1444.5375000000001, 'Get Your Hopes Up')]",True,True
