arg1,arg2,relation,connective,type,original_utt,original_utt_prev,arg1_dialogue_act,arg2_dialogue_act,arg1_special_dialogue_act,arg2_special_dialogue_act,arg1_sentiment,arg2_sentiment,arg1_gnode_entities,arg2_gnode_entities,arg1_topic,arg2_topic,arg1_cobot_topics,arg2_cobot_topics,arg1_cobot_topics_process,arg2_cobot_topics_process,arg1_flow_topics,arg2_flow_topics,arg1_intents,arg2_intents,arg1_signature,arg2_signature,arg1_actors,arg2_actors,arg1_gkg_entities,arg2_gkg_entities,arg1_gkg_keywords,arg2_gkg_keywords,arg1_gkg_etype_list,arg2_gkg_etype_list,arg1_non_ambiguous_named_entity_person,arg2_non_ambiguous_named_entity_person
all of them are perfect ,i'm going to have to say either the fame or the fame monster.,comparison,but,mid,oh wow. all of them are perfect but i'm going to have to say either the fame or the fame monster.,What is your favorite album by Lady Gaga?,Emphasis,Reject,None,None,"('Positive', 1.0)","('Neutral', 1.0)","[('Thing', 152.54225, 'We Are Perfect'), ('Thing', 601.88625, 'All of Them')]","[('MusicAlbum', 1020.02725, 'The Fame Monster')]",['entertainment'],['business'],['Other'],['Sports'],None,None,[],['monster'],[],[],None,None,"[{'name': 'all of', 'id': 710, 'status': None, 'engaged': [], 'lexeme': 'all of', 'alias': ['all of'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f23a8f9b8d0>}, 'gkg': 'kg:/g/11c6v_qldh', 'granular_actor_types': {}, 'granular_entity_types': {'song by young dolph': 1}, 'gkg_name': 'All of Them', 'gkg_type': ['Thing']}, {'name': 'are perfect', 'id': 2089, 'status': None, 'engaged': [], 'lexeme': 'are perfect', 'alias': ['are perfect'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f23a7fa7588>}, 'gkg': 'kg:/g/1q5jhrwl3', 'granular_actor_types': {}, 'granular_entity_types': {'song by cristian marchi': 1}, 'gkg_name': 'We Are Perfect', 'gkg_type': ['Thing']}, {'name': None, 'id': 1850, 'status': None, 'engaged': [], 'lexeme': None, 'alias': ['other', 'others'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f23a7938f98>}, 'gkg': None, 'granular_actor_types': {}, 'granular_entity_types': {}}, {'name': None, 'id': 2087, 'status': None, 'engaged': [], 'lexeme': None, 'alias': ['max'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f23a738ebe0>}, 'gkg': None, 'granular_actor_types': {}, 'granular_entity_types': {}}, {'name': 'be okay', 'id': 2088, 'status': None, 'engaged': [], 'lexeme': 'be okay', 'alias': ['be okay'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f23a732b438>}, 'gkg': 'kg:/g/11b6gfmwp2', 'granular_actor_types': {}, 'granular_entity_types': {'song by oh honey': 1}, 'gkg_name': 'Be Okay', 'gkg_type': ['Thing']}]","[{'name': 'the fame', 'id': 2090, 'status': None, 'engaged': [], 'lexeme': 'the fame', 'alias': ['the fame'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f23a956b198>}, 'gkg': 'kg:/m/09gd42w', 'granular_actor_types': {}, 'granular_entity_types': {'studio album by lady gaga': 1}, 'gkg_name': 'The Fame Monster', 'gkg_type': ['MusicAlbum']}, {'name': None, 'id': 2091, 'status': None, 'engaged': [], 'lexeme': None, 'alias': ['monster'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f23a90f2e80>}, 'gkg': None, 'granular_actor_types': {}, 'granular_entity_types': {}}, {'name': 'all of', 'id': 710, 'status': None, 'engaged': [], 'lexeme': 'all of', 'alias': ['all of'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f23a8f9b8d0>}, 'gkg': 'kg:/g/11c6v_qldh', 'granular_actor_types': {}, 'granular_entity_types': {'song by young dolph': 1}, 'gkg_name': 'All of Them', 'gkg_type': ['Thing']}, {'name': 'are perfect', 'id': 2089, 'status': None, 'engaged': [], 'lexeme': 'are perfect', 'alias': ['are perfect'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f23a7fa7588>}, 'gkg': 'kg:/g/1q5jhrwl3', 'granular_actor_types': {}, 'granular_entity_types': {'song by cristian marchi': 1}, 'gkg_name': 'We Are Perfect', 'gkg_type': ['Thing']}]","We Are Perfect, All of Them",The Fame Monster,,monster,"[('Thing', 152.54225, 'We Are Perfect'), ('Thing', 601.88625, 'All of Them')]","[('MusicAlbum', 1020.02725, 'The Fame Monster')]",True,True
i'll be happy when she has a concert near here ,we can go.,contingency,so,mid,cool. i'll be happy when she has a concert near here so we can go.,"I like Brown Eyes from The Fame and Monster from The Fame Monster. I agree, the entire albums are epic.",Statement,Statement,None,None,"('Positive', 1.0)","('Neutral', 1.0)","[('VisualArtwork', 257.01375, 'A Concert')]","[('Thing', 829.1700000000001, 'we can go')]",['entertainment'],['sport'],['Art_Event'],['Phatic'],None,None,[],[],[],[],None,None,"[{'name': 'a concert', 'id': 2092, 'status': None, 'engaged': [], 'lexeme': 'a concert', 'alias': ['a concert'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f23a891d5f8>}, 'gkg': 'kg:/g/11f3w6gr2q', 'granular_actor_types': {'performance': 0.7, 'event': 0.4}, 'granular_entity_types': {'painting by giovanni cariani': 1}, 'gkg_name': 'A Concert', 'gkg_type': ['VisualArtwork']}, {'name': None, 'id': 2093, 'status': None, 'engaged': [], 'lexeme': None, 'alias': ['near here'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f23a8b70e10>}, 'gkg': None, 'granular_actor_types': {}, 'granular_entity_types': {}}, {'name': 'the fame', 'id': 2090, 'status': None, 'engaged': [], 'lexeme': 'the fame', 'alias': ['the fame'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f23a956b198>}, 'gkg': 'kg:/m/09gd42w', 'granular_actor_types': {}, 'granular_entity_types': {'studio album by lady gaga': 1}, 'gkg_name': 'The Fame Monster', 'gkg_type': ['MusicAlbum']}, {'name': None, 'id': 2091, 'status': None, 'engaged': [], 'lexeme': None, 'alias': ['monster'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f23a90f2e80>}, 'gkg': None, 'granular_actor_types': {}, 'granular_entity_types': {}}]","[{'name': 'can go', 'id': 2094, 'status': None, 'engaged': [], 'lexeme': 'can go', 'alias': ['can go'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f23a97b0940>}, 'gkg': 'kg:/g/11c0rhnld9', 'granular_actor_types': {}, 'granular_entity_types': {'song by chihiro onitsuka': 1}, 'gkg_name': 'we can go', 'gkg_type': ['Thing']}, {'name': 'a concert', 'id': 2092, 'status': None, 'engaged': [], 'lexeme': 'a concert', 'alias': ['a concert'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f23a891d5f8>}, 'gkg': 'kg:/g/11f3w6gr2q', 'granular_actor_types': {'performance': 0.7, 'event': 0.4}, 'granular_entity_types': {'painting by giovanni cariani': 1}, 'gkg_name': 'A Concert', 'gkg_type': ['VisualArtwork']}, {'name': None, 'id': 2093, 'status': None, 'engaged': [], 'lexeme': None, 'alias': ['near here'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f23a8b70e10>}, 'gkg': None, 'granular_actor_types': {}, 'granular_entity_types': {}}]",A Concert,we can go,near here,,"[('VisualArtwork', 257.01375, 'A Concert')]","[('Thing', 829.1700000000001, 'we can go')]",True,True
i actually think i may have heard that song pokerface ,it just slipped my mind.,temporal,before,mid,i actually think i may have heard that song pokerface before it just slipped my mind.,Sure. My favorites are PokerFace and Papparazi.,Clarify,Statement,None,None,"('Neutral', 1.0)","('Positive', 1.0)",[],"[('Thing', 295.801625, 'In My Mind')]",['entertainment'],['sport'],['Movies_TV'],['Psychology'],None,None,['music'],[],[],[],None,None,"[{'name': None, 'id': 2095, 'status': None, 'engaged': [], 'lexeme': None, 'alias': ['that song pokerface'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f23a8ff1ac8>}, 'gkg': None, 'granular_actor_types': {}, 'granular_entity_types': {}}, {'name': 'can go', 'id': 2094, 'status': None, 'engaged': [], 'lexeme': 'can go', 'alias': ['can go'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f23a97b0940>}, 'gkg': 'kg:/g/11c0rhnld9', 'granular_actor_types': {}, 'granular_entity_types': {'song by chihiro onitsuka': 1}, 'gkg_name': 'we can go', 'gkg_type': ['Thing']}]","[{'name': 'mind', 'id': 2096, 'status': None, 'engaged': [], 'lexeme': 'mind', 'alias': ['mind'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f23a97df588>}, 'gkg': 'kg:/g/1q5jd5mbc', 'granular_actor_types': {}, 'granular_entity_types': {'song by feenixpawl and ivan gough': 1}, 'gkg_name': 'In My Mind', 'gkg_type': ['Thing']}, {'name': None, 'id': 2095, 'status': None, 'engaged': [], 'lexeme': None, 'alias': ['that song pokerface'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f23a8ff1ac8>}, 'gkg': None, 'granular_actor_types': {}, 'granular_entity_types': {}}]",,In My Mind,that song pokerface,,[],"[('Thing', 295.801625, 'In My Mind')]",True,True
i like her old stuff ,not her new stuff.,comparison,but,mid,i like her old stuff but not her new stuff.,Yes occasionally I find her alright.,Statement,Statement,None,None,"('Neutral', 1.0)","('Negative', 1.0)",[],[],['sport'],['sport'],['Phatic'],['Phatic'],None,None,[],[],['opinion_provide_pos_patterns_her old stuff'],[],None,None,"[{'name': 'mind', 'id': 2096, 'status': None, 'engaged': [], 'lexeme': 'mind', 'alias': ['mind'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f23a97df588>}, 'gkg': 'kg:/g/1q5jd5mbc', 'granular_actor_types': {}, 'granular_entity_types': {'song by feenixpawl and ivan gough': 1}, 'gkg_name': 'In My Mind', 'gkg_type': ['Thing']}]",[],,,,,[],[],True,True
yeah her old stuff was good ,it was club music mostly.,contingency,because,mid,yeah her old stuff was good because it was club music mostly.,I like her old stuff but not her new stuff.,Statement,nAnswer,None,None,"('Positive', 1.0)","('Neutral', 1.0)",[],[],['sport'],['entertainment'],['Phatic'],['Music'],None,None,[],['music'],[],[],None,None,"[{'name': None, 'id': 2097, 'status': None, 'engaged': [], 'lexeme': None, 'alias': ['stuff'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f23a74bf5f8>}, 'gkg': None, 'granular_actor_types': {}, 'granular_entity_types': {}}]","[{'name': None, 'id': 2098, 'status': None, 'engaged': [], 'lexeme': None, 'alias': ['club music mostly'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f23a836e668>}, 'gkg': None, 'granular_actor_types': {}, 'granular_entity_types': {}}, {'name': None, 'id': 2097, 'status': None, 'engaged': [], 'lexeme': None, 'alias': ['stuff'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f23a74bf5f8>}, 'gkg': None, 'granular_actor_types': {}, 'granular_entity_types': {}}]",,,stuff,club music mostly,[],[],True,True
that one was semi okay ,not my favorite.,comparison,but,mid,that one was semi okay but not my favorite.,What about the Fame Monster album?,Statement,Reject,None,None,"('Neutral', 1.0)","('Negative', 1.0)",[],"[('TVSeries', 356.34287500000005, 'My Favorite Martian')]",['sport'],['sport'],['Celebrities'],['Phatic'],None,None,[],[],[],['opinion_provide_pos_patterns_no:match'],None,None,"[{'name': None, 'id': 2098, 'status': None, 'engaged': [], 'lexeme': None, 'alias': ['club music mostly'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f23a836e668>}, 'gkg': None, 'granular_actor_types': {}, 'granular_entity_types': {}}]","[{'name': 'favorite', 'id': 395, 'status': None, 'engaged': [], 'lexeme': 'favorite', 'alias': ['favorite'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f23a9a2cc88>}, 'gkg': 'kg:/m/02nnt3', 'granular_actor_types': {}, 'granular_entity_types': {'american sitcom': 1}, 'gkg_name': 'My Favorite Martian', 'gkg_type': ['TVSeries']}]",,My Favorite Martian,,,[],"[('TVSeries', 356.34287500000005, 'My Favorite Martian')]",True,True
"no i haven't, ",i've heard they are incredible.,comparison,but,mid,"no i haven't, but i've heard they are incredible.",No I never have.  Have you?,Reject,Statement,None,None,"('Negative', 1.0)","('Positive', 1.0)",[],"[('Book', 153.444375, 'We Are Incredible')]",['sport'],['sport'],['Music'],['Music'],None,None,[],[],[],[],None,None,"[{'name': 'favorite', 'id': 395, 'status': None, 'engaged': [], 'lexeme': 'favorite', 'alias': ['favorite'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f23a9a2cc88>}, 'gkg': 'kg:/m/02nnt3', 'granular_actor_types': {}, 'granular_entity_types': {'american sitcom': 1}, 'gkg_name': 'My Favorite Martian', 'gkg_type': ['TVSeries']}]","[{'name': 'are incredible', 'id': 2099, 'status': None, 'engaged': [], 'lexeme': 'are incredible', 'alias': ['are incredible'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f23a838c240>}, 'gkg': 'kg:/m/0_qkf6k', 'granular_actor_types': {}, 'granular_entity_types': {'novel by margery latimer': 1}, 'gkg_name': 'We Are Incredible', 'gkg_type': ['Book']}]",,We Are Incredible,,,[],"[('Book', 153.444375, 'We Are Incredible')]",True,True
"i really like the meaning behind it as well, ",the beat is not my favorite.,comparison,but,mid,"i really like the meaning behind it as well, but the beat is not my favorite.","I think I'd say it's, ""Born This Way"" since it has so much meaning behind it.",Statement,Reject,None,None,"('Positive', 1.0)","('Negative', 1.0)","[('Book', 150.2258333333333, 'The Meaning of Liff')]","[('TVSeries', 317.60224999999997, 'My Favorite Martian'), ('MusicGroup', 877.9085, 'The Beat')]",['sport'],['sport'],['Psychology'],['Music'],None,None,[],[],[],['opinion_provide_pos_patterns_no:match'],None,None,"[{'name': 'the meaning', 'id': 2100, 'status': None, 'engaged': [], 'lexeme': 'the meaning', 'alias': ['the meaning'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f23a97d81d0>}, 'gkg': 'kg:/m/01xxr4w', 'granular_actor_types': {'communication': 0.25}, 'granular_entity_types': {'book by douglas adams and john lloyd': 1}, 'gkg_name': 'The Meaning of Liff', 'gkg_type': ['Book']}, {'name': None, 'id': 1222, 'status': None, 'engaged': [], 'lexeme': None, 'alias': ['behind', 'glasses'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f23a857cc88>}, 'gkg': None, 'granular_actor_types': {'body_part': 0.14705882352941177}, 'granular_entity_types': {}}, {'name': 'are incredible', 'id': 2099, 'status': None, 'engaged': [], 'lexeme': 'are incredible', 'alias': ['are incredible'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f23a838c240>}, 'gkg': 'kg:/m/0_qkf6k', 'granular_actor_types': {}, 'granular_entity_types': {'novel by margery latimer': 1}, 'gkg_name': 'We Are Incredible', 'gkg_type': ['Book']}]","[{'name': 'favorite', 'id': 395, 'status': None, 'engaged': [], 'lexeme': 'favorite', 'alias': ['favorite'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f23a9a2cc88>}, 'gkg': 'kg:/m/02nnt3', 'granular_actor_types': {}, 'granular_entity_types': {'american sitcom': 1}, 'gkg_name': 'My Favorite Martian', 'gkg_type': ['TVSeries']}, {'name': 'the beat', 'id': 2101, 'status': None, 'engaged': [], 'lexeme': 'the beat', 'alias': ['the beat'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f23a9a41470>}, 'gkg': 'kg:/m/027xp0', 'granular_actor_types': {'location': 0.36363636363636365, 'object': 0.18181818181818182}, 'granular_entity_types': {'british band': 1}, 'gkg_name': 'The Beat', 'gkg_type': ['MusicGroup']}, {'name': 'the meaning', 'id': 2100, 'status': None, 'engaged': [], 'lexeme': 'the meaning', 'alias': ['the meaning'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f23a97d81d0>}, 'gkg': 'kg:/m/01xxr4w', 'granular_actor_types': {'communication': 0.25}, 'granular_entity_types': {'book by douglas adams and john lloyd': 1}, 'gkg_name': 'The Meaning of Liff', 'gkg_type': ['Book']}, {'name': None, 'id': 1222, 'status': None, 'engaged': [], 'lexeme': None, 'alias': ['behind', 'glasses'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f23a857cc88>}, 'gkg': None, 'granular_actor_types': {'body_part': 0.14705882352941177}, 'granular_entity_types': {}}]",The Meaning of Liff,"My Favorite Martian, The Beat",behind,,"[('Book', 150.2258333333333, 'The Meaning of Liff')]","[('TVSeries', 317.60224999999997, 'My Favorite Martian'), ('MusicGroup', 877.9085, 'The Beat')]",True,True
that is only ,she stays under the radar.,contingency,because,mid,that is only because she stays under the radar.,I feel like she is not as popular now.,Statement,Clarify,None,None,"('Neutral', 1.0)","('Positive', 1.0)","[('Book', 189.919125, 'That is only war')]","[('TVEpisode', 453.635, 'Under the Radar')]",['tech'],['sport'],['Phatic'],['Politics'],None,None,[],[],[],[],None,None,"[{'name': 'that is only', 'id': 2102, 'status': None, 'engaged': [], 'lexeme': 'that is only', 'alias': ['that is only'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f23a79b7630>}, 'gkg': 'kg:/m/0br7vw7', 'granular_actor_types': {}, 'granular_entity_types': {'book by caleb wood richardson': 1}, 'gkg_name': 'That is only war', 'gkg_type': ['Book']}, {'name': 'favorite', 'id': 395, 'status': None, 'engaged': [], 'lexeme': 'favorite', 'alias': ['favorite'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f23a9a2cc88>}, 'gkg': 'kg:/m/02nnt3', 'granular_actor_types': {}, 'granular_entity_types': {'american sitcom': 1}, 'gkg_name': 'My Favorite Martian', 'gkg_type': ['TVSeries']}, {'name': 'the beat', 'id': 2101, 'status': None, 'engaged': [], 'lexeme': 'the beat', 'alias': ['the beat'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f23a9a41470>}, 'gkg': 'kg:/m/027xp0', 'granular_actor_types': {'location': 0.36363636363636365, 'object': 0.18181818181818182}, 'granular_entity_types': {'british band': 1}, 'gkg_name': 'The Beat', 'gkg_type': ['MusicGroup']}]","[{'name': 'under the radar', 'id': 2103, 'status': None, 'engaged': [], 'lexeme': 'under the radar', 'alias': ['under the radar'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f23a8c45390>}, 'gkg': 'kg:/m/0xns0dg', 'granular_actor_types': {}, 'granular_entity_types': {'tv episode': 1}, 'gkg_name': 'Under the Radar', 'gkg_type': ['TVEpisode']}, {'name': 'that is only', 'id': 2102, 'status': None, 'engaged': [], 'lexeme': 'that is only', 'alias': ['that is only'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f23a79b7630>}, 'gkg': 'kg:/m/0br7vw7', 'granular_actor_types': {}, 'granular_entity_types': {'book by caleb wood richardson': 1}, 'gkg_name': 'That is only war', 'gkg_type': ['Book']}]",That is only war,Under the Radar,,,"[('Book', 189.919125, 'That is only war')]","[('TVEpisode', 453.635, 'Under the Radar')]",True,True
i'm not sure i understand the hats ,i i ever understand her hats?,comparison,but,mid,very very cringey. this joanne phase seems to be a lot more grounded. i'm not sure i understand the hats but i i ever understand her hats?,"Yeah, I hope she's realized its best to leave all of that era in the past. She went full Art School Kid and it was bad.",nAnswer,ynQuestion,None,None,"('Negative', 1.0)","('Neutral', 1.0)","[('Thing', 260.351, 'The Hats')]",[],['sport'],['sport'],['Movies_TV'],['Religion'],None,None,[],[],['uncertainty_intent'],[],None,None,"[{'name': 'the hats', 'id': 2104, 'status': None, 'engaged': [], 'lexeme': 'the hats', 'alias': ['the hats'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f23a82d8a20>}, 'gkg': 'kg:/g/11c3mxp9tt', 'granular_actor_types': {'object': 0.08695652173913043}, 'granular_entity_types': {'song by samantha savage smith': 1}, 'gkg_name': 'The Hats', 'gkg_type': ['Thing']}, {'name': 'under the radar', 'id': 2103, 'status': None, 'engaged': [], 'lexeme': 'under the radar', 'alias': ['under the radar'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f23a8c45390>}, 'gkg': 'kg:/m/0xns0dg', 'granular_actor_types': {}, 'granular_entity_types': {'tv episode': 1}, 'gkg_name': 'Under the Radar', 'gkg_type': ['TVEpisode']}]","[{'name': 'the hats', 'id': 2104, 'status': None, 'engaged': [], 'lexeme': 'the hats', 'alias': ['the hats'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f23a82d8a20>}, 'gkg': 'kg:/g/11c3mxp9tt', 'granular_actor_types': {'object': 0.08695652173913043}, 'granular_entity_types': {'song by samantha savage smith': 1}, 'gkg_name': 'The Hats', 'gkg_type': ['Thing']}]",The Hats,,,,"[('Thing', 260.351, 'The Hats')]",[],True,True
