arg1,arg2,relation,connective,type,original_utt,original_utt_prev,arg1_dialogue_act,arg2_dialogue_act,arg1_special_dialogue_act,arg2_special_dialogue_act,arg1_sentiment,arg2_sentiment,arg1_gnode_entities,arg2_gnode_entities,arg1_topic,arg2_topic,arg1_cobot_topics,arg2_cobot_topics,arg1_cobot_topics_process,arg2_cobot_topics_process,arg1_flow_topics,arg2_flow_topics,arg1_intents,arg2_intents,arg1_signature,arg2_signature,arg1_actors,arg2_actors,arg1_gkg_entities,arg2_gkg_entities,arg1_gkg_keywords,arg2_gkg_keywords,arg1_gkg_etype_list,arg2_gkg_etype_list,arg1_non_ambiguous_named_entity_person,arg2_non_ambiguous_named_entity_person
"not exactly the same genre, ",it is adventurous.,comparison,but,mid,"that was a good movie. not exactly the same genre, but it is adventurous.",Someone else I know recommended a movie called sahara.,nAnswer,Statement,None,None,"('Negative', 1.0)","('Positive', 1.0)",[],[],['entertainment'],['sport'],['Religion'],['Art_Event'],None,None,[],[],['long_parse_time'],[],None,None,"[{'name': None, 'id': 340, 'status': None, 'engaged': [], 'lexeme': None, 'alias': ['genre'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f9b6413ed68>}, 'gkg': None, 'granular_actor_types': {'idea': 0.47619047619047616}, 'granular_entity_types': {}}]","[{'name': None, 'id': 340, 'status': None, 'engaged': [], 'lexeme': None, 'alias': ['genre'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f9b6413ed68>}, 'gkg': None, 'granular_actor_types': {'idea': 0.47619047619047616}, 'granular_entity_types': {}}]",,,genre,,[],[],True,True
there can be ,that is why they have ratings on each to make sure the audience is aware.,comparison,but,mid,there can be but that is why they have ratings on each to make sure the audience is aware.,Do you think there is too much violence in movies?,Statement,Statement,None,None,"('Neutral', 1.0)","('Neutral', 1.0)","[('Thing', 450.03817799999996, 'There Can Be')]",[],['sport'],['entertainment'],['Phatic'],['Psychology'],None,None,[],[],[],['long_parse_time'],None,None,"[{'name': 'there can be', 'id': 341, 'status': None, 'engaged': [], 'lexeme': 'there can be', 'alias': ['there can be'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f9b609e1278>}, 'gkg': 'kg:/g/1q5jd5hhp', 'granular_actor_types': {}, 'granular_entity_types': {""song by d'influence"": 1}, 'gkg_name': 'There Can Be', 'gkg_type': ['Thing']}]","[{'name': 'there can be', 'id': 341, 'status': None, 'engaged': [], 'lexeme': 'there can be', 'alias': ['there can be'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f9b609e1278>}, 'gkg': 'kg:/g/1q5jd5hhp', 'granular_actor_types': {}, 'granular_entity_types': {""song by d'influence"": 1}, 'gkg_name': 'There Can Be', 'gkg_type': ['Thing']}]",There Can Be,,,,"[('Thing', 450.03817799999996, 'There Can Be')]",[],True,True
"yes, i read every harry potter book ",going to see them in the movies.,temporal,before,mid,"yes, i read every harry potter book before going to see them in the movies.",Do you prefer to read a book before seeing a movie?,yAnswer,Statement,None,None,"('Neutral', 1.0)","('Neutral', 1.0)","[('BookSeries', 357.9844, 'Harry Potter')]","[('VideoGame', 756.34475, 'The Movies')]",['entertainment'],['sport'],['Literature'],['Movies_TV'],None,None,"['books', 'harry_potter']",['movie'],['long_parse_time'],[],None,None,"[{'name': None, 'id': 342, 'status': None, 'engaged': [], 'lexeme': None, 'alias': ['book'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f9b6097f5c0>}, 'gkg': None, 'granular_actor_types': {'product': 0.6, 'object': 0.13333333333333333}, 'granular_entity_types': {}}, {'name': 'harry potter', 'id': 263, 'status': None, 'engaged': [], 'lexeme': 'harry potter', 'alias': ['harry potter'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f9b610d1b00>}, 'gkg': 'kg:/m/078ffw', 'granular_actor_types': {}, 'granular_entity_types': {'novel series': 1}, 'gkg_name': 'Harry Potter', 'gkg_type': ['BookSeries']}]","[{'name': 'the movies', 'id': 343, 'status': None, 'engaged': [], 'lexeme': 'the movies', 'alias': ['the movies'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f9b5a937ef0>}, 'gkg': 'kg:/m/05zr5v', 'granular_actor_types': {'product': 0.42857142857142855, 'object': 0.09523809523809523}, 'granular_entity_types': {'video game': 1}, 'gkg_name': 'The Movies', 'gkg_type': ['VideoGame']}, {'name': None, 'id': 342, 'status': None, 'engaged': [], 'lexeme': None, 'alias': ['book'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f9b6097f5c0>}, 'gkg': None, 'granular_actor_types': {'product': 0.6, 'object': 0.13333333333333333}, 'granular_entity_types': {}}, {'name': 'harry potter', 'id': 263, 'status': None, 'engaged': [], 'lexeme': 'harry potter', 'alias': ['harry potter'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f9b610d1b00>}, 'gkg': 'kg:/m/078ffw', 'granular_actor_types': {}, 'granular_entity_types': {'novel series': 1}, 'gkg_name': 'Harry Potter', 'gkg_type': ['BookSeries']}]",Harry Potter,The Movies,book,,"[('BookSeries', 357.9844, 'Harry Potter')]","[('VideoGame', 756.34475, 'The Movies')]",True,True
"well i do love emma watson, ",a live action remake seems strange to me.,comparison,but,mid,"well i do love emma watson, but a live action remake seems strange to me.",Hard question how come?,Statement,nAnswer,None,None,"('Positive', 1.0)","('Negative', 1.0)","[('Person', 1573.262818, 'Emma Watson')]",[],['entertainment'],['sport'],['Other'],['Movies_TV'],None,None,[],[],['emphasize_long_parse_time'],[],None,None,"[{'name': 'emma watson', 'id': 344, 'status': None, 'engaged': [], 'lexeme': 'emma watson', 'alias': ['emma watson'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f9b5a8fd4a8>}, 'gkg': 'kg:/m/0134w7', 'granular_actor_types': {}, 'granular_entity_types': {'actress': 1}, 'gkg_name': 'Emma Watson', 'gkg_type': ['Person']}, {'name': 'the movies', 'id': 343, 'status': None, 'engaged': [], 'lexeme': 'the movies', 'alias': ['the movies'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f9b5a937ef0>}, 'gkg': 'kg:/m/05zr5v', 'granular_actor_types': {'product': 0.42857142857142855, 'object': 0.09523809523809523}, 'granular_entity_types': {'video game': 1}, 'gkg_name': 'The Movies', 'gkg_type': ['VideoGame']}]","[{'name': None, 'id': 345, 'status': None, 'engaged': [], 'lexeme': None, 'alias': ['action remake'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f9b5a8c3080>}, 'gkg': None, 'granular_actor_types': {}, 'granular_entity_types': {}}, {'name': 'emma watson', 'id': 344, 'status': None, 'engaged': [], 'lexeme': 'emma watson', 'alias': ['emma watson'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f9b5a8fd4a8>}, 'gkg': 'kg:/m/0134w7', 'granular_actor_types': {}, 'granular_entity_types': {'actress': 1}, 'gkg_name': 'Emma Watson', 'gkg_type': ['Person']}]",Emma Watson,,,action remake,"[('Person', 1573.262818, 'Emma Watson')]",[],True,True
i heard that they did ,with slight differences.,comparison,but,mid,i heard that they did but with slight differences.,I just worry about if they are going to be true the animated story.,Statement,Statement,None,None,"('Neutral', 1.0)","('Neutral', 1.0)","[('Thing', 258.084, 'they did')]",[],['sport'],['sport'],['Phatic'],['Other'],None,None,[],[],[],[],None,None,"[{'name': 'did', 'id': 346, 'status': None, 'engaged': [], 'lexeme': 'did', 'alias': ['did'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f9b5a897278>}, 'gkg': 'kg:/g/1q5jb9tkd', 'granular_actor_types': {}, 'granular_entity_types': {'song by frank sinatra': 1}, 'gkg_name': 'they did', 'gkg_type': ['Thing']}, {'name': None, 'id': 345, 'status': None, 'engaged': [], 'lexeme': None, 'alias': ['action remake'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f9b5a8c3080>}, 'gkg': None, 'granular_actor_types': {}, 'granular_entity_types': {}}]","[{'name': None, 'id': 347, 'status': None, 'engaged': [], 'lexeme': None, 'alias': ['difference'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f9b5a897780>}, 'gkg': None, 'granular_actor_types': {}, 'granular_entity_types': {}}, {'name': 'did', 'id': 346, 'status': None, 'engaged': [], 'lexeme': 'did', 'alias': ['did'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f9b5a897278>}, 'gkg': 'kg:/g/1q5jb9tkd', 'granular_actor_types': {}, 'granular_entity_types': {'song by frank sinatra': 1}, 'gkg_name': 'they did', 'gkg_type': ['Thing']}]",they did,,,difference,"[('Thing', 258.084, 'they did')]",[],True,True
"true,  it is strange ",i know he will be wonderful in it.,comparison,but,mid,"true,  it is strange but i know he will be wonderful in it.",He is such a great actor. Surprised to see him not doing comedy.,Accept,Statement,None,None,"('Positive', 1.0)","('Positive', 1.0)","[('VideoGame', 356.820156, 'Life Is Strange')]",[],['business'],['sport'],['Religion'],['Phatic'],None,None,[],['travel'],[],[],None,None,"[{'name': 'is strange', 'id': 348, 'status': None, 'engaged': [], 'lexeme': 'is strange', 'alias': ['is strange'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f9b5a8c31d0>}, 'gkg': 'kg:/m/0129c4zc', 'granular_actor_types': {}, 'granular_entity_types': {'video game': 1}, 'gkg_name': 'Life Is Strange', 'gkg_type': ['VideoGame']}, {'name': None, 'id': 347, 'status': None, 'engaged': [], 'lexeme': None, 'alias': ['difference'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f9b5a897780>}, 'gkg': None, 'granular_actor_types': {}, 'granular_entity_types': {}}]","[{'name': 'is strange', 'id': 348, 'status': None, 'engaged': [], 'lexeme': 'is strange', 'alias': ['is strange'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f9b5a8c31d0>}, 'gkg': 'kg:/m/0129c4zc', 'granular_actor_types': {}, 'granular_entity_types': {'video game': 1}, 'gkg_name': 'Life Is Strange', 'gkg_type': ['VideoGame']}]",Life Is Strange,,,,"[('VideoGame', 356.820156, 'Life Is Strange')]",[],True,True
the little kids watching do not know what that is about ,the adults all cry.,comparison,but,mid,the little kids watching do not know what that is about but the adults all cry.,It was so sad when they lost their baby.,Reject,Reject,None,None,"('Negative', 1.0)","('Neutral', 1.0)","[('Corporation', 157.316864, 'Little Kids Rock')]","[('MusicGroup', 430.5359415, 'The Adults')]",['sport'],['entertainment'],['Phatic'],['Psychology'],None,None,[],[],[],[],None,None,"[{'name': 'little kids', 'id': 349, 'status': None, 'engaged': [], 'lexeme': 'little kids', 'alias': ['little kids'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f9b5a8e9518>}, 'gkg': 'kg:/m/0280ndt', 'granular_actor_types': {}, 'granular_entity_types': {'teaching company': 1}, 'gkg_name': 'Little Kids Rock', 'gkg_type': ['Organization', 'Corporation', 'Thing']}]","[{'name': None, 'id': 351, 'status': None, 'engaged': [], 'lexeme': None, 'alias': ['all cry'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f9b5a8b8358>}, 'gkg': None, 'granular_actor_types': {}, 'granular_entity_types': {}}, {'name': 'the adults', 'id': 350, 'status': None, 'engaged': [], 'lexeme': 'the adults', 'alias': ['the adults'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f9b5a8b8208>}, 'gkg': 'kg:/m/0nhtjf8', 'granular_actor_types': {'person': 0.38461538461538464}, 'granular_entity_types': {'supergroup': 1}, 'gkg_name': 'The Adults', 'gkg_type': ['MusicGroup']}, {'name': 'little kids', 'id': 349, 'status': None, 'engaged': [], 'lexeme': 'little kids', 'alias': ['little kids'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f9b5a8e9518>}, 'gkg': 'kg:/m/0280ndt', 'granular_actor_types': {}, 'granular_entity_types': {'teaching company': 1}, 'gkg_name': 'Little Kids Rock', 'gkg_type': ['Organization', 'Corporation', 'Thing']}]",Little Kids Rock,The Adults,,all cry,"[('Corporation', 157.316864, 'Little Kids Rock')]","[('MusicGroup', 430.5359415, 'The Adults')]",True,True
when the developers come and build all around the house and begin to push him out it is sad ,his strength and determination was inspiring.,comparison,but,mid,when the developers come and build all around the house and begin to push him out it is sad but his strength and determination was inspiring.,The little kids watching do not know what that is about but the adults all cry.,whQuestion,Statement,None,None,"('Neutral', 1.0)","('Positive', 1.0)","[('Book', 267.39634775, 'The Developers'), ('Movie', 814.250892, 'The House')]",[],['sport'],['sport'],['Psychology'],['Religion'],None,None,[],[],[],[],None,None,"[{'name': 'the developers', 'id': 352, 'status': None, 'engaged': [], 'lexeme': 'the developers', 'alias': ['the developers'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f9b5a8e9588>}, 'gkg': 'kg:/m/04csd3t', 'granular_actor_types': {'person': 0.38461538461538464}, 'granular_entity_types': {'book': 1}, 'gkg_name': 'The Developers', 'gkg_type': ['Book']}, {'name': 'the house', 'id': 38, 'status': None, 'engaged': [], 'lexeme': 'the house', 'alias': ['the house'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f9b613c0cf8>}, 'gkg': 'kg:/g/11b8_tx98s', 'granular_actor_types': {'object': 0.15384615384615385}, 'granular_entity_types': {'2017 film': 1}, 'gkg_name': 'The House', 'gkg_type': ['Movie']}, {'name': None, 'id': 351, 'status': None, 'engaged': [], 'lexeme': None, 'alias': ['all cry'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f9b5a8b8358>}, 'gkg': None, 'granular_actor_types': {}, 'granular_entity_types': {}}, {'name': 'the adults', 'id': 350, 'status': None, 'engaged': [], 'lexeme': 'the adults', 'alias': ['the adults'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f9b5a8b8208>}, 'gkg': 'kg:/m/0nhtjf8', 'granular_actor_types': {'person': 0.38461538461538464}, 'granular_entity_types': {'supergroup': 1}, 'gkg_name': 'The Adults', 'gkg_type': ['MusicGroup']}]","[{'name': None, 'id': 353, 'status': None, 'engaged': [], 'lexeme': None, 'alias': ['determination'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f9b5a883710>}, 'gkg': None, 'granular_actor_types': {'act': 0.35714285714285715, 'event': 0.2857142857142857}, 'granular_entity_types': {}}, {'name': 'the developers', 'id': 352, 'status': None, 'engaged': [], 'lexeme': 'the developers', 'alias': ['the developers'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f9b5a8e9588>}, 'gkg': 'kg:/m/04csd3t', 'granular_actor_types': {'person': 0.38461538461538464}, 'granular_entity_types': {'book': 1}, 'gkg_name': 'The Developers', 'gkg_type': ['Book']}, {'name': 'the house', 'id': 38, 'status': None, 'engaged': [], 'lexeme': 'the house', 'alias': ['the house'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f9b613c0cf8>}, 'gkg': 'kg:/g/11b8_tx98s', 'granular_actor_types': {'object': 0.15384615384615385}, 'granular_entity_types': {'2017 film': 1}, 'gkg_name': 'The House', 'gkg_type': ['Movie']}]","The Developers, The House",,,determination,"[('Book', 267.39634775, 'The Developers'), ('Movie', 814.250892, 'The House')]",[],True,True
i can not remember ,that made me think about the chase in the trench where nemo is being chased.,comparison,but,mid,i can not remember but that made me think about the chase in the trench where nemo is being chased.,I loved the part where there are in that wave of migrating marine life and the turtles are there. What is that called?,nAnswer,Statement,None,None,"('Neutral', 1.0)","('Neutral', 1.0)",[],"[('TVSeries', 859.76846375, 'The Chase'), ('Movie', 718.39246325, 'The Trench'), ('MusicRecording', 257.87110825, 'Being Chased')]",['sport'],['sport'],['Phatic'],['Movies_TV'],None,None,[],[],[],[],None,None,"[{'name': None, 'id': 353, 'status': None, 'engaged': [], 'lexeme': None, 'alias': ['determination'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f9b5a883710>}, 'gkg': None, 'granular_actor_types': {'act': 0.35714285714285715, 'event': 0.2857142857142857}, 'granular_entity_types': {}}]","[{'name': 'the chase', 'id': 354, 'status': None, 'engaged': [], 'lexeme': 'the chase', 'alias': ['the chase'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f9b5a817710>}, 'gkg': 'kg:/m/06w1wcq', 'granular_actor_types': {'act': 0.2777777777777778, 'event': 0.2222222222222222}, 'granular_entity_types': {'british television show': 1}, 'gkg_name': 'The Chase', 'gkg_type': ['TVSeries']}, {'name': 'the trench', 'id': 356, 'status': None, 'engaged': [], 'lexeme': 'the trench', 'alias': ['the trench'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f9b5a817eb8>}, 'gkg': 'kg:/m/0g0wx7', 'granular_actor_types': {'object': 0.18181818181818182}, 'granular_entity_types': {'1999 film': 1}, 'gkg_name': 'The Trench', 'gkg_type': ['Movie']}, {'name': None, 'id': 355, 'status': None, 'engaged': [], 'lexeme': None, 'alias': ['in'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f9b5a817780>}, 'gkg': None, 'granular_actor_types': {}, 'granular_entity_types': {}}, {'name': 'being chased', 'id': 358, 'status': None, 'engaged': [], 'lexeme': 'being chased', 'alias': ['being chased'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f9b5a817208>}, 'gkg': 'kg:/m/01b63d_', 'granular_actor_types': {}, 'granular_entity_types': {'song by mark mancina': 1}, 'gkg_name': 'Being Chased', 'gkg_type': ['MusicRecording']}, {'name': None, 'id': 357, 'status': None, 'engaged': [], 'lexeme': None, 'alias': ['nemo'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f9b5a8d2828>}, 'gkg': None, 'granular_actor_types': {}, 'granular_entity_types': {}}]",,"Being Chased, The Trench, The Chase",,"in, nemo",[],"[('TVSeries', 859.76846375, 'The Chase'), ('Movie', 718.39246325, 'The Trench'), ('MusicRecording', 257.87110825, 'Being Chased')]",True,True
it was exciting when they were trying t get nemo out of the filter ,he can be free.,contingency,so,mid,it was exciting when they were trying t get nemo out of the filter so he can be free.,More so remember there is a nasty girl who is not very nice to the fish.,Statement,Statement,None,None,"('Positive', 1.0)","('Neutral', 1.0)","[('Thing', 276.7252915, 'The Filter'), ('Thing', 570.3675000000001, 'out of')]","[('Thing', 424.6503065, 'Be free')]",['sport'],['sport'],['Movies_TV'],['Literature'],None,None,[],[],[],[],None,None,"[{'name': None, 'id': 359, 'status': None, 'engaged': [], 'lexeme': None, 'alias': ['t'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f9b5a817978>}, 'gkg': None, 'granular_actor_types': {}, 'granular_entity_types': {}}, {'name': 'the filter', 'id': 361, 'status': None, 'engaged': [], 'lexeme': 'the filter', 'alias': ['the filter'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f9b5a937828>}, 'gkg': 'kg:/g/1s05svmth', 'granular_actor_types': {'object': 0.16666666666666666}, 'granular_entity_types': {'song by eiffel 65': 1}, 'gkg_name': 'The Filter', 'gkg_type': ['Thing']}, {'name': 'out of', 'id': 360, 'status': None, 'engaged': [], 'lexeme': 'out of', 'alias': ['out of'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f9b5a8178d0>}, 'gkg': 'kg:/g/11dfkmd11b', 'granular_actor_types': {}, 'granular_entity_types': {'song by ady suleiman and merk &amp; kremont': 1}, 'gkg_name': 'out of', 'gkg_type': ['Thing']}, {'name': 'the chase', 'id': 354, 'status': None, 'engaged': [], 'lexeme': 'the chase', 'alias': ['the chase'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f9b5a817710>}, 'gkg': 'kg:/m/06w1wcq', 'granular_actor_types': {'act': 0.2777777777777778, 'event': 0.2222222222222222}, 'granular_entity_types': {'british television show': 1}, 'gkg_name': 'The Chase', 'gkg_type': ['TVSeries']}, {'name': 'the trench', 'id': 356, 'status': None, 'engaged': [], 'lexeme': 'the trench', 'alias': ['the trench'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f9b5a817eb8>}, 'gkg': 'kg:/m/0g0wx7', 'granular_actor_types': {'object': 0.18181818181818182}, 'granular_entity_types': {'1999 film': 1}, 'gkg_name': 'The Trench', 'gkg_type': ['Movie']}, {'name': None, 'id': 355, 'status': None, 'engaged': [], 'lexeme': None, 'alias': ['in'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f9b5a817780>}, 'gkg': None, 'granular_actor_types': {}, 'granular_entity_types': {}}, {'name': 'being chased', 'id': 358, 'status': None, 'engaged': [], 'lexeme': 'being chased', 'alias': ['being chased'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f9b5a817208>}, 'gkg': 'kg:/m/01b63d_', 'granular_actor_types': {}, 'granular_entity_types': {'song by mark mancina': 1}, 'gkg_name': 'Being Chased', 'gkg_type': ['MusicRecording']}, {'name': None, 'id': 357, 'status': None, 'engaged': [], 'lexeme': None, 'alias': ['nemo'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f9b5a8d2828>}, 'gkg': None, 'granular_actor_types': {}, 'granular_entity_types': {}}]","[{'name': 'be free', 'id': 362, 'status': None, 'engaged': [], 'lexeme': 'be free', 'alias': ['be free'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f9b5a906320>}, 'gkg': 'kg:/g/11c2ns1nqv', 'granular_actor_types': {}, 'granular_entity_types': {'song by belinda': 1}, 'gkg_name': 'Be free', 'gkg_type': ['Thing']}, {'name': None, 'id': 359, 'status': None, 'engaged': [], 'lexeme': None, 'alias': ['t'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f9b5a817978>}, 'gkg': None, 'granular_actor_types': {}, 'granular_entity_types': {}}, {'name': 'the filter', 'id': 361, 'status': None, 'engaged': [], 'lexeme': 'the filter', 'alias': ['the filter'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f9b5a937828>}, 'gkg': 'kg:/g/1s05svmth', 'granular_actor_types': {'object': 0.16666666666666666}, 'granular_entity_types': {'song by eiffel 65': 1}, 'gkg_name': 'The Filter', 'gkg_type': ['Thing']}, {'name': 'out of', 'id': 360, 'status': None, 'engaged': [], 'lexeme': 'out of', 'alias': ['out of'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f9b5a8178d0>}, 'gkg': 'kg:/g/11dfkmd11b', 'granular_actor_types': {}, 'granular_entity_types': {'song by ady suleiman and merk &amp; kremont': 1}, 'gkg_name': 'out of', 'gkg_type': ['Thing']}]","The Filter, out of",Be free,"t, in, nemo",,"[('Thing', 276.7252915, 'The Filter'), ('Thing', 570.3675000000001, 'out of')]","[('Thing', 424.6503065, 'Be free')]",True,True
