arg1,arg2,relation,connective,type,original_utt,original_utt_prev,arg1_dialogue_act,arg2_dialogue_act,arg1_special_dialogue_act,arg2_special_dialogue_act,arg1_sentiment,arg2_sentiment,arg1_gnode_entities,arg2_gnode_entities,arg1_topic,arg2_topic,arg1_cobot_topics,arg2_cobot_topics,arg1_cobot_topics_process,arg2_cobot_topics_process,arg1_flow_topics,arg2_flow_topics,arg1_intents,arg2_intents,arg1_signature,arg2_signature,arg1_actors,arg2_actors,arg1_gkg_entities,arg2_gkg_entities,arg1_gkg_keywords,arg2_gkg_keywords,arg1_gkg_etype_list,arg2_gkg_etype_list,arg1_non_ambiguous_named_entity_person,arg2_non_ambiguous_named_entity_person
yeah its a shame ,i heard disney is planing a han solo movie.,comparison,but,mid,yeah its a shame but i heard disney is planing a han solo movie.,"Yeah, too bad he died in the last Star Wars movie.",Statement,Statement,None,None,"('Negative', 1.0)","('Neutral', 1.0)","[('Thing', 905.0725, ""It's a Shame"")]",[],['business'],['entertainment'],['Music'],['Entertainment'],None,None,[],['movie'],['long_parse_time'],['long_parse_time'],None,None,"[{'name': 'a shame', 'id': 340, 'status': None, 'engaged': [], 'lexeme': 'a shame', 'alias': ['a shame'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7fd90e32bfd0>}, 'gkg': 'kg:/g/11c5_dy_f3', 'granular_actor_types': {'feeling': 0.7142857142857143}, 'granular_entity_types': {'song by the spinners': 1}, 'gkg_name': ""It's a Shame"", 'gkg_type': ['Thing']}]","[{'name': None, 'id': 341, 'status': None, 'engaged': [], 'lexeme': None, 'alias': ['disney'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7fd915a860f0>}, 'gkg': None, 'granular_actor_types': {'person': 0.25}, 'granular_entity_types': {}}, {'name': None, 'id': 342, 'status': None, 'engaged': [], 'lexeme': None, 'alias': ['solo movie'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7fd90e2d7a58>}, 'gkg': None, 'granular_actor_types': {}, 'granular_entity_types': {}}, {'name': 'a shame', 'id': 340, 'status': None, 'engaged': [], 'lexeme': 'a shame', 'alias': ['a shame'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7fd90e32bfd0>}, 'gkg': 'kg:/g/11c5_dy_f3', 'granular_actor_types': {'feeling': 0.7142857142857143}, 'granular_entity_types': {'song by the spinners': 1}, 'gkg_name': ""It's a Shame"", 'gkg_type': ['Thing']}]",It's a Shame,,,"disney, solo movie","[('Thing', 905.0725, ""It's a Shame"")]",[],True,True
"yeah, they were cute.",vicous in battle.,comparison,but,begin,"yeah, they were cute.  but vicous in battle.",I also like the Ewoks.  They were pretty cool.,yAnswer,Statement,None,None,"('Positive', 1.0)","('Neutral', 1.0)",[],[],['sport'],['business'],['Other'],['Other'],None,None,[],[],[],[],None,None,"[{'name': None, 'id': 341, 'status': None, 'engaged': [], 'lexeme': None, 'alias': ['disney'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7fd915a860f0>}, 'gkg': None, 'granular_actor_types': {'person': 0.25}, 'granular_entity_types': {}}, {'name': None, 'id': 342, 'status': None, 'engaged': [], 'lexeme': None, 'alias': ['solo movie'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7fd90e2d7a58>}, 'gkg': None, 'granular_actor_types': {}, 'granular_entity_types': {}}]","[{'name': None, 'id': 343, 'status': None, 'engaged': [], 'lexeme': None, 'alias': ['battle'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7fd90c2fda58>}, 'gkg': None, 'granular_actor_types': {'act': 0.3125, 'event': 0.25}, 'granular_entity_types': {}}]",,,,battle,[],[],True,True
"maybe so, ","if you evaluate them individually, they work a lot better than if you compare them to the original trilogy.",comparison,but,mid,"maybe so, but if you evaluate them individually, they work a lot better than if you compare them to the original trilogy.","Wow, now you are overthinking things.",Statement,Statement,None,None,"('Neutral', 1.0)","('Negative', 1.0)",[],"[('LocalBusiness', 402.765125, 'Save-A-Lot'), ('MovieSeries', 268.4027913333333, 'Star Wars original trilogy')]",['sport'],['sport'],['Music'],['Literature'],None,None,[],[],[],['long_parse_time'],None,None,"[{'name': None, 'id': 343, 'status': None, 'engaged': [], 'lexeme': None, 'alias': ['battle'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7fd90c2fda58>}, 'gkg': None, 'granular_actor_types': {'act': 0.3125, 'event': 0.25}, 'granular_entity_types': {}}]","[{'name': 'a lot', 'id': 344, 'status': None, 'engaged': [], 'lexeme': 'a lot', 'alias': ['a lot'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7fd90c332e10>}, 'gkg': 'kg:/m/0209r2', 'granular_actor_types': {}, 'granular_entity_types': {'supermarket company': 1}, 'gkg_name': 'Save-A-Lot', 'gkg_type': ['LocalBusiness', 'Thing', 'Corporation', 'Organization']}, {'name': 'original trilogy', 'id': 345, 'status': None, 'engaged': [], 'lexeme': 'original trilogy', 'alias': ['original trilogy'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7fd90c2fde80>}, 'gkg': 'kg:/m/06fmkj', 'granular_actor_types': {}, 'granular_entity_types': {'film trilogy': 1}, 'gkg_name': 'Star Wars original trilogy', 'gkg_type': ['MovieSeries']}]",,"Star Wars original trilogy, Save-A-Lot",,,[],"[('LocalBusiness', 402.765125, 'Save-A-Lot'), ('MovieSeries', 268.4027913333333, 'Star Wars original trilogy')]",True,True
there are so many stories ,there is plenty to choose from,contingency,so,mid,there are so many stories so there is plenty to choose from,I hope that they will stay true to the stories,whQuestion,Statement,None,None,"('Neutral', 1.0)","('Neutral', 1.0)","[('Thing', 546.33699725, 'So Many Stories')]",[],['entertainment'],['sport'],['Movies_TV'],['Movies_TV'],None,None,[],[],['invoke_blogman'],[],None,None,"[{'name': 'so many stories', 'id': 346, 'status': None, 'engaged': [], 'lexeme': 'so many stories', 'alias': ['so many stories'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7fd90c2c79b0>}, 'gkg': 'kg:/g/1q5j7vcp2', 'granular_actor_types': {}, 'granular_entity_types': {'song by outlawz': 1}, 'gkg_name': 'So Many Stories', 'gkg_type': ['Thing']}, {'name': 'a lot', 'id': 344, 'status': None, 'engaged': [], 'lexeme': 'a lot', 'alias': ['a lot'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7fd90c332e10>}, 'gkg': 'kg:/m/0209r2', 'granular_actor_types': {}, 'granular_entity_types': {'supermarket company': 1}, 'gkg_name': 'Save-A-Lot', 'gkg_type': ['LocalBusiness', 'Thing', 'Corporation', 'Organization']}, {'name': 'original trilogy', 'id': 345, 'status': None, 'engaged': [], 'lexeme': 'original trilogy', 'alias': ['original trilogy'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7fd90c2fde80>}, 'gkg': 'kg:/m/06fmkj', 'granular_actor_types': {}, 'granular_entity_types': {'film trilogy': 1}, 'gkg_name': 'Star Wars original trilogy', 'gkg_type': ['MovieSeries']}]","[{'name': None, 'id': 347, 'status': None, 'engaged': [], 'lexeme': None, 'alias': ['plenty'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7fd90c284e10>}, 'gkg': None, 'granular_actor_types': {}, 'granular_entity_types': {}}, {'name': 'so many stories', 'id': 346, 'status': None, 'engaged': [], 'lexeme': 'so many stories', 'alias': ['so many stories'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7fd90c2c79b0>}, 'gkg': 'kg:/g/1q5j7vcp2', 'granular_actor_types': {}, 'granular_entity_types': {'song by outlawz': 1}, 'gkg_name': 'So Many Stories', 'gkg_type': ['Thing']}]",So Many Stories,,,plenty,"[('Thing', 546.33699725, 'So Many Stories')]",[],True,True
vader's lore is very dark ,his character doesn't do much to show it.,comparison,but,mid,i could see that. vader's lore is very dark but his character doesn't do much to show it.,"Vader is more legendary for sure. However, he didn't feel as evil as Darth Maul to me.",Statement,Reject,None,None,"('Neutral', 1.0)","('Negative', 1.0)",[],[],['entertainment'],['entertainment'],['Literature'],['Movies_TV'],None,None,[],[],[],['emphasize_long_parse_time'],None,None,"[{'name': None, 'id': 348, 'status': None, 'engaged': [], 'lexeme': None, 'alias': ['vader'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7fd90c29e400>, 'lore': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7fd90c284c88>}, 'gkg': None, 'granular_actor_types': {}, 'granular_entity_types': {}}, {'name': None, 'id': 347, 'status': None, 'engaged': [], 'lexeme': None, 'alias': ['plenty'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7fd90c284e10>}, 'gkg': None, 'granular_actor_types': {}, 'granular_entity_types': {}}]","[{'name': None, 'id': 350, 'status': None, 'engaged': [], 'lexeme': None, 'alias': ['much'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7fd90c276c50>}, 'gkg': None, 'granular_actor_types': {}, 'granular_entity_types': {}}, {'name': None, 'id': 348, 'status': None, 'engaged': [], 'lexeme': None, 'alias': ['vader'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7fd90c29e400>, 'lore': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7fd90c284c88>}, 'gkg': None, 'granular_actor_types': {}, 'granular_entity_types': {}}]",,,vader,much,[],[],True,True
"i thought liam neeson was in star wars, ",i guess not.,comparison,but,mid,"i thought liam neeson was in star wars, but i guess not.","That's true, I just wish Yoda was more powerful I guess.",nAnswer,Statement,None,None,"('Neutral', 1.0)","('Neutral', 1.0)","[('Thing', 1864.751954, 'Star Wars'), ('Person', 1565.055542, 'Liam Neeson')]",[],['entertainment'],['sport'],['Movies_TV'],['Music'],None,None,['star_wars'],[],[],[],None,None,"[{'name': 'star wars', 'id': 352, 'status': None, 'engaged': [], 'lexeme': 'star wars', 'alias': ['star wars'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7fd90c2168d0>}, 'gkg': 'kg:/m/0hmwfyw', 'granular_actor_types': {}, 'granular_entity_types': {'comic book fictional universe': 1}, 'gkg_name': 'Star Wars', 'gkg_type': ['Thing']}, {'name': 'liam neeson', 'id': 351, 'status': None, 'engaged': [], 'lexeme': 'liam neeson', 'alias': ['liam neeson'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7fd90c27dd68>}, 'gkg': 'kg:/m/0h5g_', 'granular_actor_types': {}, 'granular_entity_types': {'actor': 1}, 'gkg_name': 'Liam Neeson', 'gkg_type': ['Person']}, {'name': None, 'id': 350, 'status': None, 'engaged': [], 'lexeme': None, 'alias': ['much'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7fd90c276c50>}, 'gkg': None, 'granular_actor_types': {}, 'granular_entity_types': {}}]","[{'name': None, 'id': 353, 'status': None, 'engaged': [], 'lexeme': None, 'alias': ['guess'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7fd90c216cf8>}, 'gkg': None, 'granular_actor_types': {'communication': 0.17647058823529413}, 'granular_entity_types': {}}, {'name': 'star wars', 'id': 352, 'status': None, 'engaged': [], 'lexeme': 'star wars', 'alias': ['star wars'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7fd90c2168d0>}, 'gkg': 'kg:/m/0hmwfyw', 'granular_actor_types': {}, 'granular_entity_types': {'comic book fictional universe': 1}, 'gkg_name': 'Star Wars', 'gkg_type': ['Thing']}, {'name': 'liam neeson', 'id': 351, 'status': None, 'engaged': [], 'lexeme': 'liam neeson', 'alias': ['liam neeson'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7fd90c27dd68>}, 'gkg': 'kg:/m/0h5g_', 'granular_actor_types': {}, 'granular_entity_types': {'actor': 1}, 'gkg_name': 'Liam Neeson', 'gkg_type': ['Person']}]","Liam Neeson, Star Wars",,,guess,"[('Thing', 1864.751954, 'Star Wars'), ('Person', 1565.055542, 'Liam Neeson')]",[],True,True
i guess they thought it didn't make sense ,a jedi shouldn't seek revenge.,contingency,because,mid,i guess they thought it didn't make sense because a jedi shouldn't seek revenge.,I like return better anyway.,nAnswer,Statement,None,None,"('Neutral', 1.0)","('Negative', 1.0)","[('MusicAlbum', 215.558, 'Why Make Sense?')]","[('MusicRecording', 290.67279, 'Seek Revenge')]",['sport'],['sport'],['Music'],['Games'],None,None,[],[],[],[],None,None,"[{'name': None, 'id': 353, 'status': None, 'engaged': [], 'lexeme': None, 'alias': ['guess'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7fd90c216cf8>}, 'gkg': None, 'granular_actor_types': {'communication': 0.17647058823529413}, 'granular_entity_types': {}}, {'name': 'make sense', 'id': 354, 'status': None, 'engaged': [], 'lexeme': 'make sense', 'alias': ['make sense'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7fd90c203940>}, 'gkg': 'kg:/m/012vmgj7', 'granular_actor_types': {}, 'granular_entity_types': {'studio album by hot chip': 1}, 'gkg_name': 'Why Make Sense?', 'gkg_type': ['MusicAlbum']}]","[{'name': 'seek revenge', 'id': 356, 'status': None, 'engaged': [], 'lexeme': 'seek revenge', 'alias': ['seek revenge'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7fd90c203cc0>}, 'gkg': 'kg:/g/11bw50sz8b', 'granular_actor_types': {}, 'granular_entity_types': {'song by ace cosgrove': 1}, 'gkg_name': 'Seek Revenge', 'gkg_type': ['MusicRecording']}, {'name': None, 'id': 355, 'status': None, 'engaged': [], 'lexeme': None, 'alias': ['a jedi'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7fd90c276e80>}, 'gkg': None, 'granular_actor_types': {}, 'granular_entity_types': {}}, {'name': None, 'id': 353, 'status': None, 'engaged': [], 'lexeme': None, 'alias': ['guess'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7fd90c216cf8>}, 'gkg': None, 'granular_actor_types': {'communication': 0.17647058823529413}, 'granular_entity_types': {}}, {'name': 'make sense', 'id': 354, 'status': None, 'engaged': [], 'lexeme': 'make sense', 'alias': ['make sense'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7fd90c203940>}, 'gkg': 'kg:/m/012vmgj7', 'granular_actor_types': {}, 'granular_entity_types': {'studio album by hot chip': 1}, 'gkg_name': 'Why Make Sense?', 'gkg_type': ['MusicAlbum']}]",Why Make Sense?,Seek Revenge,guess,a jedi,"[('MusicAlbum', 215.558, 'Why Make Sense?')]","[('MusicRecording', 290.67279, 'Seek Revenge')]",True,True
luke at 11 years old ,"i could relate to the innocence,now han as an adult because of his defiance against the system.",contingency,because,mid,"luke at 11 years old because i could relate to the innocence,now han as an adult because of his defiance against the system.",Really?Why the change?,Other,Statement,None,None,"('Neutral', 1.0)","('Neutral', 1.0)","[('TVEpisode', 226.209, '11 Years Later')]",[],['sport'],['sport'],['Other'],['Politics'],None,None,[],[],[],[],None,None,"[{'name': None, 'id': 357, 'status': None, 'engaged': [], 'lexeme': None, 'alias': ['luke at'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7fd90c2c7fd0>}, 'gkg': None, 'granular_actor_types': {}, 'granular_entity_types': {}}, {'name': '11 years', 'id': 358, 'status': None, 'engaged': [], 'lexeme': '11 years', 'alias': ['11 years'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7fd90c2c7080>}, 'gkg': 'kg:/g/11gbwxtll4', 'granular_actor_types': {}, 'granular_entity_types': {'will &amp; grace episode': 1}, 'gkg_name': '11 Years Later', 'gkg_type': ['TVEpisode']}, {'name': 'seek revenge', 'id': 356, 'status': None, 'engaged': [], 'lexeme': 'seek revenge', 'alias': ['seek revenge'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7fd90c203cc0>}, 'gkg': 'kg:/g/11bw50sz8b', 'granular_actor_types': {}, 'granular_entity_types': {'song by ace cosgrove': 1}, 'gkg_name': 'Seek Revenge', 'gkg_type': ['MusicRecording']}, {'name': None, 'id': 355, 'status': None, 'engaged': [], 'lexeme': None, 'alias': ['a jedi'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7fd90c276e80>}, 'gkg': None, 'granular_actor_types': {}, 'granular_entity_types': {}}]","[{'name': None, 'id': 357, 'status': None, 'engaged': [], 'lexeme': None, 'alias': ['luke at'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7fd90c2c7fd0>}, 'gkg': None, 'granular_actor_types': {}, 'granular_entity_types': {}}, {'name': '11 years', 'id': 358, 'status': None, 'engaged': [], 'lexeme': '11 years', 'alias': ['11 years'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7fd90c2c7080>}, 'gkg': 'kg:/g/11gbwxtll4', 'granular_actor_types': {}, 'granular_entity_types': {'will &amp; grace episode': 1}, 'gkg_name': '11 Years Later', 'gkg_type': ['TVEpisode']}]",11 Years Later,,luke at,,"[('TVEpisode', 226.209, '11 Years Later')]",[],True,True
"luke at 11 years old because i could relate to the innocence,now han as an adult ",of his defiance against the system.,contingency,because,mid,"luke at 11 years old because i could relate to the innocence,now han as an adult because of his defiance against the system.",Really?Why the change?,Emphasis,Statement,None,None,"('Positive', 1.0)","('Neutral', 1.0)","[('TVEpisode', 226.209, '11 Years Later'), ('MusicGroup', 285.764217375, 'The Innocence Mission'), ('Thing', 164.640875, 'An Adult Tree')]",[],['sport'],['sport'],['Religion'],['Politics'],None,None,[],[],[],[],None,None,"[{'name': None, 'id': 357, 'status': None, 'engaged': [], 'lexeme': None, 'alias': ['luke at'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7fd90c2c7fd0>}, 'gkg': None, 'granular_actor_types': {}, 'granular_entity_types': {}}, {'name': '11 years', 'id': 358, 'status': None, 'engaged': [], 'lexeme': '11 years', 'alias': ['11 years'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7fd90c2c7080>}, 'gkg': 'kg:/g/11gbwxtll4', 'granular_actor_types': {}, 'granular_entity_types': {'will &amp; grace episode': 1}, 'gkg_name': '11 Years Later', 'gkg_type': ['TVEpisode']}, {'name': 'the innocence', 'id': 359, 'status': None, 'engaged': [], 'lexeme': 'the innocence', 'alias': ['the innocence'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7fd90c216be0>}, 'gkg': 'kg:/m/01ltjhd', 'granular_actor_types': {}, 'granular_entity_types': {'band': 1}, 'gkg_name': 'The Innocence Mission', 'gkg_type': ['MusicGroup']}, {'name': 'an adult', 'id': 360, 'status': None, 'engaged': [], 'lexeme': 'an adult', 'alias': ['an adult'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7fd90c216320>}, 'gkg': 'kg:/g/1q5jlv624', 'granular_actor_types': {'person': 0.38461538461538464}, 'granular_entity_types': {'song by haste the day': 1}, 'gkg_name': 'An Adult Tree', 'gkg_type': ['Thing']}]","[{'name': None, 'id': 357, 'status': None, 'engaged': [], 'lexeme': None, 'alias': ['luke at'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7fd90c2c7fd0>}, 'gkg': None, 'granular_actor_types': {}, 'granular_entity_types': {}}, {'name': '11 years', 'id': 358, 'status': None, 'engaged': [], 'lexeme': '11 years', 'alias': ['11 years'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7fd90c2c7080>}, 'gkg': 'kg:/g/11gbwxtll4', 'granular_actor_types': {}, 'granular_entity_types': {'will &amp; grace episode': 1}, 'gkg_name': '11 Years Later', 'gkg_type': ['TVEpisode']}, {'name': 'the innocence', 'id': 359, 'status': None, 'engaged': [], 'lexeme': 'the innocence', 'alias': ['the innocence'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7fd90c216be0>}, 'gkg': 'kg:/m/01ltjhd', 'granular_actor_types': {}, 'granular_entity_types': {'band': 1}, 'gkg_name': 'The Innocence Mission', 'gkg_type': ['MusicGroup']}, {'name': 'an adult', 'id': 360, 'status': None, 'engaged': [], 'lexeme': 'an adult', 'alias': ['an adult'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7fd90c216320>}, 'gkg': 'kg:/g/1q5jlv624', 'granular_actor_types': {'person': 0.38461538461538464}, 'granular_entity_types': {'song by haste the day': 1}, 'gkg_name': 'An Adult Tree', 'gkg_type': ['Thing']}]","An Adult Tree, 11 Years Later, The Innocence Mission",,luke at,,"[('TVEpisode', 226.209, '11 Years Later'), ('MusicGroup', 285.764217375, 'The Innocence Mission'), ('Thing', 164.640875, 'An Adult Tree')]",[],True,True
this is why star wars is so popular ,many different age ranges can relate.,contingency,because,mid,this is why star wars is so popular because many different age ranges can relate.,"Same with me. Luke is really the pefect hero for children,while Han is a hero for adults.",whQuestion,Other,None,None,"('Positive', 1.0)","('Neutral', 1.0)","[('Thing', 1864.752, 'Star Wars')]",[],['entertainment'],['business'],['Movies_TV'],['SciTech'],None,None,['star_wars'],[],[],[],None,None,"[{'name': 'star wars', 'id': 352, 'status': None, 'engaged': [], 'lexeme': 'star wars', 'alias': ['star wars'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7fd90c2168d0>}, 'gkg': 'kg:/m/0hmwfyw', 'granular_actor_types': {}, 'granular_entity_types': {'comic book fictional universe': 1}, 'gkg_name': 'Star Wars', 'gkg_type': ['Thing']}]","[{'name': None, 'id': 361, 'status': None, 'engaged': [], 'lexeme': None, 'alias': ['age ranges'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7fd90c219da0>}, 'gkg': None, 'granular_actor_types': {}, 'granular_entity_types': {}}, {'name': 'star wars', 'id': 352, 'status': None, 'engaged': [], 'lexeme': 'star wars', 'alias': ['star wars'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7fd90c2168d0>}, 'gkg': 'kg:/m/0hmwfyw', 'granular_actor_types': {}, 'granular_entity_types': {'comic book fictional universe': 1}, 'gkg_name': 'Star Wars', 'gkg_type': ['Thing']}]",Star Wars,,,age ranges,"[('Thing', 1864.752, 'Star Wars')]",[],True,True
